1,q40000159_00_159,"王ガ<LQIM>、<LQVA>個を所望ダ
マタどうしてカ解らんガ、ナルベク急ゲ！
貢いダ者二は何か報酬をトラスとの事ダ","The king desires <LQIM>, <LQVA> pieces.
For reasons unknown, hurry as much as possible!
Those who contribute will receive some reward.",ui\00_message\quest_info\q40000159_00.gmd,\quest\q40000159.arc,q40000159.arc,1
0,q40000160_00_160,＜エリアオーダー＞ホボリック蒐集,Area Order: Hobolic Gathering,ui\00_message\quest_info\q40000160_00.gmd,\quest\q40000160.arc,q40000160.arc,0
1,q40000160_00_160,"あァ、お前ら――あと、ヒト！　ほら、アレだ
アレを集めてこい――<LQIM>ダ！
数はそうだナ、30――いや<LQVA>でイイ
それならまァ、できるダロ？","Ah, you guys— and humans too! Look, that thing.
Gather that— <LQIM>!
The amount? Well, 30— no, <LQVA> will do.
That's doable, right?",ui\00_message\quest_info\q40000160_00.gmd,\quest\q40000160.arc,q40000160.arc,1
0,q40000161_00_161,ドラワン周辺の脅威,Threat Surrounding Drawan,ui\00_message\quest_info\q40000161_00.gmd,\quest\q40000161.arc,q40000161.arc,0
1,q40000161_00_161,"オークの砦に近いこの地は危険が多くて――はぁあ
最近気になっているのは<LQEM>なんだ
貴重な家畜や民家への被害もあったし――
逗留中の戦士さん、頼むよ。<LQVA>体退治して助けてくれないかな？","This area near the orc stronghold 
is very dangerous―― 
Haah, what concerns me recently is 
<LQEM>. 
There has been damage to valuable livestock and 
houses―― 
Warrior staying here, please. 
Could you help by eliminating <LQVA> pieces?,",ui\00_message\quest_info\q40000161_00.gmd,\quest\q40000161.arc,q40000161.arc,1
0,q40000162_00_162,荒れ地の怪,A Wasteland Mystery,ui\00_message\quest_info\q40000162_00.gmd,\quest\q40000162.arc,q40000162.arc,0
1,q40000162_00_162,"周囲で見かける魔物の中でも特に<LQEM>は厄介だ
戦える者は<LQVA>体ほど退治に協力してもらえるとありがたい
だが自信が無い者はやめておいた方がいい","Among the monsters seen around here, 
<LQEM> 
is particularly troublesome. 
It would be appreciated if those who can fight 
could help with <LQVA>. 
But those lacking confidence should avoid it.",ui\00_message\quest_info\q40000162_00.gmd,\quest\q40000162.arc,q40000162.arc,1
0,q40000163_00_163,オーク軍の斥候,Orc Scouts,ui\00_message\quest_info\q40000163_00.gmd,\quest\q40000163.arc,q40000163.arc,0
1,q40000163_00_163,"たまに、ガルドノックの方から魔物の群れが来るんだよ
最近だと、<LQEM>が<LQVA>体やってきたって聞いたよ
ありゃ、オーク軍の斥候部隊じゃないかね
賞金を賭けるから誰か、倒しておくれ！","Occasionally, a swarm of monsters comes 
from the Gardnox area. 
Recently, I heard that <LQVA> <LQEM> attacked. 
Isn't that the orc army's scouting unit? 
I'm offering a bounty, so someone, take them down!",ui\00_message\quest_info\q40000163_00.gmd,\quest\q40000163.arc,q40000163.arc,1
0,q40000164_00_164,あんにゃろう！！,That Bastard!!,ui\00_message\quest_info\q40000164_00.gmd,\quest\q40000164.arc,q40000164.arc,0
1,q40000164_00_164,"ちっくしょうまたかよ！！
<LQEM>の野郎のせいで、一張羅の鎧を台無しにされちまった！
腹の虫が収まらねぇ！
いくらか払うから、野郎<LQVA>匹ぶっ倒してくれ！","Damn it, not again!! 
That <LQEM> 
ruined my precious armor! I'm furious! 
I'll pay a bit, so take down <LQVA> of those bastards!",ui\00_message\quest_info\q40000164_00.gmd,\quest\q40000164.arc,q40000164.arc,1
