43,eqenhance_sp_done,解放済み,Released,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipEnhanceAnnounce.arc,uGUIEquipEnhanceAnnounce.arc,43
44,eqenhance_omake,特典,Benefits,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipEnhanceAnnounce.arc,uGUIEquipEnhanceAnnounce.arc,44
45,eqenhance_omake_notice,"この作業条件をご利用いただくと、特典として
<COL ffdc78><UNTN MS> <VAL MS>をプレゼント</COL>","By using this work method, you will receive a
bonus
<COL ffdc78><UNTN MS> <VAL MS></COL> as a present",ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipEnhanceAnnounce.arc,uGUIEquipEnhanceAnnounce.arc,45
46,eqenhance_evolution_done,カスタム完了しました,Custom completed,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipEnhanceAnnounce.arc,uGUIEquipEnhanceAnnounce.arc,46
47,eqenhance_no_equip_notice,カスタムできる装備がありません,There is no equipment that can be customized,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipEnhanceAnnounce.arc,uGUIEquipEnhanceAnnounce.arc,47
48,eqrecycle_no_equip_notice,分解できる装備がありません,There is no equipment that can be disassembled,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipEnhanceAnnounce.arc,uGUIEquipEnhanceAnnounce.arc,48
49,eqenhance_txtguide_01,リミット解除する装備を選択してください,Please select equipment to limit break.,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipEnhanceAnnounce.arc,uGUIEquipEnhanceAnnounce.arc,49
50,eqenhance_txtguide_02,極限合成する装備を選択してください,"Please select the equipment for Ultimate
Synthesis.",ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipEnhanceAnnounce.arc,uGUIEquipEnhanceAnnounce.arc,50
51,eqenhance_txtguide_03,鍛え方を選択してください,Please select a training method.,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipEnhanceAnnounce.arc,uGUIEquipEnhanceAnnounce.arc,51
52,eqenhance_txtguide_04,「<VAL>」の詳細,"""<VAL>"" details.",ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipEnhanceAnnounce.arc,uGUIEquipEnhanceAnnounce.arc,52
53,eqrecycle_txtguide_01,資源分解する装備を選択してください,Please select equipment to disassemble.,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipEnhanceAnnounce.arc,uGUIEquipEnhanceAnnounce.arc,53
54,eqenhance_need_gs_text,<COL ffdc78><UNTN GS> <VAL GS></COL>が必要です（所持数：<HAVE GS>）,"<COL ffdc78><UNTN GS> <UNTN GS></COL>is required
(number in posession：<HAVE GS>)",ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipEnhanceAnnounce.arc,uGUIEquipEnhanceAnnounce.arc,54
0,eqenhance_title,Custom Made,Custom-Made Arms,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipRecycleAnnounce.arc,uGUIEquipRecycleAnnounce.arc,0
1,eqenhance_title_sub,武具のカスタムメイド,Custom-made Arms,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipRecycleAnnounce.arc,uGUIEquipRecycleAnnounce.arc,1
2,eqrecycle_title,Resource Disassembly,Arms Resource Disassembly,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipRecycleAnnounce.arc,uGUIEquipRecycleAnnounce.arc,2
3,eqrecycle_title_sub,武具の資源分解,Arms Resource Disassembly,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipRecycleAnnounce.arc,uGUIEquipRecycleAnnounce.arc,3
4,eqenhance_weapon,武器,Weapons,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipRecycleAnnounce.arc,uGUIEquipRecycleAnnounce.arc,4
5,eqenhance_armor,防具,Armor,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipRecycleAnnounce.arc,uGUIEquipRecycleAnnounce.arc,5
6,eqenhance_pack_set_00,Fusion Bonus 1,Fusion Bonus 1,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipRecycleAnnounce.arc,uGUIEquipRecycleAnnounce.arc,6
7,eqenhance_pack_set_01,Fusion Bonus 2,Fusion Bonus 2,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipRecycleAnnounce.arc,uGUIEquipRecycleAnnounce.arc,7
8,eqenhance_pack_set_02,Special Bonus,Special Bonus,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipRecycleAnnounce.arc,uGUIEquipRecycleAnnounce.arc,8
9,eqenhance_start_evolution,カスタム開始,Start Custom,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipRecycleAnnounce.arc,uGUIEquipRecycleAnnounce.arc,9
10,eqenhance_success_example,主な成功例,Main Success Example,ui\00_message\ui\equip_enhance.gmd,\ui\uGUIEquipRecycleAnnounce.arc,uGUIEquipRecycleAnnounce.arc,10
