#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex,,
0,,精霊の軽装兜,Spirit light Armored Helm,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12866
0,,炎王の軽装兜,Fire King's Armored Helm,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12867
0,,炎王の軽装兜,Fire King's Armored Helm,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12868
0,,炎王の軽装兜,Fire King's Armored Helm,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12869
0,,炎王の軽装兜,Fire King's Armored Helm,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12870
0,,炎王の軽装兜,Fire King's Armored Helm,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12871
0,,白翼の軽装兜,White Wings' Light Armored Helm,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12872
0,,白翼の軽装兜,White Wings' Light Armored Helm,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12873
0,,白翼の軽装兜,White Wings' Light Armored Helm,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12874
0,,白翼の軽装兜,White Wings' Light Armored Helm,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12875
0,,白翼の軽装兜,White Wings' Light Armored Helm,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12876
0,,黄金の軽装兜,Golden Light Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12877
0,,黄金の軽装兜,Golden Light Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12878
0,,黄金の軽装兜,Golden Light Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12879
0,,黄金の軽装兜,Golden Light Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12880
0,,黄金の軽装兜,Golden Light Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12881
0,,黒砕の軽装兜,Blackshatter Light Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12882
0,,黒砕の軽装兜,Blackshatter Light Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12883
0,,黒砕の軽装兜,Blackshatter Light Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12884
0,,黒砕の軽装兜,Blackshatter Light Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12885
0,,黒砕の軽装兜,Blackshatter Light Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12886
0,,精霊の魔道兜,Spirit's Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12887
0,,精霊の魔道兜,Spirit's Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12888
0,,精霊の魔道兜,Spirit's Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12889
0,,精霊の魔道兜,Spirit's Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12890
0,,精霊の魔道兜,Spirit's Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12891
0,,炎王の魔道兜,Fire King's Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12892
0,,炎王の魔道兜,Fire King's Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12893
0,,炎王の魔道兜,Fire King's Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12894
0,,炎王の魔道兜,Fire King's Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12895
0,,炎王の魔道兜,Fire King's Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12896
0,,白翼の魔道兜,White Wings' Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12897
0,,白翼の魔道兜,White Wings' Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12898
0,,白翼の魔道兜,White Wings' Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12899
0,,白翼の魔道兜,White Wings' Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12900
0,,白翼の魔道兜,White Wings' Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12901
0,,黄金の魔道兜,Golden Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12902
0,,黄金の魔道兜,Golden Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12903
0,,黄金の魔道兜,Golden Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12904
0,,黄金の魔道兜,Golden Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12905
0,,黄金の魔道兜,Golden Magick Helmet,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12906
