0,,"少し休もうかしら
誰も手を貸してくれないんだもの","Maybe I should take a short rest. Since no one is
lending a hand.",ui\00_message\npc\base\n0591.gmd,\npc\n0591.arc,n0591.arc,3
0,,な、なんでしょう？,"Yes, what is it?",ui\00_message\npc\base\n0592.gmd,\npc\n0592.arc,n0592.arc,0
0,,"もう、命からがら逃げてきたんです
な、何も持ってませんよ
勘弁してください","Hey, I don't have anything. I've already escaped
with my life. Give me a break!",ui\00_message\npc\base\n0592.gmd,\npc\n0592.arc,n0592.arc,1
0,,"この体以外、何も手元に残りませんでした
せめて親父の形見くらいは
持ってきたかったんですけど――","I was left with nothing but this body.
I wanted to bring at least a memento of my dad's,
but--",ui\00_message\npc\base\n0592.gmd,\npc\n0592.arc,n0592.arc,2
0,,"腹も減ったし、喉も乾いてますよ
どこか落ち着ける場所を探さないと","I'm hungry and thirsty. I need to find a place to
settle down.",ui\00_message\npc\base\n0592.gmd,\npc\n0592.arc,n0592.arc,3
0,,"はぁ、少し休みたいわ
ここまで逃げてくるのに精一杯で――","Sigh, I want to rest a little. I'm exhausted from
running away this far.",ui\00_message\npc\base\n0593.gmd,\npc\n0593.arc,n0593.arc,0
0,,"どこか、わたしを
受け入れてくれる村は無いかしら
ねぇ、ご存じない――？","I wonder if there is a village somewhere that
would accept me.
Hey, do you know of any--?",ui\00_message\npc\base\n0593.gmd,\npc\n0593.arc,n0593.arc,1
0,,"とにかく少しだけ休みたいの
そうすれば、次に何をすればいいか
考えられそうだから","I just want to rest for a while. That way, I can
think about what to do next.",ui\00_message\npc\base\n0593.gmd,\npc\n0593.arc,n0593.arc,2
0,,"村のみんな
無事かしら――",I hope everyone in the village is safe—,ui\00_message\npc\base\n0593.gmd,\npc\n0593.arc,n0593.arc,3
0,,"あ、はい――
何かご用、ですか？","Ah, yes―― Do you need anything?",ui\00_message\npc\base\n0594.gmd,\npc\n0594.arc,n0594.arc,0
0,,"ぐすっ――
ここがどこか、わからないんです",I don't know where this is.,ui\00_message\npc\base\n0594.gmd,\npc\n0594.arc,n0594.arc,1
