7,q90000113_00_1316,発見した急襲部隊を撃破で戦功ボーナス,"Defeat the ambush unit you discovered and receive
a War Merit Bonus.",ui\00_message\quest_info\q90000113_00.gmd,\quest\q90000113.arc,q90000113.arc,7
8,q90000113_00_1469,大隊長を撃破し、防衛を完遂せよ,"Defeat the battalion commander and complete the
defense.",ui\00_message\quest_info\q90000113_00.gmd,\quest\q90000113.arc,q90000113.arc,8
0,q90000114_00_39,グリッテン砦攻防戦　戦況：苦戦,Battle for Gritten Fort: Uphill Battle,ui\00_message\quest_info\q90000114_00.gmd,\quest\q90000114.arc,q90000114.arc,0
1,q90000114_00_39,"敵の主力部隊が進出してくる本格大規模戦闘だ
好戦的で戦技に長けた尖兵が前線に投入され
確実に致命傷を負わせにかかってきている
すばやく的確な決断が必須となるだろう
一瞬たりとも気を抜くな","This is a full-scale large-scale battle with the
enemy's main force advancing. Aggressive and
skilled vanguards have been deployed to the front
lines and are coming to inflict fatal blows
reliably. Quick and accurate decision-making will
be essential. Do not let your guard down for even
a moment.",ui\00_message\quest_info\q90000114_00.gmd,\quest\q90000114.arc,q90000114.arc,1
13,q90000114_00_39,グリッテン砦攻防戦：苦戦《リザルト報酬》,"Battle for Gritten Fort: Uphill Battle (Result
Reward)",ui\00_message\quest_info\q90000114_00.gmd,\quest\q90000114.arc,q90000114.arc,13
14,q90000114_00_39,"主力部隊との大規模戦闘だ
好戦的な尖兵の投入により、難易度は増している
一瞬の気の緩みが致命傷になると心得よ","This is a large-scale combat with the main force.
The difficulty has increased due to the aggressive
deployment of elite troops. Keep in mind that a
momentary lapse of concentration can be fatal.",ui\00_message\quest_info\q90000114_00.gmd,\quest\q90000114.arc,q90000114.arc,14
2,q90000114_00_1366,ガルドリンを護衛し、目標地点の敵を殲滅せよ,"Escort Gurdolin and defeat the enemy at the
target locations",ui\00_message\quest_info\q90000114_00.gmd,\quest\q90000114.arc,q90000114.arc,2
3,q90000114_00_1367,6000pt以上の獲得を目指せ,Aim to acquire 6000pt or more,ui\00_message\quest_info\q90000114_00.gmd,\quest\q90000114.arc,q90000114.arc,3
4,q90000114_00_1368,急襲部隊が出現、戦功ボーナスのチャンス,"An Ambush Unit has appeared, offering a chance
for a War Merit Bonus.",ui\00_message\quest_info\q90000114_00.gmd,\quest\q90000114.arc,q90000114.arc,4
5,q90000114_00_1471,発見した急襲部隊を撃破で戦功ボーナス,"Defeat the ambush unit you discovered and receive
a War Merit Bonus.",ui\00_message\quest_info\q90000114_00.gmd,\quest\q90000114.arc,q90000114.arc,5
6,q90000114_00_1472,急襲部隊の本隊を誘い出した。戦功ボーナスのチャンス,"Lured out the main force of the ambush unit. A
chance for War Merit Bonus.",ui\00_message\quest_info\q90000114_00.gmd,\quest\q90000114.arc,q90000114.arc,6
