0,,"おおそうだ！
お前の働きぶり、ちょくちょく聞いてるぞ
これからも頑張れよ！","Oh yeah!
I've heard a lot about your work, Keep it up!",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,5,Scherzo
0,,"お前、すごい活躍なんだってな！
ちくしょー、さっき副隊長が
わざわざこれをお前にってよ","I heard you've been doing amazing work! 
Hell, just now the vice-captain specifically gave this to you.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,6,Scherzo
0,,"ほら、持ってけ！
あーちくしょ～！　羨ましい！！","Here, take it!
Ah, damn it～!　I'm so jealous!",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,7,Scherzo
0,,"おうおう、頑張ってるみたいじゃないか！
お前には他のヤツよりちょっといい
支給品を回してやるよ","Oh, well, it looks like you're doing a great job!
I'm going to give you a little better allowance than the rest of them.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,8,Scherzo
0,,"お疲れさん、忘れず顔を出したな
ほれ、今回の支給品だ","Good job, you didn't forget to show up.
Here, here's the latest supply.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,9,Scherzo
0,,"よぉ！
よく来たな、噂の大型新人！","Hey there!
You've come at a good time, the rumored big shot rookie!",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,10,Scherzo
0,,"俺は砦北部のエリア、バートランド平原の
エリアマスターをしてるスケルツォ
――お前と同じ覚者だ","I am Scherzo, the Area Master of the northern area, Betland Plains. I am an Arisen, just like you.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,11,Scherzo
0,,"しかし困ったぞ――
憧れのヴァネッサ副隊長が信頼するレオ統率に
目をかけられてるお前――！","However, I'm in trouble--
You, who are being noticed by Leo, the commanding officer whom Lieutenant Vanessa admires and trusts!",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,12,Scherzo
0,,俺にとっちゃあ、最大のライバル出現だ！,"For me, this is the biggest rivalry I've ever had!",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,13,Scherzo
0,,――とまぁ、冗談はさておきよろしくな！,"-- and well, joking aside, nice to meet you!",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,14,Scherzo
0,,"ここのクエストボードは正門の中だ
バートランド平原の任務――
資源確保とオーク軍の勢力調査だ","The quest board here is inside the main gate.
Quests in the Betland Plains - securing resources and investigating the Orc army's strength.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,15,Scherzo
0,,"そのうちお前にも頼むことになるだろうが
今すぐにってわけじゃない
なにせ危険地帯だからな","I'll have to ask you to do it eventually.
Not right now, though.
It's a dangerous zone, after all.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,16,Scherzo
0,,"まずは、レオ統率や他のエリアマスター
から一目置かれる覚者になってくれよ
――あ、でも副隊長の前では控えめにな！","First, become an Arisen who is respected by Leo and other Area Masters. 
But, be modest in front of the Vice Captain!",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,17,Scherzo
0,,"お前の働きぶり、ちょくちょく聞いてるぞ
これからも頑張れよ！","I've heard a lot about your work,
keep up the good work!",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,18,Scherzo
0,,"ま、俺がお前のために直接してやれることは
支給くらいだけど
成果に応じていいもん手配してやるからさ！","Well, the only direct thing I can do for you is to provide support, but I'll arrange something nice for you based on your results, so...!",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,19,Scherzo
0,,一つ、不穏な情報が入ってるんだ,There is one piece of unsettling information.,ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,20,Scherzo
0,,"バートランド高地の監視塔近く、湖のほとり
《湖岸の廃墟》でコロッサスが出現するように
なったようでな
それもかなりの剛腕ぶりらしい","Near the observation tower in Betland Highlands, by the lake. 
A Colossus seems to have appeared at the Lakeside Ruins. 
And it seems to possess quite an impressive level of strength.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,21,Scherzo
0,,"あそこはバートランド連絡路にも近いから
周囲を通る時は気をつけろ
もちろん、討伐してくれりゃ大助かりだ","Because there is a connecting channel to Betland nearby, be careful when passing through there. 
Of course, it would be a great help if you could subdue it.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,22,Scherzo
0,,"おっ！　そうだ
お前に頼みたい任務があるんだ","Oh! That's right.
I have a mission that I want to ask of you.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,23,Scherzo
0,,"《バートランド墓地》は知ってるか？
まぁ簡単に言えば、任務はその内部調査だ","Do you know about Betland Cemetery? Well, to put it simply, the mission is to investigate its interior.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,24,Scherzo
0,,"中の様子を見てみて
もし魔物がいたらその討伐！
――うんまぁ、あれだ、シンプルだろ？","Take a look inside and if there are demons, then defeat them!
--Yeah well, that's it, simple, right?",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,25,Scherzo
0,,"任務を受ける準備ができたら
あらためて声を掛けてくれ","When you're ready to take on the assignment, give me a call again.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,26,Scherzo
0,,"よぉよぉ！！　ブイブイ言わせてる
みたいじゃないか
新入りだと思ってたらあっという間だな","Hey, hey! 
You're really making waves, aren't you? 
I thought you were a newcomer, but time flies.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,27,Scherzo
0,,"お前の働きに対して、報償が出たぞ
支給品の格上げだ","I have received compensation for your labor.
It is an upgrade of the supplies provided.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,28,Scherzo
0,,"ま、それだけ戦果をあげたってわけだ
誇っていいぞ、うん","Well, that's how much you've accomplished in the war.
You can be proud of yourself, yeah.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,29,Scherzo
0,,"要警戒情報が入ったぞ！
オークの本拠地に近い、平原北部――
《バートランド大橋》のたもとで、精鋭部隊らしき
オークの一団が目撃されたんだ","Alert! We have received important information.
In the northern part of the plain, near the Orc stronghold, underneath Betland Bridge, a group of elite Orcs has been sighted.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,30,Scherzo
0,,"部隊が準備をしている間に
何とかしないと、また砦が攻め込まれない
とも限らない","While the unit is preparing, we must do something, or the fortress may be breached again.
There is no guarantee otherwise.",ui\00_message\npc\base\n1905.gmd,\npc\n1905.arc,n1905.arc,31,Scherzo
