10,SPOT_NAME_,掘削中の井戸,Partly-Dug Well,ui\00_message\master\area5_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,10
11,SPOT_NAME_,崩れかけたワイン庫,Wine Cellar Ruins,ui\00_message\master\area5_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,11
12,SPOT_NAME_,閉ざされた古井戸,Sealed Old Well,ui\00_message\master\area5_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,12
13,SPOT_NAME_,旧騎士団詰め所,Knights' Old Guardhouse,ui\00_message\master\area5_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,13
14,SPOT_NAME_,断崖の坑道,Cliff Tunnels,ui\00_message\master\area5_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,14
15,SPOT_NAME_,渓谷の小堂,Valley Chapel,ui\00_message\master\area5_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,15
16,SPOT_NAME_,ドリード城,Dreed Castle,ui\00_message\master\area5_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,16
17,SPOT_NAME_,ドリード水路跡,Dreed Waterway Ruins,ui\00_message\master\area5_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,17
18,SPOT_NAME_,棄てられた地下道,Abandoned Underground Passage,ui\00_message\master\area5_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,18
19,SPOT_NAME_,騎士団補給所跡,Knights' Depot Ruins,ui\00_message\master\area5_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,19
20,SPOT_NAME_,ドリード連絡路,Dreed Connecting Passage,ui\00_message\master\area5_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,20
21,SPOT_NAME_,見捨てられた井戸,Forsaken Well,ui\00_message\master\area5_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,21
0,AREA_RANK_REWARD_37,支援品の配給,Distribution of support goods,ui\00_message\master\area6_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,0
1,AREA_RANK_REWARD_38,《密猟者のキャンプ》に新たな強敵が出現,"New powerful enemy at ""Poachers' Camp""",ui\00_message\master\area6_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,1
2,AREA_RANK_REWARD_39,《イニアス湿地帯》に新たな強敵が出現,"New powerful enemy at ""Inias Wetlands""",ui\00_message\master\area6_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,2
3,AREA_RANK_REWARD_40,封鎖エリア《蒼葉のテラス》開放,"Unblock area ""Greenleaf Terrace""",ui\00_message\master\area6_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,3
4,AREA_RANK_REWARD_41,支援品ランクアップ,Rank up of support goods,ui\00_message\master\area6_rank_reward.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,4
