old,new
今度はなんだ？　奴らに聞かせるなよ,Now what? Don't let them hear you.
"なんだと！？
魔物を倒しただって？","Wait, What!?
Did you defeat the monster?"
今、なんと言った？,What did you say?
"騎士団さんよ、人が悪いぜ
魔物はすっかり倒したらしいじゃねえか",
"ったく！
おれたちは帰る！　ああ、帰るぞ！",
なんの話だ――,What are you talking about?
おまえ、騎士団副長のハインツだろ？,
"そこまで出世するってのは
よほど話のわかる奴に違いねえ",
"だから、ここの魔物を退治したのは
あんたか部下の誰かってことにしておけ",
それから新入り、おまえ――,
"いろいろ文句はあるだろうが全部飲み込め
疑問も飲み込め",
"ここにいる全員、おまえの手柄は忘れない
だが、公式には騎士団が倒したことにする",
いいな？,
はん！　その手には乗るか！,
"恩を売りつけようというのか？
貸しを作っておこうという魂胆か！？",
ハインツ！　,
はっ！,
"怒声が木々に響き渡っているが――
揉め事ではないだろうな",
"信じられないことだが、騎士と見れば
因縁をつける志の低い覚者もいるようだ",
まさか挑発に――,
とんでもありません！,
"騎士団長さんよ、信じてやりな
こいつはおれたちの不作法をいさめただけだ",
"ハインツたち、いい仕事をしたぜ？
魔物はもういない――静かなもんだ",
"――ほう
任務はすでに完了したというのか",
"ふむ――
レオから報告を受けて慌ててここへ来たが",
"取り越し苦労だったようだな
では、一同、神殿へ戻るがいい",
よし、じゃあ、覚者も解散だ！,
"お疲れだったな
特におまえ――よくこらえた、いい根性だ",
