key,old
uGUI_Credits_1693, 
uGUI_Credits_9727,@ Dragon's Dogma Online @
uGUI_Credits_9728,Season 3 Staff Credits
uGUI_Credits_9729,@ Lead Staff @
uGUI_Credits_9730,Lead Project
uGUI_Credits_9731,NARUMI TAUCHI
uGUI_Credits_9732,MARIKO MAEGAWA
uGUI_Credits_9733,RYO UNO
uGUI_Credits_9734,YOSHIYUKI FUJIKAWA
uGUI_Credits_9735,Lead Game Design
uGUI_Credits_9736,DAISUKE YANASE
uGUI_Credits_9737,Lead Programmer
uGUI_Credits_9738,KEIJI SAKAMOTO
uGUI_Credits_9739,Lead Server Programmer
uGUI_Credits_9740,TAKUYA ISHIBASHI
uGUI_Credits_9741,Lead Environment
uGUI_Credits_9742,HIROSHI HASHIMOTO
uGUI_Credits_9743,Lead Modeling
uGUI_Credits_9744,FUMINORI SATOU
uGUI_Credits_9745,Lead Animation
uGUI_Credits_9746,KOTA FUKAMACHI
uGUI_Credits_9747,Lead VFX
uGUI_Credits_9748,KOJI SUGIMINE
uGUI_Credits_9749,TOMOHISA KAWAGUCHI
uGUI_Credits_9750,Lead UI Design
uGUI_Credits_9751,MARI SUZUKI
uGUI_Credits_9752,NOBUHIRO TATSUMI
uGUI_Credits_9753,Lead Cinematics
uGUI_Credits_9754,HIROKI TAKEDA
uGUI_Credits_9755,Audio Director
uGUI_Credits_9756,ATSUKO FUJITANI
uGUI_Credits_9757,@ Scenario @
uGUI_Credits_9758,KAZUSHIGE NOJIMA (Stellavista Ltd.)
uGUI_Credits_9759,@ Game Design @
uGUI_Credits_9760,Lead Action Designer
uGUI_Credits_9761,MASAYOSHI FUJIWARA
uGUI_Credits_9762,Action Designers
uGUI_Credits_9763,YUSAKU KITAGAWA
uGUI_Credits_9764,SATORU NIHEI
uGUI_Credits_9765,TSUYOSHI NAGAYAMA
uGUI_Credits_9766,RYOTA SUZUKI
uGUI_Credits_9767,RYO YASUKAWA
uGUI_Credits_9768,World Lore Consistency Lead
uGUI_Credits_9769,KIJUN TOSHIKAWA
uGUI_Credits_9770,Lead Quest and Content Designer
uGUI_Credits_9771,RYUHEI ANDOH
uGUI_Credits_9772,Quest and Content Designers
uGUI_Credits_9773,NOZOMI SAITO
uGUI_Credits_9774,SHINJI SATAKE
uGUI_Credits_9775,KOJI KAKAE
uGUI_Credits_9776,Lead Level Designer
uGUI_Credits_9777,TAKASHI ICHIKAWA
uGUI_Credits_9778,Level Designers
uGUI_Credits_9779,LEE JUNYEOL
uGUI_Credits_9780,HIROMU UEDA
uGUI_Credits_9781,Lead System and UI Designer
uGUI_Credits_9782,KOICHI SHIMIZU
uGUI_Credits_9783,Companion App Designer
uGUI_Credits_9784,SHOUHEI KAWAMURA
uGUI_Credits_9785,@ Programming @
uGUI_Credits_9786,Lead Action Programmer
uGUI_Credits_9787,KOICHI MAKI
uGUI_Credits_9788,Action Programmers
