"old","new"
"ご機嫌麗しゅう。誉れ高き覚者殿","Good day to you. The Honorable Master of the Learned."
"この冒険の鍵を握るのは、貴方かも知れません","You may be the key to this adventure!"
"ご一緒できるとは無上の喜び――","It is a great pleasure to be with you."
"あぁ、素晴らしい冒険の予感がいたします","Oh, I have a feeling we are in for a great adventure!"
"ご活躍に花を添えてご覧にいれましょう","Let us see you with flowers for your success!"
"この出会いに乾杯！","Cheers to this encounter!"
"おや？　どなたかおいでのようですね","Oh?　Looks like someone's here."
"ふ、当然の結果でしょう","Well, I guess that's to be expected."
"この達成感、素晴らしい！","This accomplishment is wonderful!"
"語り継ぐにふさわしいご活躍です","Your work is worthy of being passed down to the next generation."
"残念。またの機会に――","Too bad. Another time--"
"ふ。また強くなってしまったのか","Huh. You're getting strong again."
"私に限界を教えてほしい！","I need you to tell me what my limits are!"
"あぁ！　磨いた力を披露したい！","Ahh!　I want to show off my honed skills!"
"ふふ。どんな英雄譚も小さな一歩から","Heh. Every heroic tale starts with a small step."
"もちろん、どこまでもお伴しますよ","Of course, I will accompany you wherever you go."
"敵のお出ましですか","Is the enemy here?"
"おっと、何かいますね","Oops, there's something here."
"あれは敵の影――ふふ！","That's the shadow of the enemy - heh!"
"嫌いではない。強敵と相対する高揚感――！","I don't dislike it. The elation of facing a strong enemy - that's what it's all about!"
"逃げるか、立ち向かうか。実に悩ましい――","To run or to stand? It's a real toss-up."
"あなたに感謝を！","Thank you!"
"なっ！？　しまった！","Huh?! Oh, shit!"
"助けを――求めるなど――","Asking for... help..."
"ここまでか――不本意だ――！","So much for - unwillingness to -!"
"私と――したことが――！","What I-- what I did--"
"血を見たくはないのですが","I don't want to see blood."
"軽くあしらってやりましょう","Let's make light of it."
"なかなか絵になる戦いでした","It was quite a picturesque battle."
"ふふ！　お役に立てたなら何より","Heh!　I'm glad I could help."
"勝利の美酒を、竜と貴方に","A beautiful celebration of victory, to you and the dragon."
"さぁ、こちらへ。今ですよ！　","Come on, this way. Now!"
"少々傷を負ってしまいましたね","I'm afraid I'm a little wounded."
"厳しいわけではありません。まだ――","It's not that it's tough. It's still--"
"くっ――私の体に傷が――！","Damn - the wounds on my body...!"
"人目を気にしている場合ではないか――","You don't have time to worry about being seen--"
"この状況、どうにかしなければ！","We have to do something about this situation!"
"そんな！　ど、どうして――！！","Oh, no!　How did you--!"
