"old","new"
"協力し、ともに使命達成を","Working together to achieve our mission"
"よろしくお願い申し上げる","Thank you for your cooperation."
"同行の覚者よ、あなたに忠義を尽くそう","Gathered Arisen, let us serve you with loyalty"
"信頼に足る方とお見受けした","I see you as trustworthy."
"任務成功に向け、最善を尽くす所存","We will do our best to make the mission a success."
"良き連携のために、最大限努力しよう","Let's do our utmost for good cooperation."
"我が主、同士の存在を確認","My Lord, confirming the presence of a peer."
"任務終了","Mission Completed"
"ほぼ計算通り","Almost exactly as calculated."
"この成功は必然","This success is inevitable."
"――これは、想定外の結果","--this is an unexpected result."
"基本能力、上昇","Basic Abilities, Increased"
"より高度な戦闘力を獲得！","Acquired a higher level of combat power!"
"この力、全て我が主の為に","All this power, all this power for my Lord."
"まずは周辺状況の確認を","First, check the surrounding conditions."
"帰路の確保を怠らぬよう","Be sure not to neglect securing the return route"
"敵影認識。警戒態勢へ","Enemy shadow recognized. Go to alert."
"討伐対象を捕捉","Capture the target for extermination"
"敵を発見！　油断なきよう","Enemy spotted!　Stay alert!"
"脅威となる敵発見。慎重に！","Threatening enemy detected. Be careful!"
"強敵と判断――最大の警戒を！","Judged to be a strong enemy--maximum caution!"
"支援感謝する","Appreciate the support."
"支援要求！","Support Request!"
"まずい、救援を！","Help! It's bad!"
"せ、戦線――離脱――","The... front line... withdrawal..."
"不覚！　行動――不能に――","Arisen! Inaction――Inability to――"
"敵排除、開始する！","Enemy elimination, begin!"
"戦闘態勢へ移行！","Shifted to battle stance!"
"対象沈黙。まずまずの戦果","Target silenced. Decent results."
"脅威の排除を完了","Complete threat elimination"
"戦闘終了！　我々の勝利","The battle is over!　We win."
"対象の足止めに成功！","Successfully stopped the target!"
"負傷はあるが、問題なし","Injured, but no problems."
"状態注意。　早めの対処を","Status attention. Take action as soon as possible"
"負傷部位、拡大――！","Injury site, expanding――!"
"この状況での任務継続は困難――","It would be difficult to continue the mission under these circumstances--"
"く、早急な立て直しが必要――","Quick, we need to regroup immediately――"
"なっ！？　これでは全ての戦略が無駄に――","What?　All of our strategies have been in vain."
"少々――時間を――","Just-- just a moment-- just a moment."
"ただちに回復する！","Recover immediately!"
"敵の誘導は、私が","I'm going to guide the enemy."
"援護する！","Cover!"
"回避する！","Avoid!"
"そこ！","There!"
"必中！","A must!"
"必ず仕留める！","We will make sure to finish them off!"
"ここから跳躍を！","Take the leap from here!"
"了解した","Understood."
"命令に従う","follow orders"
"承服しかねる","find it hard to accept"
"装備・道具には重々の確認を","Check your equipment and tools very carefully."
"我が主よ、出立の時が近いとお見受けする","My Lord, I see that the time for your departure is near."
"疲労が溜まる前に、適度に休憩を","Take a moderate break before fatigue sets in."
"休息も心身の安定には不可欠","Rest is also essential for mental and physical stability"
"よき眠りを、我が主","Sleep well, my Lord."
