"0","","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","救出対象が魔物に襲われている――急ぎ鎮圧しなければ！","ui\00_message\examine_message\quest\quest_examine_q21017013.gmd","\quest\q21017013.arc","q21017013.arc","1"
"0","0","あれ、こんな所に人か
珍しいな、よそから来たって奴らか","あれ、こんな所に人か
珍しいな、よそから来たって奴らか","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","0"
"0","0","俺は――ここで修業してたんだ
決して迷っているわけじゃないんだぞ
ここは強い魔物がたっぷりだからな！","俺は――ここで修業してたんだ
決して迷っているわけじゃないんだぞ
ここは強い魔物がたっぷりだからな！","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","1"
"0","0","――っと、そうだ、ちょうどいい所に来たな
ここから出るのを手伝ってくれないか？
実はかなりキツい魔物がいてな――
疲れきった今の俺じゃ、少し危なそうなんだ","――っと、そうだ、ちょうどいい所に来たな
ここから出るのを手伝ってくれないか？
実はかなりキツい魔物がいてな――
疲れきった今の俺じゃ、少し危なそうなんだ","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","2"
"0","0","ほらほら、噂をすればお出ましのようだぞ――
さぁ！　俺が疲れて眠りこけちまう前に
片付けようぜ！","ほらほら、噂をすればお出ましのようだぞ――
さぁ！　俺が疲れて眠りこけちまう前に
片付けようぜ！","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","3"
"0","0","サリヴァンは見つかったんだな？
良かった――
まぁ、アイツほどの腕なら
そう簡単に死ぬはずはないからな","サリヴァンは見つかったんだな？
良かった――
まぁ、アイツほどの腕なら
そう簡単に死ぬはずはないからな","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","4"
"0","0","とにかく、礼を言うよ
アイツを助けてくれて、ありがとう","とにかく、礼を言うよ
アイツを助けてくれて、ありがとう","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","5"
"0","0","――そうか、サリヴァンは何とか助かったか
良かった――
アイツが手こずるほど手強い敵も
この辺りにはいるのだな","――そうか、サリヴァンは何とか助かったか
良かった――
アイツが手こずるほど手強い敵も
この辺りにはいるのだな","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","6"
"0","0","エランの拠点復興に貢献するため
こうして遊学をしていたが
相棒であるアイツがそんな状態ともなると
旅は断念せざるを得ないかもしれないな","エランの拠点復興に貢献するため
こうして遊学をしていたが
相棒であるアイツがそんな状態ともなると
旅は断念せざるを得ないかもしれないな","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","7"
"0","0","くそ――こんな結果、
送り出してくれたミューセルに面目ない
せめて戦いについてだけでも、精進せねばならないな","くそ――こんな結果、
送り出してくれたミューセルに面目ない
せめて戦いについてだけでも、精進せねばならないな","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","8"
"0","0","へぇ――なんだか辛気臭い村だとは思っていたが
食い物はなかなか悪くなさそうだな
うん、これはミューセルに良い土産ができそうだ
なぁ、サリー","へぇ――なんだか辛気臭い村だとは思っていたが
食い物はなかなか悪くなさそうだな
うん、これはミューセルに良い土産ができそうだ
なぁ、サリー","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","9"
"0","0","――あれ、サリー？
くそ、どこへ行った
ん？　お前はたしか影の魔物を倒したとか噂の――
なぁ、大柄でいかつい顔の男を見なかったか？","――あれ、サリー？
くそ、どこへ行った
ん？　お前はたしか影の魔物を倒したとか噂の――
なぁ、大柄でいかつい顔の男を見なかったか？","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","10"
"0","0","アイツ、また途中ではぐれたんだな
おいお前、さっきのを見ていたことは許してやるから
一つ頼まれてくれないか？","アイツ、また途中ではぐれたんだな
おいお前、さっきのを見ていたことは許してやるから
一つ頼まれてくれないか？","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","11"
"0","0","実は、連れとはぐれてしまったようでな
そこで我々が通ってきた場所へ探しに行ってほしい
恐らく《<STG 862>》の方だと思うんだが――","実は、連れとはぐれてしまったようでな
そこで我々が通ってきた場所へ探しに行ってほしい
恐らく《<STG 862>》の方だと思うんだが――","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","12"
"0","0","サリヴァンと言う男だ――
もし危険な目に遭っていたら
急いで助けてやってくれ
無事に帰ってきたら――その分、礼はするよ","サリヴァンと言う男だ――
もし危険な目に遭っていたら
急いで助けてやってくれ
無事に帰ってきたら――その分、礼はするよ","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","13"
"0","0","恐らく、サリヴァンは《<STG 862>》の方を
まだ彷徨っているのだろう
全く、なんて間抜けなんだ
一体いつ頃からいなかったんだか――","恐らく、サリヴァンは《<STG 862>》の方を
まだ彷徨っているのだろう
全く、なんて間抜けなんだ
一体いつ頃からいなかったんだか――","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","14"
"0","0","私が行くべきなのだろうが
生憎、エラン水林へ帰る時間が迫っているのでな
帰るための準備もあって手が離せないんだ
すまないが、ヤツを探してきてくれないか？","私が行くべきなのだろうが
生憎、エラン水林へ帰る時間が迫っているのでな
帰るための準備もあって手が離せないんだ
すまないが、ヤツを探してきてくれないか？","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","15"
"0","0","ふう――さすがに危ない所だったな
助けてくれて、ありがとう！
それにしても、こんな所で散歩とは物好きな奴だな","ふう――さすがに危ない所だったな
助けてくれて、ありがとう！
それにしても、こんな所で散歩とは物好きな奴だな","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","16"
"0","0","――え――グリニスに頼まれてきた、って
あ、あいつ今、キンガル峡谷にいるのか！？
モルフォールに向かうって言っていたじゃないか！","――え――グリニスに頼まれてきた、って
あ、あいつ今、キンガル峡谷にいるのか！？
モルフォールに向かうって言っていたじゃないか！","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","17"
"0","0","俺がここで腹を空かせている間に、グリニスの奴！
ま、でもなんとか無傷だった事だし――
一つ文句言うくらいで許してやるか","俺がここで腹を空かせている間に、グリニスの奴！
ま、でもなんとか無傷だった事だし――
一つ文句言うくらいで許してやるか","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","18"
"0","0","こんなにあんたが強いなら、
手合せの一つでも申し込みたいところだが
残念ながら、この通りなんでな――","こんなにあんたが強いなら、
手合せの一つでも申し込みたいところだが
残念ながら、この通りなんでな――","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","19"
"0","0","それもこれも全部アイツ、グリニスのせい――
え、あんた――アイツに依頼されて
探しにきてくれたのか！？
こんなところまで、わざわざすまなかった","それもこれも全部アイツ、グリニスのせい――
え、あんた――アイツに依頼されて
探しにきてくれたのか！？
こんなところまで、わざわざすまなかった","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","20"
"0","0","危うく、エラン水林に帰れなくなるところだったぜ
全く――遊学の旅は早いところ終わらせて
あの美しい森で鍛錬する日々に戻りたいもんだ","危うく、エラン水林に帰れなくなるところだったぜ
全く――遊学の旅は早いところ終わらせて
あの美しい森で鍛錬する日々に戻りたいもんだ","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","21"
"0","0","さぁ！　サクッと片づけちまおうぜ","さぁ！　サクッと片づけちまおうぜ","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","22"
"0","0","うう――
ちょっとばかしマズそうだな","うう――
ちょっとばかしマズそうだな","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","23"
"0","0","くそ――これ以上は無理だ
悪いな、後は任せるぜ","くそ――これ以上は無理だ
悪いな、後は任せるぜ","ui\00_message\quest\q21017013.gmd","\quest\q21017013.arc","q21017013.arc","24"
"0","0","あなたは、リズ様のご友人の！
こんなところでお会いするとは――
魔物に足止めを食らい途方に暮れていたのです
これはなんという僥倖でしょう！","あなたは、リズ様のご友人の！
こんなところでお会いするとは――
魔物に足止めを食らい途方に暮れていたのです
これはなんという僥倖でしょう！","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","0"
"0","0","――まぁ、共に闘ってくださるのですか？
それは――なんともありがたいことです","――まぁ、共に闘ってくださるのですか？
それは――なんともありがたいことです","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","1"
"0","0","実は、長い時間戦闘状態にあったため
かなり消耗しているのです――
ポーンとして情けないのですが
覚者様のお力添えをいただけると助かります","実は、長い時間戦闘状態にあったため
かなり消耗しているのです――
ポーンとして情けないのですが
覚者様のお力添えをいただけると助かります","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","2"
"0","0","あまり長くは戦えそうにありませんが――
最後まで、力を振り絞ることをお約束いたします
それでは――参りましょう！","あまり長くは戦えそうにありませんが――
最後まで、力を振り絞ることをお約束いたします
それでは――参りましょう！","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","3"
"0","0","無傷だったか、良かった
い、いや――少しばかり怪我でもして
懲りてくれれば良かったのだがな","無傷だったか、良かった
い、いや――少しばかり怪我でもして
懲りてくれれば良かったのだがな","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","4"
"0","0","それに、狩りなど村の者に任せておけばよい
地理に疎いよそ者が出しゃばるから
こんな事になるのだ","それに、狩りなど村の者に任せておけばよい
地理に疎いよそ者が出しゃばるから
こんな事になるのだ","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","5"
"0","0","――あの者は大人しそうな顔をしているが
なかなかよく働く
たまには休めと、伝えてやってくれ","――あの者は大人しそうな顔をしているが
なかなかよく働く
たまには休めと、伝えてやってくれ","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","6"
"0","0","――命だけは助かったか
不用意にあの辺りをうろつくと
どういう事になるか
いい薬にはなっただろう","――命だけは助かったか
不用意にあの辺りをうろつくと
どういう事になるか
いい薬にはなっただろう","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","7"
"0","0","なに、ポーンだったと？
私は覚者だのポーンだの、それらの事に明るくない
――人の姿をした者が傷つくのは
誰であろうと、あまり好かんのでな","なに、ポーンだったと？
私は覚者だのポーンだの、それらの事に明るくない
――人の姿をした者が傷つくのは
誰であろうと、あまり好かんのでな","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","8"
"0","0","族長は一体何を考えているのだろうか
よそ者に遺跡を嗅ぎ回らせるなど――
少し、掟を軽視しすぎているのではないか","族長は一体何を考えているのだろうか
よそ者に遺跡を嗅ぎ回らせるなど――
少し、掟を軽視しすぎているのではないか","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","9"
"0","0","オイングスをはじめ、一部の者は貴様に同調し
「村の外に目を向けるべきだ」などとうそぶいている
全くもって、愚かな考えだ――","オイングスをはじめ、一部の者は貴様に同調し
「村の外に目を向けるべきだ」などとうそぶいている
全くもって、愚かな考えだ――","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","10"
"0","0","先ほどもよそ者が一人
《<STG 865>》へ向かって行ってしまった
なぜ貴様らは村を危機に晒そうとする
なぜ貴様らは命を自ら捨てに行こうとするのだ――","先ほどもよそ者が一人
《<STG 865>》へ向かって行ってしまった
なぜ貴様らは村を危機に晒そうとする
なぜ貴様らは命を自ら捨てに行こうとするのだ――","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","11"
"0","0","――くそ、こうしていてもあの女には伝わらん
おい貴様、いくらかの武勇はあるそうではないか
借りを作るのは癪だが――
遺跡へ向かった愚か者の様子を見てきてくれないか","――くそ、こうしていてもあの女には伝わらん
おい貴様、いくらかの武勇はあるそうではないか
借りを作るのは癪だが――
遺跡へ向かった愚か者の様子を見てきてくれないか","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","12"
"0","0","もし、危険な目に遭っていたら――
迅速に救出してやってくれ
怪我をされて、村の物資を無駄に費やさないためだ
――頼んだぞ","もし、危険な目に遭っていたら――
迅速に救出してやってくれ
怪我をされて、村の物資を無駄に費やさないためだ
――頼んだぞ","ui\00_message\quest\q21017014.gmd","\quest\q21017014.arc","q21017014.arc","13"
