"0","","異質なる大石塊、アーク
おそらくこれは、この地にあってはならぬもの","異質なる大石塊、アーク
おそらくこれは、この地にあってはならぬもの","ui\00_message\pawn\talk\stage\feature3014\persona04.gmd","\pw_talk\pt_feature3014_persona04.arc","pt_feature3014_persona04.arc","4"
"0","0","しかし、恐ろしい技術力です
アークがいったいどのように造られたかを
思うと、感嘆以外ありませんね――","しかし、恐ろしい技術力です
アークがいったいどのように造られたかを
思うと、感嘆以外ありませんね――","ui\00_message\pawn\talk\stage\feature3014\persona05.gmd","\pw_talk\pt_feature3014_persona05.arc","pt_feature3014_persona05.arc","0"
"0","0","また、例の妙な改造が施された魔物たちが
行く手を守っているのでしょう
厄介ですが、憐れなものです","また、例の妙な改造が施された魔物たちが
行く手を守っているのでしょう
厄介ですが、憐れなものです","ui\00_message\pawn\talk\stage\feature3014\persona05.gmd","\pw_talk\pt_feature3014_persona05.arc","pt_feature3014_persona05.arc","1"
"0","0","黒と白と金の内装――
確かに美しくはあるのですが、どうにも素直に
称える気になれません","黒と白と金の内装――
確かに美しくはあるのですが、どうにも素直に
称える気になれません","ui\00_message\pawn\talk\stage\feature3014\persona05.gmd","\pw_talk\pt_feature3014_persona05.arc","pt_feature3014_persona05.arc","2"
"0","0","あぁ、また――！
脳裏に、言葉のようなものが微かに浮かんでは
消えてゆく――そんな気がしませんか","あぁ、また――！
脳裏に、言葉のようなものが微かに浮かんでは
消えてゆく――そんな気がしませんか","ui\00_message\pawn\talk\stage\feature3014\persona05.gmd","\pw_talk\pt_feature3014_persona05.arc","pt_feature3014_persona05.arc","3"
"0","0","さて――
この怪しき宮の奥には
何が待ち構えているのやら","さて――
この怪しき宮の奥には
何が待ち構えているのやら","ui\00_message\pawn\talk\stage\feature3014\persona05.gmd","\pw_talk\pt_feature3014_persona05.arc","pt_feature3014_persona05.arc","4"
"0","0","うわぁ――
ここ、一体何でできているんでしょう
灯りとか見たことない形です
どうやって光ってるんだろう","うわぁ――
ここ、一体何でできているんでしょう
灯りとか見たことない形です
どうやって光ってるんだろう","ui\00_message\pawn\talk\stage\feature3014\persona06.gmd","\pw_talk\pt_feature3014_persona06.arc","pt_feature3014_persona06.arc","0"
"0","0","気を付けてくださいね、覚者さま！
前のアークより広そうだし
敵も強そうですから","気を付けてくださいね、覚者さま！
前のアークより広そうだし
敵も強そうですから","ui\00_message\pawn\talk\stage\feature3014\persona06.gmd","\pw_talk\pt_feature3014_persona06.arc","pt_feature3014_persona06.arc","1"
"0","0","床も壁も、見たことない細工です
すごいなぁ
作った人達の工房を見てみたいですね","床も壁も、見たことない細工です
すごいなぁ
作った人達の工房を見てみたいですね","ui\00_message\pawn\talk\stage\feature3014\persona06.gmd","\pw_talk\pt_feature3014_persona06.arc","pt_feature3014_persona06.arc","2"
"0","0","うーん、何だろう
さっきから誰かの声みたいなものが
聞こえるような、聞こえないような――","うーん、何だろう
さっきから誰かの声みたいなものが
聞こえるような、聞こえないような――","ui\00_message\pawn\talk\stage\feature3014\persona06.gmd","\pw_talk\pt_feature3014_persona06.arc","pt_feature3014_persona06.arc","3"
"0","0","ヘンテコな間取りですね
外から見るよりずっと広いや
どうなっているんでしょう","ヘンテコな間取りですね
外から見るよりずっと広いや
どうなっているんでしょう","ui\00_message\pawn\talk\stage\feature3014\persona06.gmd","\pw_talk\pt_feature3014_persona06.arc","pt_feature3014_persona06.arc","4"
"0","0","あぁ、しかし随分な構造ですぜ
このアークってのは
どんな技術で作ったのやら","あぁ、しかし随分な構造ですぜ
このアークってのは
どんな技術で作ったのやら","ui\00_message\pawn\talk\stage\feature3014\persona07.gmd","\pw_talk\pt_feature3014_persona07.arc","pt_feature3014_persona07.arc","0"
"0","0","ち、このアークってやつぁ
降ってくる度厄介になりやがる","ち、このアークってやつぁ
降ってくる度厄介になりやがる","ui\00_message\pawn\talk\stage\feature3014\persona07.gmd","\pw_talk\pt_feature3014_persona07.arc","pt_feature3014_persona07.arc","1"
"0","0","豪華なんだが、どうも無機質な場所ですねぇ
人間みがねぇというか――
ポーンの俺が言うのもなんですが","豪華なんだが、どうも無機質な場所ですねぇ
人間みがねぇというか――
ポーンの俺が言うのもなんですが","ui\00_message\pawn\talk\stage\feature3014\persona07.gmd","\pw_talk\pt_feature3014_persona07.arc","pt_feature3014_persona07.arc","2"
"0","0","――あ？
誰かの声が聞こえた気がしましたが
気のせいですかね","――あ？
誰かの声が聞こえた気がしましたが
気のせいですかね","ui\00_message\pawn\talk\stage\feature3014\persona07.gmd","\pw_talk\pt_feature3014_persona07.arc","pt_feature3014_persona07.arc","3"
"0","0","なにせここは得体が知れねぇ
油断しねぇでくださいよ、覚者さま","なにせここは得体が知れねぇ
油断しねぇでくださいよ、覚者さま","ui\00_message\pawn\talk\stage\feature3014\persona07.gmd","\pw_talk\pt_feature3014_persona07.arc","pt_feature3014_persona07.arc","4"
