"id","old","new"
"47","修練用","Training"
"48","捕囚サイクロプス","Captive Cyclops"
"52","さまようポーン","Lost Pawn"
"53","要警戒","Vigilant"
"54","凶悪","Brutal"
"56","危機的","Dangerous"
"57","伝説級","Legendary"
"59","八騎喰らい","Yakki Gourmet"
"60","百騎喰らい","Hyakki Gourmet"
"61","万騎喰らい","Knight Eater"
"120","亡都巨人兵","Ruins Giant Warrior"
"122","ゴブリンの尖兵","Goblin Vanguard"
"123","ゴブリンの哨戒兵","Goblin Patrol"
"124","ゴブリンの補給兵","Goblin Reinforcement"
"125","オーク侵略兵","Orc Invader"
"126","キラービー進攻種","Invasive Killer Bee"
"127","5本角のガルゴ","Galugo the Pentagram"
"128","ガルゴの手下","Galugo's Minion"
"129","集いし","Flocking"
"130","集いし","Flocking"
"131","集いし","Flocking"
"132","集いし","Flocking"
"133","森乱のエイプ","Disturbed Forest Ape"
"134","囚われし","Captive"
"135","囚われし","Captive"
"136","さまよえるポーン","Wandering Pawn"
"137","さまよえるポーン","Wandering Pawn"
"138","さまよえるポーン","Wandering Pawn"
"139","異形の大スケルトン","Large Deformed Skeleton"
"140","精錬","Refined"
"141","人喰い","Man-Eating"
"142","猛る","Fierce"
"143","縄張り荒らしの巨人","Territorial Giant"
"144","縄張り荒らしの妖鳥","Territorial Demon Bird"
"145","オーク侵略兵","Orc Invader"
"146","砦破り","Fort-Breaker"
"147","強襲の","Assault"
"148","召喚されし牙竜","Summoned Fanged Dragon"
"149","異形のオオカミ","Deformed Wolf"
"150","異形のゴブリン","Deformed Goblin"
"151","異形のゴブリン","Deformed Goblin"
"152","オーク尖兵","Orc Vanguard"
"153","オーク侵略兵","Orc Invader"
"154","軍狼","Wolf Unit"
"155","オーク軍指揮官","Orc Commander"
"156","オーク突撃兵","Orc Assailant"
"157","軍竜","Dragon Unit"
"158","オーク追撃兵","Orc Pursuer"
"159","オーク軍指揮官","Orc Commander"
"160","オーク突撃兵","Orc Assailant"
"161","オーク投撃兵","Orc Thrower"
