"old","new"
"戦い方で気になること、ですか？
おや――何か言いたげな顔ですね
生憎、私は我が振る舞いに誇りを持っておりますよ","Is there something on your mind? 
You seem like you want to say something.
Unfortunately, I take pride in my behavior."
"戦い方で気になること、ですか？
無い――といえば嘘になりますが
主殿のお手を煩わせるほどのことではございません","Is there something you're concerned about in the way of fighting? 
There isn't ―― well, that would be a lie, but it's nothing that would trouble you, Lord."
"戦い方で気になること、ですか？
それは――ええ、残念ながら
私にも完璧ではない点があるのです
無論、弛まぬ研鑽により日々磨かれてはおりますが","Is that what you're concerned about when it comes to how to fight? 
Well, unfortunately, I have imperfections too. 
Of course, I am constantly polished through diligent study and practice."
"――何か思うところがあるのですね
私もちょうど、主殿の理想とする戦徒の姿について
自室でゆっくりと伺いたい、そう思っていたのですよ
主の気の向くとき、自室のベルでお呼びください","I see that there is something on your mind.
I was just thinking that I would like to hear about the ideal form of the Myrmidons that you, Lord, envision.
When it suits your mood, please ring the bell in your room and summon me."
"あぁ！　クラフトの静かなる熱とは異なる
貴方と大地を歩むこの高揚感――！！
ポーンとしてこれに勝る充実はありません","Ahh!　Different from the quiet heat of the craft, this elation of walking the earth with you--!
As a pawn, there is no greater fulfillment."
"覚者殿、体力は常に気配りを
万一貴方の身に何かあったなら、悔しき哉――！
私には、貴方を助け起こす術がないのです","Lord Arisen, I am always aware of your physical condition.
If by any chance something were to happen to you, it would be most regrettable――!
I have no means to assist you."
"クラフトでも戦闘でも、ご用命があれば
喜んでお受けしますとも
我が敬愛せし覚者殿","Crafting or combat, I am happy to assist whenever you have a request.
My utmost respect, Arisen."
"白竜さまはお目が高いと言わざるを得ません
なにせ、貴方さまを覚者に選んだのですから！","I can't help but say that Lord White Dragon has exquisite taste.
After all, he chose you, the Arisen!"
"あぁ、もし地に膝をつくようなことになれば
私の株が――！","Ah, if it were to come to bow down on the ground...
My reputation would be ruined!"
"そうそう。野外では足元にご注意くださいね
崖や毒沼、クモにスライム――
気味悪いものを踏んだり、思わぬ怪我をしますから","Oh, yes. Please be careful of your footing in the outdoors.
Cliffs, poisonous swamps, slimes, and spiders――
you could step on something creepy or get unexpected injuries, you know."
"おぉ、そうだ。ニュースはご覧になりましたか？
近くに良いクエストがあるかもしれませんよ","Oh, I see. Have you seen the news? 
There might be a good quest nearby, you know."
"ふふっ！
魔物や迷宮とて、さしずめ貴方の引き立て役
貴方さまとともに、偉大な冒険譚の一幕を
演ずる喜び――何ものにも代えがたい","Hehe! As enemies and labyrinths, I am merely a supporting role for you, my Lord. 
Together with you, I delight in enacting a scene from a grand adventure tale—something incomparable to anything else."
"星の数ほどいるポーンの中から
私を選んでくださったこと、
ポーンとしてこの上なき光栄――！","From among the countless pawns in the sky, the fact that you have chosen me.
As a pawn, it is the greatest honor --!"
"必ずや、お役に立ってご覧にいれますとも","I will definitely do my best to be of service to you, Lord."
"少し思う所があるのです
現在の私のジョブや容姿、働きぶりは
貴方さまの満足にたるレベルなのか――否か","There are some thoughts I have. 
Regarding my current job, appearance, and dedication, are they at a level that satisfies you, Master?"
