"Term [en]","Description [en]","Part of Speech [en]","Term [ja]","Description [ja]","Part of Speech [ja]"
"""<NAME QUEST>"" can no longer progress.",,,"＜<NAME QUEST>＞が進行不可になりました",,
"Climax Bow",,,至弓,,
"These Powerful enemies
wait in special areas in the field or in deep dungeons.

Because it's likely to become the target of a quest,
Always be well prepared to challenge them!",,,"それらエリアの強敵は、フィールドの
専用ロケーションや封鎖ダンジョンの奥などで
待ち構えています

時にはエリア試練クエストの討伐対象になる
こともあるため、十分準備して挑みましょう",,
"Refined Legs",,,ラフィネレッグス,,
"""<NAME QUEST>"" can now progress.",,,"＜<NAME QUEST>＞が進行可能になりました",,
"Knockout Power +16",,,気絶攻力＋16,,
"For NPC_Survey Corps",,,NPC用_調査兵団,,
"These are only scratches!　There is still room for more!",,,こんな傷など！　まだまだ余裕です,,
"Knockout Power +17",,,気絶攻力＋17,,
Climb,,,しがみつき,,
"Refined Paraffin",,,精製パラフィン,,
"For NPC_Sword of Prince Nedo",,,NPC用_ネド王子剣,,
"""<NAME QUEST>"" delivery objective achieved.",,,"＜<NAME QUEST>＞の納品目標を達成しました",,
"Refining Material",,,精錬材,,
"These results, you're good.",,,この結果、あなたの実力よ,,
"""<NAME QUEST>"" has met its delivery requirement.",,,"「<NAME QUEST>」
納品目標を全て達成しました",,
"Climb Speed Up",,,クライム速度アップ,,
"For NPC_aa200000",,,NPC用_aa200000,,
"Knockout Power +18",,,気絶攻力＋18,,
Climbing,,,クライミング,,
"""<NAME QUEST>"" is awaiting acceptance.",,,"＜<NAME QUEST>＞が受注待ちになりました",,
"Knockout Power +19",,,気絶攻力＋19,,
"Refreshing Remedy",,,爽身薬,,
"These skills will help you!",,,このスキルなら、お役に立てるはず,,
"For NPC_aa200000ver2",,,NPC用_aa200000ver2,,
"Cling to the Cyclops in the deeper chamber and use Inverse Slash.",,,最奥のサイクロプスにしがみつき魔倒斬りせよ,,
"""<NAME SKILL> <VAL LV>"" can now be learned.",,,"「<NAME SKILL> <VAL LV>」へのレベルアップが可能になりました",,
"These things happen. Don't let it get you down.",,,こういうこともあるわ。気を落とさないで,,
"For NPC_ab210000",,,NPC用_ab210000,,
"Knockout Power +20",,,気絶攻力＋20,,
"Refreshing Rescue",,,爽快,,
"They Who Bring War",,,戦乱を齎す者,,
"Cling to the enemy and successfully use Ride Heal Aura",,,敵にしがみつきライドヒールオーラを成功させよ,,
"Knowing the darkness of Megado,
A mysterious and influential figure",,,"メガドの闇を知る
謎多き暗躍者",,
"Refusal to Transact? ",,," 取引しない？",,
"For NPC_ac260000",,,NPC用_ac260000,,
"""<VAL>"" Grudge Pillars left",,,"怨塊 残り“<VAL>個”――",,
"For NPC_ac260007",,,NPC用_ac260007,,
"They Who Wield Fury",,,憤怒を振るう者,,
"Knuckle Guard",,,ナックルガード,,
"""<VAL>"" effect has been applied.",,,“<VAL>”の効果が付与されました,,
"Cling to the enemy and successfully use Ride Holy Aura",,,敵にしがみつきライドセイントオーラを成功させよ,,
"Regal Barrier",,,レギア・バリアル,,
"Regal Blue",,,リーガルブルー,,
"They became pale in the face, and said that collecting
such things must be stopped at once. 
Doing anything else, would be inviting ""bad fate""...
By the look on their face, they weren't lying...
It's still hard to believe though.",,,"青い顔になって、そんなものを集めるのは
すぐ止めるようにと強く言われた
なんでも、“良くない運命”を引き寄せるとか――
嘘をついている表情ではないが――
にわかに信じがたい",,
"Cling to the enemy in the deeper chamber and attack them
with Concluster.",,,最奥の敵にしがみつきコンクラスターで攻撃せよ,,
"Krall Banded",,,クラールバンデッド,,
"""<VAL>"" effect has been removed.",,,“<VAL>”の効果が解除されました,,
"For NPC_al230000",,,NPC用_al230000,,
"Cling to the enemy in the deeper chamber and use
Invigorating Magick Arrow.",,,最奥の敵にしがみつき奮わせ直魔矢をせよ,,
"Krall Breastplate",,,クラールブレスト,,
"Regal Coat",,,リーガルコート,,
"""<VAL>"" mission ""<VAL>"" achieved.",,,＜<VAL>＞の使命＜<VAL>＞を達成しました,,
"They finally defeated the Black Knight. Though it came at the cost of Leo, the greatest hero of our time, the Black Knight is no more.
I shall refrain from sharing my personal thoughts on Leo's death here. No one would want to read words soaked in the endless grief of an old man. Let us focus on the future instead.

There are no longer any obstacles targeting Cecily. However, in order to completely eradicate the corrupting demons that continue to invade Lestania, we must board Phindym and eliminate the sour",,,"　彼らはついに黒騎士を倒した。レオという当代一の
英傑の命と引き替えではあるが黒騎士はもういない
　レオの死についての個人的な思いをここに記すのは
やめておこう。年寄りの、とめどなくあふれる悲しみ
で濡れた言葉など誰も読みたくなかろう、今後のこと
を考えようではないか
　セシリーを狙う邪魔者はいなくなった。それでもな
おレスタニアに押し寄せる侵食魔を根絶やしにするに
は、フィンダムに乗り込んで侵食の原因を排除するし
かない
　この地とフィンダムを結ぶゲートが開けばそれも可
能になるだろう。困難を極めるだろうが、できないこ
とはない、レオが身を持って教えてくれたことだ。忘
れるものか",,
"For NPC_wb240000",,,NPC用_wb240000,,
"They hold the advantage, fall back!",,,流れが悪い、押し返す！,,
"""<VAL>"" mission ""<VAL>"" has begun.",,,＜<VAL>＞の使命＜<VAL>＞を開始しました,,
"For NPC_wb240010",,,NPC用_wb240010,,
"Regarding Request",,,お願いについて,,
Krater,,,クラテール,,
"Cling to the enemy in the deeper chamber and use Magic Cracker",,,最奥の敵にしがみつきマジッククラッカーで攻撃せよ,,
"""<VAL>"" mission ""<VAL>"" progress decreased.",,,＜<VAL>＞の使命＜<VAL>＞の達成度が減少しました,,
"Cling to the enemy in the inner sanctum and attack using Irah Thrust",,,最奥の敵にしがみつきイラー・スラストで攻撃せよ,,
"Regarding special skill settings",,,特技設定について,,
"Krifo Proseuché",,,クリフォプロセウケー,,
"For NPC_wl250000",,,NPC用_wl250000,,
"They said Leo is ready, and waiting for you to arrive.",,,"準備を整えたレオが待っているから
来てくれとのことだ",,
"Cling to the enemy in the inner sanctum, and attack it with Scarlet Slashes.",,,最奥の敵にしがみついて乱斬りせよ,,
"For NPC_wp300000",,,NPC用_wp300000,,
"""<VAL>"" mission ""<VAL>"" progress increased.",,,＜<VAL>＞の使命＜<VAL>＞の達成度が上昇しました,,
"Regarding tactics training",,,戦術育成について,,
Kris,,,クリス,,
"They were foolish to invade this far!",,,ここまで攻め込まれるとは――不覚！,,
"Cling to the enemy, and hit them with Arrowhead Strike",,,敵にしがみついて矢じり斬りで攻撃せよ,,
Regina,,,レジーナ,,
"For NPC_wp300003",,,NPC用_wp300003,,
"""A page from an old diary has fallen down.""",,,"""古い日記のページが落ちている""",,
"They're down! Let's go all out!",,,"ダウンしました！ 一気にたたみ掛けましょう！",,
"Kris Naga Artery",,,クリスナーガアーテリー,,
"Cling to the enemy, and strike at it with Gouge",,,敵にしがみついてえぐり突きで攻撃せよ,,
"Regional Material",,,地域素材,,
"Thick Bone",,,太い硬骨,,
"""A page of someone's diary has fallen""",,,"""誰かの日記の１ページが落ちている""",,
"Kris Naga Pulse",,,クリスナーガパルス,,
"For NPC_wp300005",,,NPC用_wp300005,,
"Thick Dragonscale",,,分厚い竜鱗,,
"For NPC_wp300010",,,NPC用_wp300010,,
"Cling to the enemy, and successfully use Weak Light",,,敵にしがみついてウィークライトを成功させよ,,
Register,,,登録,,
"""A page out of a diary has fallen down.""",,,"""日記の１ページが落ちている""",,
"Kris Naga Vein",,,クリスナーガヴェイン,,
"Thick Shell",,,厚い貝殻,,
"Register Preset",,,プリセット登録,,
Krishna,,,クリシュナ,,
Clinging,,,しがみつき行動,,
"""Alchemy Slayer"" added.",,,対敵特効【錬金】を付加する,,
"For NPC_wp300010ver2",,,NPC用_wp300010ver2,,
"For NPC_wp300014",,,NPC用_wp300014,,
"""Bad fate""
...Aah, have you been creeping up on me without a sound?",,,"“良くない運命”
――あぁ、音も無く忍び寄られていたのか",,
"Thief Card",,,怪盗カード,,
"Register Shortcut",,,ショートカット登録,,
"Cloak of Lament",,,慟哭のクローク,,
"Kuh!　Get off me, you son of a bitch!",,,クッ！　離しやがれ、この！,,
"For NPC_wp300015",,,NPC用_wp300015,,
"Cloak of Nostalgia",,,望郷のクローク,,
"Thief's Blades",,,シーフブレード,,
"Register and set the Pawn Cathedral Portcrystal",,,ポーン郷の＜拠点の礎＞を解放しマイ拠点登録する,,
Kunstkette,,,クンストケッテ,,
"""Beast Slayer"" added.",,,対敵特効【獣】を付加する,,
"Thief's Mask",,,盗賊マスク,,
Kunstraum,,,クーニストラウム,,
"Register and set the Tel Village portcrystal",,,テル村の＜拠点の礎＞を解放しマイ拠点に登録する,,
"""Calm Field"" (Easy)",,,穏やかな野原（かんたん）,,
"For NPC_wp300041",,,NPC用_wp300041,,
"Cloak of Vows",,,誓いのクローク,,
"Thin Wood",,,細い木材,,
"Registration Method - Multi-Shortcut:
From the [<KC UI_GAME_MENU>] Game Menu, highlight the menu option.
In the case of an item, highlight a <COL ffdc78>Consumable</COL>
from the ""Item Bag"".

<PADM>　Hold [<KC UI_SC_MULTI>] then press [ <KC UI_SC_MULTI_RIGHT>/<KC UI_SC_MULTI_DOWN>/<KC UI_SC_MULTI_LEFT>/<KC UI_SC_MULTI_UP> ]<KEYM>　[<KC UI_MSC1> ~ <KC UI_MSC12>] assign to your choice</KEYM>
<PADM>　　　　　　*assign to your choice

<PADM>　[<KC UI_SC_MULTI_PAGE_L>/<KC UI_SC_MULTI_PAGE_R>] Change set (Up to 3 sets all",,,"＜登録方法：マルチショートカット＞
【<KC UI_GAME_MENU>】ゲームメニューから、登録したい
メニューを選択
アイテムの場合は《アイテムバッグ》の
<COL ffdc78>消費アイテム</COL>を選択

<PADM>　【<KC UI_SC_MULTI>】を押して【 <KC UI_SC_MULTI_RIGHT>／<KC UI_SC_MULTI_DOWN>／<KC UI_SC_MULTI_LEFT>／<KC UI_SC_MULTI_UP> 】<KEYM>　【<KC UI_MSC1> ～ <KC UI_MSC12>】任意に割り当て</KEYM>
<PADM>　　　　　　※任意に割り当て

<PADM>　【<KC UI_SC_MULTI_PAGE_L>／<KC UI_SC_MULTI_PAGE_R>】セット切替（３セットまで可能）</PADM>",,
"For NPC_wp300047",,,NPC用_wp300047,,
Kurt,,,クルト,,
"Cloak of Wonder",,,ワンダークローク,,
Clock,,,時計,,
"Kuuuu!! Such profound happiness!
Every time I think back, it wells up in my chest—!",,,"くうぅぅぅ！！　ありがたき幸せ！
思い返すたび胸に込み上げます――！",,
"For NPC_wp300053",,,NPC用_wp300053,,
"Registration Method - Multi-Shortcut:
From the [<KC UI_GAME_MENU>] Game Menu, highlight the menu option.
In the case of an item, highlight a <COL ffdc78>Consumable</COL>
from the ""Item Bag"".
<PADM>　Hold [<KC UI_SC_MULTI>] then press [ <KC UI_SC_MULTI_RIGHT>/<KC UI_SC_MULTI_DOWN>/<KC UI_SC_MULTI_LEFT>/<KC UI_SC_MULTI_UP> ]<KEYM>　[<KC UI_MSC1> ~ <KC UI_MSC12>] assign to your choice</KEYM>
<PADM>　　　　　　*assign to your choice
<PADM>　[<KC UI_SC_MULTI_PAGE_L>/<KC UI_SC_MULTI_PAGE_R>] Change set (Up to 3 sets allow",,,"＜登録方法：マルチショートカット＞
【<KC UI_GAME_MENU>】ゲームメニューから、登録したい
メニューを選択
アイテムの場合は《アイテムバッグ》の
<COL ffdc78>消費アイテム</COL>を選択
<PADM>　【<KC UI_SC_MULTI>】を押して【 <KC UI_SC_MULTI_RIGHT>／<KC UI_SC_MULTI_DOWN>／<KC UI_SC_MULTI_LEFT>／<KC UI_SC_MULTI_UP> 】<KEYM>　【<KC UI_MSC1> ～ <KC UI_MSC12>】任意に割り当て</KEYM>
<PADM>　　　　　　※任意に割り当て
<PADM>　【<KC UI_SC_MULTI_PAGE_L>／<KC UI_SC_MULTI_PAGE_R>】セット切替（３セットまで可能）</PADM>",,
Thin_Male_1-1,,,薄着_男_1-1,,
"""Camp Outskirts"" (Hard)",,,《野営地の外れ》（難しい）,,
Thin_Male_1-2,,,薄着_男_1-2,,
"""Camp Outskirts"" (Normal)",,,《野営地の外れ》（ふつう）,,
"Kyklôps Head",,,キュプロスヘッド,,
"For NPC_wp301001",,,NPC用_wp301001,,
"Registration Method - Quick Communication:
From the [<KC UI_GAME_MENU>] Game Menu, in ""Communication""->""Phrases"" or ""Emotes""
or in ""Character""->""Pawn Order"", highlight
an entry to register.

<PADM>　Hold [<KC UI_SC_COMMU>] then press [ <KC UI_SC_COMMU1>/<KC UI_SC_COMMU2>/<KC UI_SC_COMMU3>/<KC UI_SC_COMMU4> ]<KEYM>　[<KC UI_MSC1> ~ <KC UI_MSC8>] assign to your choice</KEYM>
<PADM>　　　　　　　　[ <KC UI_SC_COMMU5>/<KC UI_SC_COMMU6>/<KC UI_SC_COMMU7>/<KC UI_SC_COMMU8> ]
　　　　　　*assign to your choice</PADM><KEYM>　　　*pre",,,"＜登録方法：簡易コミュニケーション＞
【<KC UI_GAME_MENU>】ゲームメニューの
《コミュニケーション》の《定型文》《エモート》や
《キャラクター》の《ポーン命令》で登録項目を選択
<PADM>　【<KC UI_SC_COMMU>】を押して【 <KC UI_SC_COMMU1>／<KC UI_SC_COMMU2>／<KC UI_SC_COMMU3>／<KC UI_SC_COMMU4> 】<KEYM>　【<KC UI_MSC1> ～ <KC UI_MSC8>】任意に割り当て</KEYM>
<PADM>　　　　　　　　【 <KC UI_SC_COMMU5>／<KC UI_SC_COMMU6>／<KC UI_SC_COMMU7>／<KC UI_SC_COMMU8> 】
　　　　　　※任意に割り当て</PADM><KEYM>　　　※呼び出し時は【<KC UI_SC_COMMU>】で登録ウィンドウ切替</KEYM>
<PADM>　【<KC UI_SC_COMMU_PAGE_L>／<KC UI_SC_COMMU_PAGE_R>】<KEYM>　【<KC UI_MSC9>／<KC UI_MSC10>】</KEYM",,
"Clone Zuhl",,,クローン・ズール,,
Thin_Male_1-3,,,薄着_男_1-3,,
"For NPC_wp301003",,,NPC用_wp301003,,
"LOD Ratio",,,LOD比率(近づくと詳細表示になる処理),,
Close,,,閉じる,,
"""Corrupted Slayer"" added.",,,対敵特効【侵食】を付加する,,
"For NPC_wp301010",,,NPC用_wp301010,,
LT,,,LT,,
"Close (↑)",,,狭い,,
"""Cursed Slayer"" added.",,,対敵特効【呪詛】を付加する,,
Thin_Male_2-1,,,薄着_男_2-1,,
"Close (↑↑)",,,かなり狭い,,
"""Demihuman Slayer"" added.",,,対敵特効【亜人】を付加する,,
"For NPC_wp301012",,,NPC用_wp301012,,
LV.,,,LV.,,
Thin_Male_2-2,,,薄着_男_2-2,,
"""Demon Slayer"" added.",,,対敵特効【魔族】を付加する,,
"For NPC_wp301019",,,NPC用_wp301019,,
Thin_Male_2-3,,,薄着_男_2-3,,
"Close to Dark",,,親闇,,
"Laboratory of Engineer Mergan.
Here, there were some who were inclined towards the heretical idea of rejecting dragons. 
The research facility used by those who believed in such ideas has been shut down and placed under surveillance. 
It seems that this place was also used for some kind of research.",,,"メルガン技師の研究室
技師の中にも、竜を排すという異端思想に傾倒
した者が少なからずいた。そういった思想の信徒が
使っていた研究室は封鎖、監視対象となっている
ここも、何らかの研究のため使われていたようだ",,
"For NPC_wp301020",,,NPC用_wp301020,,
Thin_Male_3-1,,,薄着_男_3-1,,
"Laborer Gloves",,,ラボラーグラブ,,
