old,new,,,
"　黒い鎧の騎士は何者か。それは実際に対峙しないと
わからないだろう。予想は悪夢を呼び覚まし、士気を
挫く。対峙の時が来るまで一時棚上げとしよう
　さて、王都メガド進攻の足がかりとなる拠点を確保
した一同ではあるが、メガドの周辺には、逃げ延びて
反撃の機会を伺う者が多いことが判明した。彼らを仲
間に入れるべく、覚者たちも奔走したらしい
　加えて、北方の盗賊たちに参戦を呼びかけに行った
ベルタが帰還。首尾良く盗賊たちを説き伏せ、大勢の
援軍を連れてきた模様だ。
　個々の作戦は成功を収めている。しかし、晴れぬこ
の胸――やはり脳裏に黒き鎧の騎士が浮かんでしまう
のだ"," Who is this knight in black armor? We
have no way of knowing without confronting
him. Imagining only brings back that
nightmare, weakening our spirits. We should
save our delusions until after we confront
him.
 Now, the Liberation Army has established
a base for the inevitable invasion of the
Capital City Megado. There are many that
fled the city and are waiting for the chance
to fight back nearby. the arisen are woring
to recruiting them into our cause.
 Furthermore, Berda returned from her attempt
to convince the Northern Bandits to aid us.
She successfully convinced them to join and
brought a large number of reinforcements.
 Each of our plans were a success. However,
my mind is still plagued by thoughts of the
knight in black armor.",,,
"　覚者たちは悪しき竜と対峙し、その言葉を聞いた。
悪しき竜は、竜の強大な力に屈して滅び行くアッカー
シェランを見て楽しめ――そう語ったらしい
　言葉通りに解釈すれば、悪しき竜は自分の優位、勝
利を露ほども疑っておらず、解放軍の反撃も、アッカ
ーシェラン滅亡までの局面のひとつに過ぎないと考え
ていることになる
　なんという傲岸不遜な物言いであろうか。覚者たち
に自分の力をひけらかし、白竜の耳に入れようとする
意味はただひとつしか考えられない
　これは、予告なのだ。アッカーシェランの次はレス
タニアだと、悪しき竜は恫喝している
　竜力の質に関するネド王子と解放軍が抱いていた懸
案は解消された。となれば、あとは粛々と、悪しき竜
を追い込むことが肝要だ
　悪しき竜が何を言おうと、動揺してはいけない。我
らには白竜と白竜の爪と翼、ウロコを自認する者たち
が大勢いるのだ。悪しき竜何するものぞ"," When the arisen confronted the Wicked
Dragon, he spoke to them. He said he
enjoyed watching Acre Selund crumble
at the might of his power.
 The Wicked Dragon has no doubt in his
superiority or victory, even the counter
attack against the Liberation Army is just
another step towards the destruict of Acre
Selund.
 What an arrogant thing to say. I can only
think he is trying to display his power to
the arisen, so that the White Dragon may
hear of it.
 This is a warning. First Acre Selund, next
Lestania. The Wicked Dragon is threatening
us.
 The question regarding the Dragon Force
disappeared from the minds of Prince Ned
and the Liberation Army. All that was left
was to pursue the Wicked Dragon.
 We must not waver, no matter what the
Wicked Dragon says. There are many that
believe in the White Dragon, no matter
what the Wicked Dragon attempts to do.",,,
"　ネド王子は盗賊に誘拐されたと考えていたが、いさ
さか早計だったようだ
　敵が迫る中、王子の周囲の者たちは老獪な盗賊の方
が、自分たちよりも主君を守るのに相応しいと考えた
らしい
　結果的に盗賊――ベルタという名だ――は、王子を
逃がすために、自らはオークの手に落ちたと聞けば、
この判断は賢明だったと言えよう
　彼らの誤算は、ネド王子がベルタに恩義を感じ、救
出のためにオークの巣窟に向かうほど情に厚かったと
いうことにある
　ひとりの人間としては正しいが、責任ある立場の者
としてはどうなのであろうか。ともあれ、王子の無事
を祈るばかりだ"," We thought Prince Ned had been kidnapped
by the bandits, however it seems we were
a bit hasty in our assumption.
 As the enemy approached, it seems those
around Prince Ned believed that some crafty
bandits would be more suitable to protect
the prince than themselves.
 In the end, a bandit by the name of Bertha,
in order to allow the prince to escape,
gave herself up to the orcs.
 However there was a flaw in their plan.
Prince Ned felt so indebted to Bertha
that he headed to the orcs hideout to
rescue her.
 As a human it is a noble endeavor, however
as someone in a position of responsibilty
it may not have been the most wise. I can
only pray for the prince's safety.",,,
"　ネド王子とはまだ出会えていない。しかし、行方探
しへの重要な糸口が見つかったらしい。どれほど素晴
らしい手がかりなのか知る由もないがメイロワ将軍は
喜んでいると聞く
　また、解放軍はオークたちに奪われていた砦を奪回
する作戦を展開し、その作戦の中で、我らが覚者たち
が絶大なる活躍を見せたとのことだ
　この結果にメイロワ将軍はいたく感動した様子で覚
者たちを褒め称えたとのこと。我が事のように誇らし
い
　依然として王子の行方は不明だが、今のところは良
い流れに乗っているように思われる"," We still have not been able to
rendezvous with Prince Ned. However 
we did find an important clue to 
his whereabouts. I have no idea how
helpful the clue is, however I heard
General Meirova was pleased.
 The Liberation Army succeeded in taking
back a fort stolen by the orcs. Our Arisen
helped immensely with the effort.
 General Meirova was deeply moved by
the result, and praised the Arisen. He is
as proud of them as I am.
 The prince's whereabouts are still unknown,
however it seems the situation is improving.",,,
"　彼の地では盗賊たちの協力を得て王子の足取りを探
っているとのこと。ことこの件に関しては盗賊たちが
最後まで善人であることを切に望む
　聞くところによると王子の不在によって城内の空気
がゆるんできたとのこと。さもありなん。戦は半ば勢
いでするものと言っても過言ではない。王子にはまだ
その機微はわからないのであろう。多少でも理解が及
べばこのような不在はありえない。王子には猛省を促
したい"," We acquired the assistance of the
Northern Bandits and are searching for
the prince. I hope that the bandits
remain honorable until the end.
 From what I hear with the prince's
disappearance the atmosphere in the castle
has become more lax. It stands to reason,
nobody wants to fight a war. A king would
not understand this. If they could understand,
he would not have disappeared. I urge
the prince to reconsider his actions.",,,
"　物事は思い通りには進まない。竜力の検証は後日と
いうことになるだろう
　ネド王子の合流と解放軍の威勢は敵の知るところと
なり、オークを中心とした悪しき竜の反撃が苛烈にな
ったようだ。解放軍は目下、その対応に追われてお
り、我らが覚者たちへの期待も大きくなっているとの
こと
　幸い、覚者たちは長く続いた戦争で、オークとの戦
いには慣れている。土地が変わればオークも変わるの
だろうが、オークはオーク。解放軍と協力して戦えば
それほど危険な敵ではないだろう
　問題はアッカーシェランならではの武器や戦獣が登
場した時だが、我らが精鋭たちは上々の首尾で乗り切
ったようだ
　自ら前戦で戦うというネド王子をよく助け、アッカ
ーシェランにおける活動基盤をさらに固めることに成
功したと聞く
　しかし、忘れてはいけない。覚者たちをアッカーシ
ェランに運んだのは悪しき竜である。この疑問が残る
限り、局地的な勝利を喜ぶことは難しい"," Things did not go according to plan. We
will have to confirm whether Prince Ned
can inherit the Dragon Force later.
 The enemy learned that Prince Ned has
rendezvoused with the Liberation Army.
The Wicked Dragon's counterattack has
grown violent. The Liberation Army is
currently being pursued. I have high
expectations for our arisen.
 Thankfully, our arisen have grown
accustomed to fighting orcs. Even if
the land changes, orcs never change.
As long as they fight together with the
Liberation Army, the orcs should not be
a threat.
 The problem is the strange weapons and
beasts that appear in Acre Selund, however
our elite arisen superbly dealt with them.
 They saved Prince Ned fighting on the
front lines, furthering the faith people
have in them.
 However, we must not forget the Wicked
Dragon is the one that brought them to
Acre Selund. As long as these questions
remain, it is difficult to be excited
over one victory.",,,
"　ネド王子が姿を消したとの報告あり。アッカーシェ
ラン解放軍のメイロワ将軍らによれば、古来より伝わ
る笛を使うことで、ネド王子は悪しき竜から竜力を継
承することができるとのこと
　これらは王子も知っており、悪しき竜討伐に向けた
話し合いもあったらしい
　それなのに王子は姿を消した。誰の力も借りずにひ
とりで偉業を成し遂げようと考えていると想像するこ
ともできるが――怖じ気づいて逃げ出したと考える方
が自然だ
　もし解放軍やアッカーシェランの民たちが知ったら
どう感じるだろうか。士気の高さと勝利がもたらす勢
い、これらが失われるのは痛い
　そのようなことにならないように、箝口令が遵守さ
れることを期待する"," There is a report that Prince Ned has
disappeared. According to Meirova and
the others, Prince Ned can inherit the
Wicked Dragon's Dragon Force using an
ancient flute.
 There was talk that the prince knew
this and went off to defeat the Wicked
Dragon.
 No matter the case, the prince is gone.
It is possible that he went off to
accomplish this task without having to
rely on anyone else, but it is also
likely that he fled out of fear.
 If the Liberation Army or the people
of Acre Selund learned of this, how
would they feel? Losing all of their
high morale would be painful.
 In order to prevent that, we must
not let word get out regarding the
matter.",,,
"　秘密の扉の先はまさしく隠された王家の通路であっ
たようだ。その先は展望城内の一階と繋がっており、
そのすぐ付近にて、城内上層部へと続く扉も確認でき
たとのこと
　だがここでネド王子は、かねてより噂に上っていた
展望城が敵に占拠された際に消息の途絶えた人々の発
見と救出を申し出たという
　嘆きの湿原での陽動作戦を成功させるためには、敵
の意識をひたすら、ただひたすら湿原へと向けさせね
ばならぬわけだが、この行いはまったくもって愚直と
言わざるを得ないのではないだろうか
　いやいや、展望城を取り戻した際、多くの民を救い
出す機会を見送り、見捨てたとあらば、解放軍を包み
込む希望の輝きは失わていただろう。そこまでを見据
えての決断であったのであろうか
　ともあれ、今後もネド王子から目を離すことはでき
ない"," The other side of the secret door was a
royal hidden pathway, connected to the first
floor of Lookout Castle. Nearby there was
even a door that led the upper floor of
the castle.
 It was then that Prince Ned requested us
to track down and rescue the people who
disappeared when the enemy took over Lookout
Castle.
 In order to successfully distract the enemy at
the Wailing Wetland we must use all our might
to lure them in. It is a reckless strategy I
must admit.
 No, when we retake the castle we will be able
to save so many people. If we abandon them then
the Liberation Army will lose their last bit
of hope. That is how determined he must be.
 Anyways, we should not take our eyes off of
Prince Ned from here on.",,,
"　展望城から警備のオークどもをおびきだす陽動作戦
は幾度かの成功を収めているが、精鋭攻撃部隊を城内
に送り込むための入り口がまだ見つからず鋭意捜索中
という状況が長く続いた
　しかし、入り口がついに発見されたとのこと。攻撃
部隊の中枢を担う覚者たちは現在休養のためにレスタ
ニアに戻っている
　さて、やはり考えねばならないのは、悪しき竜の真
意は、その力を覚者たちに見せつけることではなく、
自分の竜力を継承する候補を見つけることにあるとい
う者がいる
　竜の力を譲り受け、やがて竜となって世界に君臨す
る。この夢を、白竜ではなく、よその竜の力で実現し
ようとする覚者がいても不思議ではないという意見が
あるのだ
　もちろん、わたしは、レスタニアにはそのような裏
切り者はいないと信じている"," The diversionary tactic to draw the orcs
from the castle proved effective, however
our elite attack force could not find an
entrance and continued to look for one for
quite a while.
 However an entrance was finally discovered.
The arisen who lead the group have returned
to Lestania to recuperate.
 Now there is one thing to think about.
There are some who say that the Wicked
Dragon's true intent was not to display
his power to the arisen, but to find a
candidate to inherit his power.
 Transfering the Dragon Force, and becoming
a Dragon. Arisen using not the White
Dragon's Force, but other dragons' to make
this dream a reality is certainly a possibility.
 However I trust that no one in Lestania
is that traiterous.",,,
