Term [ja],Term [en]
覚,Arisen
テル,Tel
ズール,Zuhl
アーク,Ark
EX,EM
黒呪島,Bitterblack isle
ミシアル,Mysial
メルゴダ,Mergoda
ドタラスク,Adtarasque
ウィルミア,Willmia
侵食,Corruption
フィンダ,Phindym
ロイグ,Loeg
魔赤島,Bloodbane Isle
ガラダ,Gearóid
EX,EM
ジリアン,Gillian
メイロワ,Meirova
ティネス,Fort Thines
メガド,Megado
る展望城,Lookout Castle
新たな覚者,Newly Arisen
レオ,Leo
イリス,Iris
ファビオ,Fabio
ヴァネッサ,Vanessa
ミシアル,Mysial
ジョゼフ,Joseph
クラウス,Klaus
ゲルト,Gerd
ハインツ,Heinz
アーチボルト,Archibald
レンテン,Renton
オフィリア,Ophelia
セネカ,Seneka
ソニア,Sonia
キビザ,Kibiza
キャメロン,Cameron
ゼルキン,Zerkin
グレゴリー,Gregory
ゴルゴラン,Golgorran
ディアマンテス,Diamantes
アルヴァー,Alvar
ゴブリンの王,The Goblin King
メイリーフ,Mayleaf
キースヒルト,Kieshildt
テオドール,Theodor
エリオット,Elliot
リズ,Lise
グルドリン,Gurdolin
セシリー,Cecily
黒騎士,The Black Knight
白竜神殿レーゼ,The White Dragon Temple
ハイデル平原,Hidell Plains
ブリア海岸,Breya Coast
ミスリウ森林,Mysree Forest
ボルド鉱山,Volden Mines
ダウ渓谷,Dowe Valley
ミスリウ森林深部,Mysree Grove
バートランド平原,Betland Plains
ディナン深層林,Deenan Woods
バートランド平原北部,Northern Betland Plains
ザンドラ東部,Eastern Zandora
ザンドラ禁域,Zandora Wastelands
亡都メルゴダ,Mergoda Ruins
魔赤島,Bloodbane Isle
エラン水林,Elan Water Grove
ファーラナ平原,Farana Plains
モロー樹林,Morrow Forest
キンガル峡谷,Kingal Canyon
ラスニテ山麓,Rathnite Foothills
フェルヤナ荒原,Feryana Wilderness
メガドシス高地,Megadosys Plateau
ウルテカ山岳,Urteca Mountains
黒呪の迷宮,Bitterblack Maze
ファイター,Fighter
ハンター,Hunter
プリースト,Priest
シールドセージ,Shield Sage
ソーサラー,Sorcerer
シーカー,Seeker
エレメントアーチャー,Element Archer
ウォリアー,Warrior
アルケミスト,Alchemist
イヴァン,Ivan
ポーン,Pawn
竜力の継承,Dragon Force Augmentation
ピクシーキング,Pixie King
サイクロプス,Cyclops
アーマーサイクロプス,Armoured Cyclops
コロッサス,Colossus
ゴアサイクロプス,Gorecyclops
エント,Ent
グランエント,Grand Ent
トロール,Troll
モルトロール,Mole Troll
フィンダーエント,Phindymian Ent
亜人,Demi-humans
巨人,Giants
造魔,Magickal Constructs
ゴーレム,Golem
ジオゴーレム,Geo Golem
ギガン・マキナ,Gigant Machina
フロスト・マキナ,Frost Machina
錬金,Alchemized
ダムドゴーレム,Damned Golem
ゴリアテ,Goliath
グリフィンアルケミー,Alchemized Griffin
獣,Animals
キメラ,Chimera
ホワイトキメラ,White Chimera
呪詛,Cursed
シャドーキメラ,Shadow Chimera
有翼,Winged Beasts
グリフィン,Griffin
ブラックグリフィン,Black Griffin
スフィンクス,Sphinx
コカトリス,Cockatrice
ナイトメア,Nightmare
ビフレスト,Bifrost
ホワイトグリフィン,White Griffin
鬼人,Demons
オーガ,Ogre
ドレッドエイプ,Dread Ape
グール,Ghoul
シルバーロア,Silver Loa
スパインバック,Spineback
魔族,Fiends
マンティコア,Manticore
アルタード・ズール,Altered Zuhl
アルタード,Altered
竜族,Dragonkin
リンドブルム,Lindwurm
ベヘモット,Behemoth
ドレイク,Drake
エルダードラゴン,Elder Dragon
ブレイズ,Blaze
アングルス,Angules
ウィルム,Wyrm
ゴルゴラン,Golgorran
カースドラゴン,Cursed Dragon
淀みし大竜力,Phantasmic Great Dragon
アドタラスク,Wisened Tarasque
デスナイト,Death Knight
霊体,Spectral
ミストドレイク,Mist Drake
ミストウィルム,Mist Wyrm
侵食,Infected
侵食ゴアサイクロプス,Infected Goreclops
侵食グリフィン,Infected Griffin
侵食ベヘモット,Infected Behemoth
スカージ,Scourge
狂侵ゴアサイクロプス,Severely Infected Gorecyclops
狂侵グリフィン,Severely Infected Griffin
狂侵ベヘモット,Severely Infected Behemoth
ゴブリン,Goblin
ホブゴブリン,Hobgoblin
レッドキャップ,Redcap
リザードマン,Saurian
ニュート,Newt
マンドラゴラ,Mandragora
ピクシー,Pixie
ビフ,Biff
ディン,Din
ポウ,Pow
ジャバー,Jabber
バンデッド,Banded
メルガン,Mergan
フィンド,Phindymian
ガーゴイル,Gargoyle
グリムワーグ,Grimwarg
ダイアウルフ,Direwolf
ボルトグリムワーグ,Bolt Grimwarg
ワーグ,Warg
グリーンガーディアン,Green Guardian
ストリクス,Strix
スチュパリデス,Stymphalídes
オ,Orc
モゴック,Mogok
リトルスパイン,Little Spine
マンイーター,Maneater
メドゥーサ,Medusa
グリゴリ,Grigori
スカルロード,Skull Lord
ルクス,Lux
コープスパニッシャー,Corpse Punisher
コープストーチャー,Corpse Torturer
エリミネーター,Eliminator
マッドマン,Mudman
スラッジマン,Sludgeman
スライム,Slime
ウーズ,Ooze
グラトンウーズ,Gluttonous Ooze
ブロブ,Blob
オイルジュエリー,Oil Jelly
エンプレスゴースト,Empress Ghost
ゴーストメイル,Ghost Mail
リビングアーマー,Living Armor
侵食,Infected
狂侵,Severely Infected
覚者の自室,Arisen's Room
クラン拠点,Clan Hall
拠点の拡張,Extension
遠征先開拓,Unlock Expedition Area
遠征隊支援,Expedition Support
クラフト,Crafting
生産作業スピード,Production Speed
装備の強化技術,Equipment Enhancement
高品質装備の作成力,Creating High-Quality Equipment
消耗品の生産数アップ,Increased Consumable Production
コストパフォーマンス,Cost Performance
クレスト装備,Mount Crest
カラー変更,Change Colour
アイテム作成状況,Item Creation Status
ステータス確認,Status Check
魔道剣,Magick Sword
精霊槍,Spirit Lance
エリクシル,Elixirs
魔道篭手,Magick Gauntlet
魔道弓,Magick Bow
聖が,Holy
特技,Special Skill
剛化,Harden
重化,Heavy
癒活,Restoration
柔化,Weaken
集中,Concentration
無恐,Fearless
集視,Attraction
蘇生,Resurrection
守護,Protection
《剛化》,《Harden》
《特技》,《Special Skill》
《重化》,《Heavy》
《癒活》,《Restoration》
《柔化》,《Weaken》
《集中》,《Concentration》
《無恐》,《Fearless》
《集視》,《Attraction》
《守護》,《Protection》
《蘇生》,《Resurrection》
未来の装飾鍵,Futuristic Decorative key
竜力の鍵,Key of Dragon Force
昌石の鍵,Key of Gemstones
財宝の鍵,Key of Treasures
宝飾の鍵,Key of Jewelry
トラバース,Travers
エルテ・ディナン,Erte Deenan
ソネル,Sonel
戦徒,Myrmidions
レスタニア,Lestania
原始の雫,Primeval Drops
《原始の雫》,《Primeval Drops》
アッカーシェラン,Acre Selund
ネド王子,Prince Nedo
新たな覚者,Newly Arisen
“悪しき竜”,"""Evil Dragon"""
竜力,Dragon Force
理,order
白竜,The White Dragon
ブラッドオーブ,Blood Orb
《ブラッドオーブ》,《Blood Orb》
に石化,petrification
ガルドリン,Gurdolin
王都,Royal Capital
火垂れ山,Firefall Mountain
絶望の大陸,The Land of Despair
成長の宝珠,Orb of Growth
の宝珠,Orb
拠点の,Portcrystal
辺境の礎,Sub Portcrystals
リム,Rift Crystal
リム転移,Rift Teleport
竜の礎,Dragon's Keystone
の礎,Portcrystals
謁見の間,Audience Chamber
グリッテン砦,Fort Gritten
メガドシス高地,Megadosys Plateau
フェルヤナ荒原,Feryana Wilderness
ラスニテ山麓,Rathnite Foothills
キンガル峡谷,Kingal Canyon
モロー樹林,Morrow Forest
ファーラナ平原,Farana Plains
エラン水林,Elan Water Grove
魔赤島,Bloodbane Isle
亡都メルゴダ,Mergoda Ruins
ザンドラ東部,Eastern Zandora
ザンドラ禁域,Zandora Wastelands
バートランド平原北部,Northern Betland Plains
バートランド平原,Betland Plains
ディナン深層林,Deenan Woods
ミスリウ森林深部,Mysree Grove
ダウ渓谷,Dowe Valley
ボルド鉱山,Volden Mines
ミスリウ森林,Mysree Forest
ブリア海岸,Breya Coast
ハイデル平原,Hidell Plains
第三のアーク,The Third Ark
テゴル,Tegor
治水路,Flood Control Channel
棄てられた地下道,Abandoned Underground Passage
真・セイヴァーフォート,True Savior Fort
真・ファントムディセント,True Phantom Descent
真・ホワイトリベレーション,True White Revelation
真・レリジャスビヨンド,True Religious Beyond
真・テスタメントスケイル,True Testament Scale
真・エニグマ,True Enigma
真・サーヴァントフェイト,True Servant's Fate
真・フェイタルダイアグラム,True Fatal Diagram
真・ノブレスオブリージュ,True Noblesse Oblige
ワンズオブマーキス,Marquis Wand
スタッフオブマーキス,Marquis Staff
スペルオブマーキス,Marquis Spell
竜王の指輪,Wyrmking's Ring
竜力の渦,Whirls of Dragon Force
侵食の大災,Great Plague of Corruption
