"マスター！
クランショップから≪ポーン遠征隊≫を購入すれば
スポットを探索できるようになりますよ
さぁさぁ、買いに行きましょう！","Master!
If you buy a ""Pawn Expedition"" from the clan store
you will be able to explore the spot
Come on, let's go buy it!"
"マスター、クラフト中のポーンはポーン遠征隊として
探索に参加することができないのです！
あぁっ――クラフトも派遣も同時にこなせたら
もっとお役にたてるのに！","Master, a pawn in crafting cannot participate in
exploration!
Ahh-- I would be more helpful
if I could do both crafting and dispatching at the same time!"
"マスター、今日はどこへ探索に行きましょうか？
山でも谷でも、私にお任せください！","Master, where shall we go exploring today?
In the mountains or in the valley, leave it to me!"
"マスター、今日はスポット探索に派遣済みのため
探索に参加できません――
明日の探索が楽しみですね！","Master, I am unable to participate in the
search today as I have already been dispatched explore--
I look forward to tomorrow's search!"
マスター、それでは行って参ります！,"Master, I will be off then!"
"マスター、申し訳ありません！
手持ちに<VAL>個の空きがないと
遠征成果をお渡しできないのです！","Master, I am sorry!
We cannot give you
expedition results unless you have <VAL> slots available on hand!"
"マスター！
《<VAL SPOT>》へ探索に行き――
そしてなんと！<VAL EMNAME>
<VAL>体などの討伐を完了しました！","Master!
I went to<VAL SPOT>to explore--
And lo and behold!<VAL EMNAME>,
<VAL> defeated!"
"《<VAL SPOT>》へ探索に行き――
<VAL EMNAME><VAL>体などを
討伐して参りました、マスター
次は――きっと、もっとうまくやれるはずです！","I went to 《<VAL SPOT>》 to search for
the <VAL><VAL EMNAME>
and killed them, Master
Next time - I'm sure you'll do better!"
"《<VAL SPOT>》へ探索に行き
<VAL EMNAME><VAL>体など
討伐して参りました！
かなり、手応えを掴めた気がします！","I went to 《<VAL SPOT>》 to search for the
<VAL><VAL EMNAME>
I have defeated them!
I think I got a pretty good feel for the situation!"
"《<VAL SPOT>》探索完了です！
お宝を見つけましたので
もちろん持ち帰って参りましたとも！
これは素晴らしい品に違いありませんよ！","《<VAL SPOT>》 The search is complete!
We have found a treasure
and of course we have brought it back!
This must be a wonderful item!"
"《<VAL SPOT>》の探索へ
行ったところ――
なんと、お宝を発見したのです！
持ち帰ってきましたので、どうぞお納めください！","I went to search for<VAL SPOT>and to my surprise--
I found a treasure!
I brought it back with me, so please give it to me!"
"《<VAL SPOT>》の探索へ行き
宝を発見しましたので、なんとか持ち帰りました
――いやぁ、九死に一生を得ました！","<VAL SPOT>
I went to search for and found the treasure, so I managed to bring it back
-- well, I had nine lives!"
"それから、《<VAL SPOT>》に
異変が起きておりました
さぁマスター、クランメンバー全員で
探索を行いましょう！","Then, there was an
anomaly in 《<VAL SPOT>》
Come on Master, let's get all clan members to
search for it!"
"マスター！
遠征成果の取り忘れにはご注意ください！","Master!
Please be careful not to forget to take the results of your expedition!"
"はいマスター！
さて、今日はどんな奴をやっつけにいきましょうか？","Yes, Master!
Now, what kind of guy shall we kill today?"
マスター、本日も鍛錬日和です！,"Master, today is another good day for training!"
"マスター、鍛錬は裏切りません！
いざと言うとき後悔しないため――
共に頑張りましょう！","Master, training will not betray you!
To avoid regrets when the time comes--
Let's work together!"
"この拠点は――広い上に謎めいていて
ワクワクしますね、マスター！
身体を動かすのに最適な梁や凸凹の多い建物です
どうです、共に隠し部屋探しでも？","This base is - spacious, mysterious and
exciting, Master!
It's a building with lots of beams and bumps, perfect for moving around.
How about you join us in our search for a hidden room?"
"主、スポット探索は
クランショップから≪ポーン遠征隊≫を
購入する必要がある","Lord, you need to purchase ""Pawn Expedition"" from
clan store
to explore that spot."
"我が主――ポーンがいまだクラフト中にて
ポーン遠征隊の探索には参加できない","My Lord--the Pawn is still crafting
and cannot participate in the Pawn Expedition."
本日の探索目的地を知らされたい,I would like to be informed of today's search destination
"主よ、本日は既にスポット探索派遣済みの様子
探索には参加できない","Lord, I've already dispatched a spot search today.
I can't join the search."
では、出発する,Then we're off.
"所持品に<VAL>個分の空きが無い様子――
このままでは遠征成果をお渡しできない","You require <VAL> free slots in your possession--
I can't give you the results of the expedition at this time."
"《<VAL SPOT>》へ探索に向かい
<VAL EMNAME><VAL>体等の
討伐に成功した――","We went to<VAL SPOT>to search for
<VAL><VAL EMNAME>.
The subjugation was successful..."
"《<VAL SPOT>》へ探索に向かい
生息していた<VAL EMNAME>
<VAL>体等の討伐を行った――
負傷は軽微","I went to<VAL SPOT>to search for
and killed<VAL><VAL EMNAME>
that were living there--
injuries were minor."
"《<VAL SPOT>》の探索からただ今帰還
<VAL EMNAME><VAL>体等の
討伐に成功した――他にご命令は？","We have just returned from searching <VAL SPOT>
 for<VAL EMNAME>and have successfully taken down
<VAL>enemies--any other orders?"
"我が主――《<VAL SPOT>》の探索中
宝物を発見し、入手した
――お受け取りを","My Master- Explored <VAL SPOT>,
found and obtained the treasure
--please accept it."
"《<VAL SPOT>》探索任務完了
探索成果として、宝物を入手した","《<VAL SPOT>》 search mission completed.
Obtained treasure as a result of exploration."
"我が主、《<VAL SPOT>》の
探索任務が完了し、宝物を入手
――軽微な消耗はあるが
任務遂行には問題無し","My Lord, 《<VAL SPOT>》's
search mission is completed and the treasure is obtained
-- minor wear and tear, but
no problems in carrying out the mission."
"――我が主、さらにご報告が
《<VAL SPOT>》に異変あり
クランメンバーとの共同探索をお勧めする","--My Lord, I have more to report.
 There is an anomaly in《<VAL SPOT>》
I recommend a joint search with clan members."
遠征成果取り忘れには、ご注意を,Be careful not to forget to take the expedition results!
――ご用件は？,--Can I help you?
本日も、円滑なる使命達成を,A smooth mission completion today as well!
"――覚者の同志殿に力が劣らぬよう
ポーンに可能な最大限の努力は行う所存",--I will do my best to be as powerful as my Arisen comrade
"壁の凹凸、謎めいた梁――
未発見の部屋の存在は、否定できない
――主よ、探索の継続を勧める","Uneven walls, enigmatic beams--
The existence of undiscovered rooms is undeniable
--Lord, I encourage you to continue your search!"
"我が主殿――そう慌てないで
まずはクランショップから≪ポーン遠征隊≫を
購入することが、スポットを探索するための
輝かしき第一歩なのですよ","My Lord, please don't panic. The first step to explore the spot is to purchase the ""Pawn Expedition"" from the Clan Shop."
"残念ながら、クラフト中のポーンは
ポーン遠征隊として探索に参加できないのです
まぁ、当然と言えば当然ですね","Unfortunately, pawns that are crafting cannot participate in the search as a pawn expedition.
It is only natural."
麗しき我が主よ、本日はいずこへ探索に？,"My beautiful Lord, where are you going to explore today?"
"おや！　主殿、今日は
スポット探索に派遣済みですから
これ以上は探索に参加できないようです――が
その前のめりな姿勢、嫌いではありませんよ","Oy! My Lord, I've already sent you to spot search today, so
it seems that you can't participate in the search anymore 
- but I don't dislike that forward-thinking attitude!"
それでは、この私が探索に行って参りましょう,"Well, then, let me go explore."
"おやおや、覚者殿
お手持ちに<VAL>個の空きがありませんね
遠征成果をお渡しすることができませんよ","Oh dear, Lord Arisen
you don't have any<VAL>pieces available
I'm afraid I can't give you the results of the expedition."
"覚者殿、《<VAL SPOT>》へ
探索に行って参りましたよ
ええ、それから<VAL EMNAME>
<VAL>体などの討伐をこなしました","Dear Lord Arisen, I went to 《<VAL SPOT>》to explore.
Yeah, and then to <VAL EMNAME>.
<VAL>I completed a subjugation of the enemy and such."
"《<VAL SPOT>》からただいま戻りましたよ
<VAL EMNAME><VAL>体などの
討伐を行いました
――これでよろしいのでしょう？","I just got back from<VAL SPOT>
<VAL EMNAME><VAL>I subjugated some enemies
-- is that okay?"
"この私の《<VAL SPOT>》探索を
<VAL EMNAME>どもが
少々邪魔でしたので――
<VAL>体程度討伐してやりましたよ、我が主","The <VAL EMNAME>were a bit of a distraction
from my search at <VAL SPOT>for them, so I killed about
<VAL>of them, my Lord."
"《<VAL SPOT>》を探索して
参りました
宝物を発見し――もちろん入手しましたとも
さて、我々の次なる獲物はどちらです？","We searched<VAL SPOT>
and came across
a treasure--of course we got it.
Now, which is our next prey?"
"《<VAL SPOT>》にて入手した
この素晴らしい宝物をお受け取りください
必ずや、貴方を陶酔の境地へ
お連れすること請け合いです","Please receive this wonderful treasure from<VAL SPOT>.
We are sure that it will take you to
a state of euphoria."
"主殿――先のご命令通り
《<VAL SPOT>》探索を行いました
道中にて発見したこの宝物――少々入手に代償を
払いましたが――成果としてお受け取りください","My Lord--As per your earlier order, I have searched
<VAL SPOT>
for this treasure that I found along the way--though I paid a bit of a price
to obtain it--as an achievement. Please accept it."
"ああそれから、《<VAL SPOT>》に
異変が起きているようですね
クランメンバーの方たちとご一緒に
探索を行ってはいかがでしょう？","Oh, and there seems to be an
anomaly in the 《<VAL SPOT>》
Why don't you and your clan members go and explore?"
"聡明なる我が主殿――
遠征成果の取り忘れはありませんね？","My Lord, my wise Lord--
You did not forget to take the results of the expedition, did you?"
"さぁ主殿――この私に語りかけて来たからには
さぞかし重大な使命をお持ちになられたのでしょう
――してご用件は？","Now, my Lord -- since you have spoken to me here
you must have a very important mission
-- and how can I help you?"
本日も、怪我の無きよう――,We wish you a safe and healthy day...
"素晴らしい拠点ですね――
覚者殿の栄光を刻むに
ふさわしい場ではないですか","It's a great base--
It's a place where the glory of the Lord of the Arisen is engraved"
"これだけ広い拠点です――
もしも隠し部屋があったら、と空想してしまいます
いつもと違う場所を進んだり
童心に帰ってみるのも悪くないでしょう","This is such a large base--
I fantasize about what if there was a hidden room...
It wouldn't be a bad idea to go explore or
go back to your childhood!"
"あー、覚者さま！
クランショップから≪ポーン遠征隊≫を買わないと
スポットを探索できないんだよ！","Ah, Lord Arisen!
I can't explore the
spot unless I buy a ""Pawn Expedition"" from the clan store!"
"ごめんね、覚者さま――
クラフト中のポーンはクラフトをしているから、
ポーン遠征隊の探索にいけないんです","Sorry, Arisen--
Pawns that are crafting can't go
to explore the pawn expedition!"
覚者さま！　今日はどこに探索しにいきますか？,Lord Arisen!　Where would you like to explore today?
"今日はもう、スポット探索に派遣したみたいだから
これ以上探索にはいけないんです――ごめんなさい","It looks like I've already explored a spot today, so I can't go exploring any more--sorry!"
"行ってきまーす！
覚者さま、お土産期待しててくださいね","I'm off!
Please expect some souvenirs from me, Lord Arisen!"
"あれ、覚者さま
手持ちを<VAL>個空けてくれないと
遠征成果を渡せませんよ！","Oh, Arisen, if you don't
empty<VAL>spots, I can't give you
the results of the expedition!"
"《<VAL SPOT>》を探索してきましたよ！
なんと<VAL EMNAME><VAL>体とかの
討伐をしてきちゃいました
へへ、どうですか？　嬉しいですか？","I've been exploring<VAL SPOT>!
I've been killing some
<VAL EMNAME>, <VAL> of them.
Hehe, how do you like it?　Are you happy?"
"《<VAL SPOT>》を探索してきました
<VAL EMNAME><VAL>体とかの
討伐をやってきましたよ！
ああ、もう、どうなることかと思いました――","I've been exploring 《<VAL SPOT>》
I took down<VAL EMNAME><VAL>!
Oh, my God, I was afraid of what would happen--"
