old,new
白竜,The White Dragon
ミシアル,Mysial
クラウス,Klaus
ジョゼフ,Joseph
レオ,Leo
イリス,Iris
ゲルト,Gerd
ハインツ,Heinz
ディアマンテス,Diamantes
テオドール,Theodor
ヴァネッサ,Vanessa
ファビオ,Fabio
リズ,Lise
メイリーフ,Mayleaf
キースヒルト,Kieshildt
モゴック,Mogok
ズール,Zuhl
ディアマンテス,Diamantes
プラム,Plum
ガルドリン,Gurdolin
流浪の探究者,Wandering Seeker
トラバース,Travers
白衛騎士団員,White Knight
白衛騎士団員,White Knight
白衛騎士団員,White Knight
不気味な男,Strange Man
不思議な少女,Mysterious Girl
行商人,Peddler
男,Man
男,Man
女,Woman
クリストフ,Christoph
トマス,Thomas
オーギュスト,August
ダリア,Dalia
デュボワ,Dubois
マルキス,Marquis
フレイア,Freya
レント,Lent
キーファー,Kiefer
盗賊,Bandit
たたずむスケルトン,Lingering Skeleton
スケルトン,Skeleton
スケルトン,Skeleton
物憂げなハーピー,Weary Harpy
デュボワ,Dubois
モルテン,Morten
覚者隊の隊士,Arisen Corps Regimental Soldier
覚者隊の隊士,Arisen Corps Regimental Soldier
覚者隊の隊士,Arisen Corps Regimental Soldier
覚者隊の隊士,Arisen Corps Regimental Soldier
覚者隊の隊士,Arisen Corps Regimental Soldier
覚者隊の隊士,Arisen Corps Regimental Soldier
覚者隊の隊士,Arisen Corps Regimental Soldier
戦士,Soldier
戦士,Soldier
女性戦士,Female Soldier
軽装の戦士,Lightly-Equipped Soldier
軽装の女戦士,Lightly-Equipped Female Soldier
ハンター,Hunter
旅の女性ハンター,Traveling Female Hunter
魔術師,Sorcerer
魔術師,Sorcerer
神官,Priest
女性神官,Female Priest
息絶えた村人,Lifeless Villager
息絶えた村人,Lifeless Villager
息絶えた村人,Lifeless Villager
息絶えた村人,Lifeless Villager
息絶えた村人,Lifeless Villager
息絶えた騎士,Lifeless Knight
息絶えた騎士,Lifeless Knight
息絶えた騎士,Lifeless Knight
息絶えた覚者,Lifeless Arisen
息絶えた覚者,Lifeless Arisen
ジョナス,Jonas
息絶えた覚者,Lifeless Arisen
エミリア,Emilia
コレット,Colette
ファーガソン,Ferguson
パメラ,Pamela
モーリス,Morris
キトリッジ,Kittredge
ヴァイスロット,Vicelot
オーウェン,Owen
メル,Mel
ジョアンナ,Joanna
トニオ,Tonio
キビザ,Kibiza
ナンシー,Nancy
セネカ,Seneka
ネストーレ,Nestor
ヒルデ,Hilde
デューク,Duke
ローガン,Logan
ミルバーン,Milburn
カルノ,Karno
ハンコック,Hancock
フレディー,Freddy
チャールストン,Charleston
ルチーナ,Lucina
バートン,Barton
コーネリア,Cornelia
ソニア,Sonia
アラン,Alan
アーチボルト,Archibald
レンテン,Renton
キャメロン,Cameron
アレン,Allen
ギリアム,Gilliam
マコーミック,McCormick
ラピス,Lapis
ゼルキン,Zerkin
ボルドー,Volden
ガーシュウィン,Gershwin
ピット,Pitt
モアナ,Moana
ウォルター,Walter
ローザ,Rosa
ハロルド,Harold
パーシモン,Persimmon
ミステラ,Mystera
オニール,O'Neill
アキム,Akim
ユニ,Yuni
グロリア,Gloria
ターレス,Thales
フロイト,Freud
アニス,Anise
クロエ,Chloe
ローラ,Loura
ペドロ,Pedro
フェデルコ,Federico
エテルナ,Eterna
ノーマン,Norman
ヘンリー,Henry
マイラ,Myra
ボブ,Bob
ニキ,Nikki
ゴートン,Gordon
ナサニエル,Nathaniel
ジョシュ,Josh
ミランダ,Miranda
ヤンクス,Yanks
バークレイ,Barclay
アルカン,Alkane
メリッサ,Melissa
セドリック,Cedric
エコール,Ecole
ガッシュ,Gash
マハル,Mahal
サーニャ,Sanya
カイン,Cain
アルマ,Alma
グレイ,Gray
フラベル,Flavell
ウルダ,Urda
ムバラク,Mubarak
ゴルタス,Goltas
ギブソン,Gibson
トビー,Toby
ノーメル,Normel
ドロテア,Dorothea
ラウル,Raul
チャンク,Chunk
リビアン,Livian
ロイ,Roy
ケネック,Kennec
シスレー,Sisley
ユージーン,Eugene
ネルソン,Nelson
ニルヴァーナ,Nirvana
セレア,Serea
ハンナ,Hannah
マイルズ,Miles
ブリジット,Bridgette
ホーソーン,Hawthorne
ジゼル,Giselle
シャロム,Shalom
マーガレット,Margaret
フランチェスカ,Francesca
クロムウェル,Cromwell
ネイア,Neia
エンポリオ,Emporio
サニー,Sunny
ブランドン,Brandon
ゴート,Gort
レジーナ,Regina
ヨハン,Johann
ローシェ,Rocher
ジョーダン,Jordan
アウグスト,Augusto
オズワルド,Oswald
ケイシー,Casey
イザベル,Isabel
ポー,Poe
ライオネット,Lyonnet
ダイアン,Dion
ツエッペリ,Zeppeli
リック,Rick
ソーニャ,Sonya
オリバー,Oliver
シェリン,Sheryn
ナディア,Nadia
サラミス,Salamis
マジョリー,Majori
サイラス,Cyrus
タルコット,Talcott
スターク,Stark
リドリー,Ridley
ディッカ,Dikka
スケルツォ,Scherzo
ヘストン,Heston
ギルスタン,Gilstan
ウガウ,Ugau
バランジャ,Baranja
ズタン,Zutan
スラボ,Surabo
バボ,Babo
トロッガ,Torogga
ワンゴ,Wango
ニコラ,Nicola
デレード,Deredo
アルヴァー,Alvar
セラ,Sera
トマソン,Thomason
スザンナ,Susanna
ナバル,Nabal
カミュ,Camus
ジュリエンヌ,Julienne
ジェネラルオーク,General Orc
キャプテンオーク,Captain Orc
オーク,Orc
オーク,Orc
オーク,Orc
アクタイオン,Actaeon
ベアトリクス,Beatrix
イオセフ,Iosef
アリアドネ,Ariadne
メトロファネス,Metrophanes
ルドルフォ,Rudolfo
エメラダ,Emerada
リングディール,Ringdeel
イヴァン,Ivan
バイヤール,Bayard
チェスター,Chester
クリスティーヌ,Christine
ダイオン,Dian
,
,
自分中心　デモ枠1,Demo NPC
自分中心　デモ枠2,Demo NPC
自分中心　デモ枠3,Demo NPC
自分中心　デモ枠4,Demo NPC
自分中心　デモ枠5,Demo NPC
自分中心　デモ枠6,Demo NPC
自分中心　デモ枠7,Demo NPC
自分中心　デモ枠8,Demo NPC
メンバー共通　デモ枠1,Demo NPC
メンバー共通　デモ枠2,Demo NPC
メンバー共通　デモ枠3,Demo NPC
メンバー共通　デモ枠4,Demo NPC
メンバー共通　デモ枠5,Demo NPC
メンバー共通　デモ枠6,Demo NPC
メンバー共通　デモ枠7,Demo NPC
メンバー共通　デモ枠8,Demo NPC
クラフトリーダー1,Crafter NPC
クラフトリーダー2,Crafter NPC
クラフトリーダー3,Crafter NPC
クラフトリーダー4,Crafter NPC
クラフトリーダー5,Crafter NPC
クラフトリーダー6,Crafter NPC
クラフトサポート1,Crafter NPC
クラフトサポート2,Crafter NPC
クラフトサポート3,Crafter NPC
クラフトサポート4,Crafter NPC
クラフトサポート5,Crafter NPC
クラフトサポート6,Crafter NPC
クラフトサポート7,Crafter NPC
クラフトサポート8,Crafter NPC
クラフトサポート9,Crafter NPC
クラフトサポート10,Crafter NPC
クラフトサポート11,Crafter NPC
クラフトサポート12,Crafter NPC
クラフトサポート13,Crafter NPC
クラフトサポート14,Crafter NPC
野良ポーン1,Stray pawn
野良ポーン2,Stray pawn
野良ポーン3,Stray pawn
野良ポーン4,Stray pawn
野良ポーン5,Stray pawn
野良ポーン6,Stray pawn
野良ポーン7,Stray pawn
野良ポーン8,Stray pawn
野良ポーン9,Stray pawn
野良ポーン10,Stray pawn
野良ポーン11,Stray pawn
野良ポーン12,Stray pawn
野良ポーン13,Stray pawn
野良ポーン14,Stray pawn
野良ポーン15,Stray pawn
野良ポーン16,Stray pawn
野良ポーン17,Stray pawn
野良ポーン18,Stray pawn
野良ポーン19,Stray pawn
野良ポーン20,Stray pawn
野良ポーン21,Stray pawn
野良ポーン22,Stray pawn
野良ポーン23,Stray pawn
野良ポーン24,Stray pawn
野良ポーン25,Stray pawn
野良ポーン26,Stray pawn
野良ポーン27,Stray pawn
野良ポーン28,Stray pawn
野良ポーン29,Stray pawn
野良ポーン30,Stray pawn
野良ポーン31,Stray pawn
野良ポーン32,Stray pawn
