"key","old","new"
"q00030170_00_75","滅びの予兆","An Omen of Destruction"
"q00030170_00_75","衰弱し続ける白竜を救うため
擬竜を求めて禊の神殿へ向かう","To save the weakening White Dragon,
head to the Temple of Purification
in search of a pseudo-dragon."
"q00030170_00_3879","ジョゼフと話す","Speak with Joseph"
"q00030170_00_3880","禊の神殿へ向かう","Head to the Temple of Purification"
"q00030170_00_3881","擬竜を探す","Search for a pseudo-dragon."
"q00030170_00_3882","竜力の乱れの原因を調べる","Examine the cause of Dragon Force imbalance."
"q00030170_00_3883","竜力を乱す魔物を討伐する（残り３）","Defeat the demons disrupting the Dragon Force 
(3 remaining)."
"q00030170_00_4166","魔物を討伐した場所を調べる","Examine the location where the enemy was defeated."
"q00030170_00_3884","竜力を乱す魔物を討伐する（残り２）","Defeat the demons disrupting the Dragon Force 
(2 remaining)."
"q00030170_00_4167","魔物を討伐した場所を調べる","Examine the location where the enemy was defeated."
"q00030170_00_3885","竜力を乱す魔物を討伐する（残り１）","Defeat the demons disrupting the Dragon Force 
(1 remaining)."
"q00030170_00_4168","魔物を討伐した場所を調べる","Examine the location where the enemy was defeated."
"q00030170_00_3886","復活した竜力に乗り淀みの渦へ向かう","Ride on the revived Dragon Force and head to the 
Vortex of Stagnation."
"q00030170_00_4519","奥に進み擬竜を探す","Proceed further and search for the pseudo-dragon."
"q00030170_00_3887","遭遇した魔物を討伐する","Defeat the encountered demons"
"q00030170_00_4324","魔物を討伐した場所を調べる","Examine the location where the enemy was defeated."
"q00030170_00_3888","白竜神殿のメイリーフの部屋へ向かう","Head to Mayleaf's room in the White Dragon Temple."
"q00030170_00_3889","謁見の間のジョゼフに報告する","Report to Joseph in the Audience Chamber"
