0,,グリプスマント,Gryphus Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19663,,Item Name
0,,白翼のマント,White Wings Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19664,,Item Name
0,,白翼のマント,White Wings Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19665,,Item Name
0,,白翼のマント,White Wings Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19666,,Item Name
0,,白翼のマント,White Wings Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19667,,Item Name
0,,白翼のマント,White Wings Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19668,,Item Name
0,,ワイズマンクローク,Arisen's Cloak,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19669,,Item Name
0,,ワイズマンクローク,Arisen's Cloak,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19670,,Item Name
0,,ワイズマンクローク,Arisen's Cloak,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19671,,Item Name
0,,ワイズマンクローク,Arisen's Cloak,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19672,,Item Name
0,,ワイズマンクローク,Arisen's Cloak,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19673,,Item Name
0,,ポールドロン,Pauldron,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19674,,Item Name
0,,ポールドロン,Pauldron,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19675,,Item Name
0,,ポールドロン,Pauldron,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19676,,Item Name
0,,ポールドロン,Pauldron,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19677,,Item Name
0,,ポールドロン,Pauldron,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19678,,Item Name
0,,イーグルマント,Eagle Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19679,,Item Name
0,,イーグルマント,Eagle Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19680,,Item Name
0,,イーグルマント,Eagle Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19681,,Item Name
0,,イーグルマント,Eagle Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19682,,Item Name
0,,イーグルマント,Eagle Mantle,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19683,,Item Name
0,,サバイバーズケープ,Survivor's Cape,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19684,,Item Name
0,,サバイバーズケープ,Survivor's Cape,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19685,,Item Name
0,,サバイバーズケープ,Survivor's Cape,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19686,,Item Name
0,,サバイバーズケープ,Survivor's Cape,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,19687,,Item Name
