0,,"不思議な力で封鎖されている
英霊の協力<COL ffdc78>《大開拓》</COL>が必要そうだ――","It is sealed with a mysterious power.
The cooperation of the heroic spirit 
<COL ffdc78>《Great Frontier Development》</COL> 
seems necessary.",ui\00_message\examine_message\stage\stage_examine_st1150.gmd,\stage\st1150\st1150.arc,st1150.arc,0,
0,,パーティー中、クイックパーティ申請中は使用できません,"This cannot be used when in a party 
or during Quick Party registration.",ui\00_message\examine_message\stage\stage_examine_st2000.gmd,\stage\st2000\st2000.arc,st2000.arc,0,
0,,ある覚者の記録,The log of an Arisen.,ui\00_message\examine_message\stage\stage_examine_st2000.gmd,\stage\st2000\st2000.arc,st2000.arc,1,
0,,"ここは、元いた世界から隔絶された世界
何者かが創り出した呪われし迷宮","This place is a world isolated from our own, 
a labyrinth cursed and fashioned by an unknown hand.",ui\00_message\examine_message\stage\stage_examine_st2000.gmd,\stage\st2000\st2000.arc,st2000.arc,2,
0,,"迷宮では今までのレベルはなくなり
すべての者がレベル1からの探索となる
装備もまた迷宮内で手に入れたものを
装備することになる","Inside the maze, prior levels are rendered void, 
forcing all to start their 
exploration anew at level 1. 
You will also be equipped only with items found 
within the labyrinth.",ui\00_message\examine_message\stage\stage_examine_st2000.gmd,\stage\st2000\st2000.arc,st2000.arc,3,
0,,"しかし、迷宮を踏破していくことで
ここでしか手に入らない、希少な品が手に入る
""特別な印""を使うことで
自分にとって不必要な装具の効果を封印したり
持ち帰ることもできるようだ","Nonetheless, by exploring the labyrinth, 
you can obtain rare items 
that can only be found here. 
Using a ""special mark,"" 
you can either seal the 
effects of unnecessary gear 
or take them with you.",ui\00_message\examine_message\stage\stage_examine_st2000.gmd,\stage\st2000\st2000.arc,st2000.arc,4,
0,,"この呪われし迷宮は
私をより強くする場所となるだろう――","This cursed dungeon shall be
a place that empowers me――",ui\00_message\examine_message\stage\stage_examine_st2000.gmd,\stage\st2000\st2000.arc,st2000.arc,5,
0,,"ここは深淵の果て――
生ける者の記憶が""幻体""を作り出す奈落","This is the abyss's depths――
a void where the memories of the living
forge ""phantoms.""",ui\00_message\examine_message\stage\stage_examine_st2021.gmd,\stage\st2021\st2021.arc,st2021.arc,0,
0,,"幻体は深淵と呼応し生者の命を求める
呪縛を脱する術はひとつ","The phantoms resonate with the abyss,
seeking the lives of the living.
There is but one way to break this curse.",ui\00_message\examine_message\stage\stage_examine_st2021.gmd,\stage\st2021\st2021.arc,st2021.arc,1,
0,,"歩みを進め
迎える者に弔いを――","Proceed onward,
and offer a requiem to those who greet you.",ui\00_message\examine_message\stage\stage_examine_st2021.gmd,\stage\st2021\st2021.arc,st2021.arc,2,
0,HISTORY_STEP_15,"　かつて覚者はレスタニアの王、そして次代の竜にな
るさだめだった
　しかし、３２４年前に状況が変わった。黄金竜との
戦いで傷ついた白竜が完全なる回復を遂げるまでの
間、自らを守る戦士として数人の覚者を生み出したの
だ
　彼らは古来からの作法に従い、白竜に心臓を預ける
代わりに竜力を受け取った。回復の途上にある白竜を
狙って近づく魔物を蹴散らすことが彼らのさだめだっ
た。希望者は絶えることなく、白竜は定期的に覚者を
増やした
　やがて、時とともに覚者たちの意識に変化が生じ
た。白竜のそばに控えることが、すべてではなくなっ
たのだ
　彼らはレスタニア全土に広がり、各地で暮らす人々
のために戦うようになった。土地に縛られず、あちこ
ちを移動して問題を解決する者も現れ、頼りにされる
ようになった
　もちろん、昔と同じく、この神殿に集う者も少なく
はない。今回誕生した覚者たちはどうだろう
　さて、気になる事件が二件起こっている。グリッテ
ン砦が、ついにオークどもに侵入されてしまった
　守備隊のヴァネッサと応援に行ったレオたちが見事
撃退したようだが、今後のオークの動向が気になると
ころだ
　加えて、多くの人々が目撃した、空を横切る巨大な
石塊も悩ましい。天変地異の類か、それとも誰か――
たとえば、信じがたいがオーク――の仕業か
　どこに落ちたのだろうか。ゲルト騎士団長が落下地
点を特定するための捜索部隊を派遣したとの報告を受
けている","Once, there was an Arisen-King of Lestania
who was fated to become the next Dragon.
324 years afore, the White Dragon
was injured in battle in a tremendous effort
to protect Lestania from the Golden Dragon
and raised Arisen as wards in its stead.
In time, the Arisen dispersed throughout the land.
Still, many remain in this Temple.
What of the newly marked Arisen?

Presently, Orcs have invaded Fort Gritten.
Vanessa and Leo succeeded in their defense,
but we know not what the Orcs plan next.

A giant stone fell from the sky.
A natural occurrence, or the intent of the Orcs?
The latter is hard to fathom.
Commander Gerd managed to secure its location.
A team has been sent to investigate.",ui\00_message\history\001\q00000001.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_18,"　覚者を束ねるレオは、時折新人覚者を連れてきて我
々に紹介する
　特段の便宜を計るようにそれとなく伝えてくるの
だ。なんらかの輝きを持つとレオが認めた者らしい
　今日もひとり、新人を連れてきた。わたしには覚者
の資質は皆目わからない。これは率直に認めるしかな
い
　しかし、覚者とて人である。人の善し悪しの見極め
は、この神殿では年長の部類に入るわたしの使命だと
密かに自認している
　さて、あの覚者はどうだろう。レオの人使いの荒さ
についてゆくことができるだろうか
　ともあれ神殿に集う顔ぶれの変化は好ましいこと
だ。新人が竜力の流れを活性化するような気がする
　老いて、肉体ばかりか精神も鈍重になったが、わた
しはまだここを去りたくはない。空気が淀み、その原
因がたとえ自分だとしても退場はまだ先にしたい
　故に、わたしは新しい顔を歓迎するのだ","Leo brought a Newly Arisen to us.
He expects us to accomodate them well
and seemed to hold them in high esteem.

The Newly Arisen was the only one today.
I do not understand the Arisen fully,
this I must confess.

Yet, they are also human.
Discerning their ilk's inclination
of good or evil is my secret duty.

So, what of this Arisen? 
How did this one fare against Leo's sternness?

Likely, things in this temple are about to change.
The young one already has the Dragon Force within.

With age, my mind and body have grown weary,
but I shan't be an old dullard as of yet.
Even as the air of things stagnate,
I do not wish to leave this place.

I join in their welcome.",ui\00_message\history\001\q00000002.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_23,"　テル村事件の顛末を覚書として残しておく
　魔物退治の兵を派遣してくれとの要請を受けたゲル
ト騎士団長は、すぐに副長ハインツを指揮官とする騎
士たちを向かわせた。その後、村からの要請は何故か
レオにまで伝わり、覚者ガルドリンが派遣された
　騎士団と覚者たちの対立は絶えたことがない。今回
も現場のテル村で両者が揉めてしまったようだ。誤り
に気づいたレオが、仲裁のために派遣した新人覚者の
機転で大事には至らなかった。だが、この長く続く対
立は伝統という言葉ですませてしまって良いのだろう
か
　確執を原因とする手柄争いが良い具合に両者の士気
を高めているという意見があることは知っている。し
かし、両者から互いへの悪口雑言を聞かされるわたし
の立場も考えてほしいものだ
　我々の目下の敵はオークだ。内輪揉めはやめて、白
竜の下、心一つになろうではないか","Regarding the incident in Tel:

Vice-Captain Heinz of the White Knights 
and Gurdolin of the Arisen Corps
were both sent in response to a request from Tel.
An altercation befell our good soldiers.
Leo deployed the new Arisen to mediate.

There remains great tension 
twene the White Knights and the Arisen.
Unfortunate as it may be,
perhaps these long, unresolved confrontations
should also be considered tradition.

I am aware that winning the dispute
will raise morale for their respective parties.
Though I wish they would consider my standing,
as one who hath seen the ire of both sides.

Our true enemy is the Orcs.
We must cease this discord,
and unite our hearts under the White Dragon.",ui\00_message\history\001\q00000003.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_25,"　飛来した巨大な石と思われる物体を我々は大石塊
（アーク）と呼ぶことにした
　およその落下地点も判明しており、正確な場所の把
握まであと一歩というところだ
　すでに調査隊の編成も始まっている。アークの正体
については悲観的な思いがある。だがそれを口に出し
てどうなるものではない。ほどなく派遣される調査隊
が持ち帰るであろう報告を待って対応すべきだろう
　さて、覚者のひとりがポーンとの契約に挑むよう
だ。ポーンを連れ歩かない覚者も多いが、一度は契約
を交わすことが、一人前の覚者の条件だと言われてい
る。首尾良くやり遂げることを願ってやまない
　そういえば新人覚者たちはアルフレドと会ったのだ
ろうか。アルフレドは礼節を知る、素晴らしいエリア
マスターだ。もしまだなら、強制してでもテル村へ行
かせる必要がある","The huge stone that crashed was named the Ark.

We've also managed to estimate its location.

An investigation team is already being formed.
I have a terrible feeling about the true nature
of this Ark, but I dare not speak it aloud. 
Soon enough, the investigation's result
will yield the very truth.

One of the Arisen is to gain a Pawn.
There are many who have none, of course,
but 'twas once said that obtaining a Pawn 
was a sign of becoming fully-fledged.
I sincerely pray for this Arisen's success.

I wonder if the others have sought out Alfred.
He is a well-mannered and splendid Area Master.
If not, they still have a reason to visit Tel.",ui\00_message\history\001\q00000004.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_27,"　アーク調査隊が予定を過ぎても戻らなかったため覚
者のひとりが派遣された
　負傷者はあったが、全員帰還することができてまず
は胸を撫で下ろしている。調査団長に任命されたクラ
ウスが好奇心に負けたことが原因だ。その結果、団員
と護衛隊を危険に晒してしまったようだ
　クラウスの性格からして悪意などなかったことはわ
かっている。厳重注意ということで関係者の理解を得
られたことと考えている
　さて、正式な報告書に先駆けて聞いたところによる
と、アークは明らかな人工物であり、内部には不可思
議な装置が設置されていたとのこと
　アーク及び装置の目的は不明だが、人工物とあれ
ば、作った者がいるはずだ。とある名前が頭に浮かん
だが、今しばらく黙っていよう。まだ謎が多い
　その者の名を出すことは謎を増やすだけで解明の足
しにはならないだろう","The Ark exploration team
did not return as expected, 
and thus one of the Arisen was dispatched.
All members were returned to us safely.

Appointed to lead but strayed by his curiosity, 
Klaus endangered his company.
Knowing him well, he meant no ill by it.
I believe he came to understand his error
through strict warning.

According to the formal report,
it appears that the Ark contains ominous devices.
The purpose of the such things is unknown,
but if it is an object of artifice, 
there must exist an artificer.

A name came to mind, yet I dare not speak it.

There are still many mysteries.
Mentioning that name will only continue to vex us
further without resolution.",ui\00_message\history\001\q00000005.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_29,"　メイリーフの姿が見えないとパメラが騒ぎ、わたし
はすぐに騎士団に捜索を依頼した
　加えて、レオが目をかけている覚者にも声をかけ
た。以前にメイリーフがクラフトをもらったと喜んで
いたことを思い出したからだ
　メイリーフのことになると冷静ではいられず、騎士
団と覚者の確執を知りながらも助けを求めずにはいら
れなかった
　あの子はエルフの末裔であり、わたしの知る限り、
このレスタニアに残ったエルフはふたりだけなのだ。
メイリーフ自身と、時折密かに彼女を訊ねてくる青年
が、おそらくエルフだ
　希少であることは人の欲を掻き立てる。エルフたち
が悪意に触れないようにその正体は隠しておかねばな
らない。関係者には口止めしておくことにしよう","When Pamela took notice that Mayleaf
was nowhere to be found, she began to panic
and requested a search from the Knight Order.
She also sought out the Arisen under Leo's care.

Despite being aware of the conflicts
between the Knight Order and the Arisen,
Pamela could not stay herself.
Mayleaf is the descendant of elves,
and as far as she knew,
only two elves are left in Lestania:
Mayleaf herself and a young man
who inquires about her at times,
likely another elf.
Their rarity would stir up people's desires,
so their true identities must be kept hidden
to prevent ill intentions towards them. 
Better to keep the matter under wraps.",ui\00_message\history\001\q00000006.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_33,"　白竜の前に集う覚者のひとりであるイリスの様子が
気にかかる
　よく笑う娘で時に気に触るほどだった。だが、アー
クの調査から帰還してからはまるで気性が変わってし
まったかのようだ
　このところ姿を消していたのはキノザの鉱泉へ行っ
ていたためらしい。案じたクラウスが人を送って連れ
戻したが、はて、やはり、どこか以前とは違う気がし
てならない
　危うさを感じているのはわたしだけではないはず
だ。覚者は心臓を竜に預けている。心臓と情の動きは
密接に関係しているはずだ。胸に空虚を抱える覚者に
精神的な落ち着きを期待するのは間違っているのだろ
うか
　さて、クラウスにも問題がある。アークの調査報告
執筆に加えて、レオから古文書の解析も依頼されてい
るはず。加えて他人の心配
　これではすべてが中途半端なままだ。未熟故に時間
の案配がわからないのだろう。指導の必要がありそう
だ","I have concern about Arisen Iris,
She used to be so cheerful as to irritate others.
Though, since returning from the Ark investigation,
her bearing has changed.
Seems she retreated to Kinoza Hot Springs.
Klaus, concerned, sent someone to bring her back.
Yet, I cannot help but feel something is amiss.

The Arisen's entrusted heart
and their emotions must be intertwined.
Is it wrong to expect emotional stability
from a fellow devoid of one?

Klaus is also troubled.
Along with his Ark report,
Leo tasked him to analyze ancient documents.
Everything remains in an unfinished state.
Perhaps they know not how to manage their time
due to their immaturity.
It seems that guidance is necessary.",ui\00_message\history\001\q00000007.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
0,HISTORY_STEP_35,"　周囲に不快な臭気が漂っている。グリッテン砦から
帰還した者たちにこびりついた臭いだ
　砦でオークとの大規模な戦闘があった。完全なる勝
利との報告を受けたが、このところの敵は勢いづいて
いるように思える
　遠方からもオークの動きが活発になったとの情報が
入っており、騎士の常駐も計画中だ
　長く続いているオークとの戦争は、一進一退という
評価が一般的だが、謁見の間の我々は危機感を覚えて
いる。我々白竜陣営が完全に掌握しているのはこのハ
イデル平原だけになってしまった
　いつの世も、どこへ行っても魔物がいるせいで、オ
ークの行動範囲が多少拡大しても気づく者は少ない
　しかし、それも時間の問題だ。レオ並びにゲルトと
知恵を出し合いなんらかの策を打ち出す必要がある","There is an unpleasant odor in the air
that clings to those who return from the battle
against the Orcs at Fort Gritten.
'Twas a complete victory,
but the enemy has regained momentum.
The Orcs' movements continue even from afar,
and plans for a Knight Patrol are underway.

The protracted conflict with the Orcs
has proved a back-and-forth struggle,
but we in the Audience Chamber are in crisis.
The Hidell Plains is the only territory
that the White Dragon Forces fully control.

In any era, wherever you go,
there are always monsters,
so few notice if the Orcs' domain grows.
However, it is only a matter of time.
Leo and Gerd must pool their wisdom
and gage a plan of action.",ui\00_message\history\001\q00000009.gmd,\ui\history\history_data_001.arc,history_data_001.arc,0,
