116,EVENT_NAME_st0110ev015,黒騎士との遭遇,Encounter with the Black Knight,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,116,,Cutscene Name
137,EVENT_NAME_st0110ev020,新たな魔物との遭遇,Confronted by New Monsters,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,137,,Cutscene Name
138,EVENT_NAME_st0110ev025,ガルドリンの救出,Gurdolin to the Rescue,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,138,,Cutscene Name
144,EVENT_NAME_st0112ev000,セシリー討たれる,Cecily Struck Down,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,144,,Cutscene Name
151,EVENT_NAME_st0112ev005,アルタード・ズール出現,Altered Zuhl Appears,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,151,,Cutscene Name
152,EVENT_NAME_st0112ev010,レオ、散る,"Leo, disperse",ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,152,,Cutscene Name
154,EVENT_NAME_st0112ev015,黒騎士討伐その後・後半,"Defeat of the Black Knight, then the second half",ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,154,,Cutscene Name
155,EVENT_NAME_st0112ev020,新大陸へ,To the New Continent,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,155,,Cutscene Name
188,EVENT_NAME_st0113ev000,EX2.0導入デモ1,EM2.0 introduction demo 1,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,188,,Cutscene Name
190,EVENT_NAME_st0113ev005,EX2.0スカージ登場開始デモ,EM2.0 Scourge Appears Introduction Demo,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,190,,Cutscene Name
191,EVENT_NAME_st0113ev010,EX2.0スカージ討伐デモ,EM2.0 Defeating Scourge Demo,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,191,,Cutscene Name
203,EVENT_NAME_st0114ev000,GM2.1開始デモ8人揃いスタート,GM2.1 8 player Introduction demo,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,203,,Cutscene Name
199,EVENT_NAME_st0114ev005,GM2.1アルタード・ズール討伐デモ,GM2.1 Defeating Altered Zuhl Demonstration,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,199,,Cutscene Name
198,EVENT_NAME_st0114ev010,GM2.1開始デモ,GM2.1 Introduction Demo,ui\00_message\event\event_name.gmd,\EventViewRoom.arc,EventViewRoom.arc,198,,Cutscene Name
