1,SAME_LETTER_260_622,み,mi,ui\00_message\ng_word\same_letter_260.gmd,\ui\gui_cmn.arc,gui_cmn.arc,1,
2,SAME_LETTER_260_623,ミ,Mi,ui\00_message\ng_word\same_letter_260.gmd,\ui\gui_cmn.arc,gui_cmn.arc,2,
0,SAME_LETTER_261_624,ﾑ,mu,ui\00_message\ng_word\same_letter_261.gmd,\ui\gui_cmn.arc,gui_cmn.arc,0,
1,SAME_LETTER_261_625,む,mu,ui\00_message\ng_word\same_letter_261.gmd,\ui\gui_cmn.arc,gui_cmn.arc,1,
2,SAME_LETTER_261_626,ム,mu,ui\00_message\ng_word\same_letter_261.gmd,\ui\gui_cmn.arc,gui_cmn.arc,2,
0,SAME_LETTER_262_627,ﾓ,ﾓ,ui\00_message\ng_word\same_letter_262.gmd,\ui\gui_cmn.arc,gui_cmn.arc,0,
1,SAME_LETTER_262_628,も,,ui\00_message\ng_word\same_letter_262.gmd,\ui\gui_cmn.arc,gui_cmn.arc,1,
2,SAME_LETTER_262_629,モ,,ui\00_message\ng_word\same_letter_262.gmd,\ui\gui_cmn.arc,gui_cmn.arc,2,
0,SAME_LETTER_263_630,ﾗ,ra,ui\00_message\ng_word\same_letter_263.gmd,\ui\gui_cmn.arc,gui_cmn.arc,0,
1,SAME_LETTER_263_631,ら,ra,ui\00_message\ng_word\same_letter_263.gmd,\ui\gui_cmn.arc,gui_cmn.arc,1,
2,SAME_LETTER_263_632,ラ,ra,ui\00_message\ng_word\same_letter_263.gmd,\ui\gui_cmn.arc,gui_cmn.arc,2,
0,SAME_LETTER_264_633,リ,,ui\00_message\ng_word\same_letter_264.gmd,\ui\gui_cmn.arc,gui_cmn.arc,0,
1,SAME_LETTER_264_634,り,,ui\00_message\ng_word\same_letter_264.gmd,\ui\gui_cmn.arc,gui_cmn.arc,1,
2,SAME_LETTER_264_635,ﾘ,ﾘ,ui\00_message\ng_word\same_letter_264.gmd,\ui\gui_cmn.arc,gui_cmn.arc,2,
