0,q40200005_00_305,物資運搬路の安全確保,Securing Transport Routes,ui\00_message\quest_info\q40200005_00.gmd,\quest\q40200005.arc,q40200005.arc,0,
1,q40200005_00_305,"レスタニアから取り寄せた道具を運ぶ道のりも楽じゃねぇんだよ
荷物を狙ってか襲撃を受けるのもしょっちゅうよ
最近は特に<LQEM>に手こずることが多くなってきてな
見かけたら<LQVA>匹倒してきてくれ","Transporting tools from Lestania is no easy task. 
We're frequently attacked, especially by 
<LQEM> lately. 
If you see any, please defeat <LQVA> of them.",ui\00_message\quest_info\q40200005_00.gmd,\quest\q40200005.arc,q40200005.arc,1,
0,q40200006_00_306,魔赤島生物の行動調査,Investigating Bloodbane Isle Wildlife Activities,ui\00_message\quest_info\q40200006_00.gmd,\quest\q40200006.arc,q40200006.arc,0,
1,q40200006_00_306,"魔赤島の生物の行動を調査する
各自<LQEM>を<LQVA>体ほど討伐し、その際に気付いたことを報告してくれ
なお、各自の報告はまとめて神殿に送る
気を抜かないようにな！","Investigate the behavior of creatures 
on Bloodbane Isle. 
Defeat <LQEM> and report your 
observations of their reactions, actions, 
and habits. 
Summarize and send your reports to the temple. 
Stay alert!",ui\00_message\quest_info\q40200006_00.gmd,\quest\q40200006.arc,q40200006.arc,1,
0,q40200007_00_307,群れの半数,Half of the Crowd,ui\00_message\quest_info\q40200007_00.gmd,\quest\q40200007.arc,q40200007.arc,0,
1,q40200007_00_307,"<LQEM>の大きな群れと遭遇したが、半数しか倒せないまま
逃げられてしまった
残りは<LQVA>匹だったはずだ
見かけたら掃討を頼みたい","I encountered a large herd of <LQEM>, 
but could only defeat half. 
They escaped. There should be <LQVA> remaining. 
If you see them, please clean them up.",ui\00_message\quest_info\q40200007_00.gmd,\quest\q40200007.arc,q40200007.arc,1,
0,q40200008_00_308,討伐協力依頼,Cooperate with Subjugation,ui\00_message\quest_info\q40200008_00.gmd,\quest\q40200008.arc,q40200008.arc,0,
1,q40200008_00_308,"<LQEM>は倒しても倒してもキリが無い
恐らく討伐を上回る早さで襲来しているのだろう
そちらの方でも<LQVA>体倒しておいてくれないか
白騎団の我が部下たちがいれば、この程度の討伐すぐにカタがつくのだが――","No matter how many <LQEM> we defeat,
it feels endless. They're probably
arriving faster than we can kill them.
Could you take care of <LQVA> of them?
If only the White Knights troops were here,
this would be settled quickly――",ui\00_message\quest_info\q40200008_00.gmd,\quest\q40200008.arc,q40200008.arc,1,
0,q40200009_00_309,衛生環境の維持のため,To Maintain a Clean Environment,ui\00_message\quest_info\q40200009_00.gmd,\quest\q40200009.arc,q40200009.arc,0,
1,q40200009_00_309,"拠点近くで<LQEM>をよく見かけるのが気がかりだわ――
住環境の衛生には細心の注意を払っておきたいもの
一人あたり<LQVA>体の討伐をお願い","To keep the peace of our land, we need to address 
the problem with <LQEM>. 
Their number is increasing. 
Please defeat <LQVA> and report your actions.",ui\00_message\quest_info\q40200009_00.gmd,\quest\q40200009.arc,q40200009.arc,1,
0,q40200010_00_310,＜エリアオーダー＞魔赤島魔物征伐,Area Order: Bloodbane Isle Demon Extermination,ui\00_message\quest_info\q40200010_00.gmd,\quest\q40200010.arc,q40200010.arc,0,
1,q40200010_00_310,"よし、エリアマスターとして討伐の依頼だ！
<LQEM>の群れが頻繁に目撃されている
少しでも安全に調査を進めるべく、数を減らしておくに越したことはない
念のため<LQVA>匹ほど討伐してくれ","Alright, as the Area Master, 
I have a request for you! 
<LQEM> have been frequently sighted. 
To ensure a safer investigation, 
it's best to reduce their numbers. 
Please defeat <LQVA> of them.",ui\00_message\quest_info\q40200010_00.gmd,\quest\q40200010.arc,q40200010.arc,1,
0,q40200011_00_311,薬効検証のため,Investigating Medicine's Effects,ui\00_message\quest_info\q40200011_00.gmd,\quest\q40200011.arc,q40200011.arc,0,
