0,,ぽかぽかネコマスク【橙】,Warm and Fuzzy Cat Mask (Orange),ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12108,,Item Name
0,,仮装の頭飾　リュウＡ,Fancy Dress: Ryu A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12109,,Item Name
0,,仮装の頭飾　リュウＡ,Fancy Dress: Ryu A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12110,,Item Name
0,,仮装の頭飾　リュウＡ,Fancy Dress: Ryu A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12111,,Item Name
0,,仮装の頭飾　リュウＡ,Fancy Dress: Ryu A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12112,,Item Name
0,,仮装の頭飾　リュウＡ,Fancy Dress: Ryu A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12113,,Item Name
0,,仮装の頭飾　リュウＢ,Fancy Dress: Ryu B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12114,,Item Name
0,,仮装の頭飾　リュウＢ,Fancy Dress: Ryu B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12115,,Item Name
0,,仮装の頭飾　リュウＢ,Fancy Dress: Ryu B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12116,,Item Name
0,,仮装の頭飾　リュウＢ,Fancy Dress: Ryu B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12117,,Item Name
0,,仮装の頭飾　リュウＢ,Fancy Dress: Ryu B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12118,,Item Name
0,,仮装の頭飾　ガイルＡ,Fancy Dress: Guile A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12119,,Item Name
0,,仮装の頭飾　ガイルＡ,Fancy Dress: Guile A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12120,,Item Name
0,,仮装の頭飾　ガイルＡ,Fancy Dress: Guile A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12121,,Item Name
0,,仮装の頭飾　ガイルＡ,Fancy Dress: Guile A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12122,,Item Name
0,,仮装の頭飾　ガイルＡ,Fancy Dress: Guile A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12123,,Item Name
0,,仮装の頭飾　ガイルＢ,Fancy Dress: Guile B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12124,,Item Name
0,,仮装の頭飾　ガイルＢ,Fancy Dress: Guile B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12125,,Item Name
0,,仮装の頭飾　ガイルＢ,Fancy Dress: Guile B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12126,,Item Name
0,,仮装の頭飾　ガイルＢ,Fancy Dress: Guile B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12127,,Item Name
0,,仮装の頭飾　ガイルＢ,Fancy Dress: Guile B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12128,,Item Name
0,,仮装の頭飾　ザンギエフＡ,Fancy Dress: Zangief A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12129,,Item Name
0,,仮装の頭飾　ザンギエフＡ,Fancy Dress: Zangief A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12130,,Item Name
0,,仮装の頭飾　ザンギエフＡ,Fancy Dress: Zangief A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12131,,Item Name
0,,仮装の頭飾　ザンギエフＡ,Fancy Dress: Zangief A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12132,,Item Name
0,,仮装の頭飾　ザンギエフＡ,Fancy Dress: Zangief A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12133,,Item Name
0,,仮装の頭飾　ザンギエフＢ,Fancy Dress: Zangief B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12134,,Item Name
0,,仮装の頭飾　ザンギエフＢ,Fancy Dress: Zangief B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12135,,Item Name
0,,仮装の頭飾　ザンギエフＢ,Fancy Dress: Zangief B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12136,,Item Name
0,,仮装の頭飾　ザンギエフＢ,Fancy Dress: Zangief B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12137,,Item Name
0,,仮装の頭飾　ザンギエフＢ,Fancy Dress: Zangief B,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12138,,Item Name
0,,仮装の頭飾　ベガＡ,Fancy Dress: M. Bison A,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,12139,,Item Name
