0,,フン――貴様ラ人間ニ、関係アルノカ？,Hmph—Does it concern you humans in any way?,ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,212,,st0472 Examine
0,,"ダガコレダケ教エテヤル
――命乞イナラ今ノウチダ","I'll tell you this much—
if you want to beg for your life, now is the time.",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,213,,st0472 Examine
0,,何だと――？,What—?,ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,214,,st0472 Examine
0,,"おーく軍ハ、スグチカラヲ溜メ、戻ッテクル
ソシテ俺ヲ助ケ出シ、チッポケナ人間ドモヲ
マタ奴隷ニスルノダ","The orc army will soon gather its 
strength and come back. 

They'll rescue me and turn you insignificant 
humans into slaves again.",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,215,,st0472 Examine
0,,このオーク――かなり自信があるらしいな,This orc—he seems to be quite confident.,ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,216,,st0472 Examine
0,,"オーク軍の情報を引き出すには
この鼻っ柱をへし折ってやるか","To get the orc army's information, 
we might need to crush this arrogance.",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,217,,st0472 Examine
0,,"あるいは、口を滑らしてしまうような
上機嫌にさせる証拠があると
良いんだが――","Alternatively, it would be ideal to have some 
evidence that puts them in such a good mood 
that they might slip up.",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,218,,st0472 Examine
0,,脅す,Threaten,ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,219,,st0472 Examine
0,,《証拠》を突きつける,Present the evidence,ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,220,,st0472 Examine
0,,――やめる,—Stop,ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,221,,st0472 Examine
0,,いや、お前の話を疑うつもりは無い,"No, I don't doubt your story.",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,222,,st0472 Examine
0,,"実はここだけの話なんだが――
引いたはずのオーク軍がいくらか
この街に戻っているという噂があってな","Actually, between you and me...
There are rumors that some of the orc forces, 
which were supposed to have withdrawn, 
are returning to this city.",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,223,,st0472 Examine
0,,――何？,—what?,ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,224,,st0472 Examine
0,,"まさか、あのオーク軍がたった1人のオークを
救うため戻ってくるとはにわかに信じ難いが――","It's hard to believe that the orc army would 
return just to save one orc, but...",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,225,,st0472 Examine
0,,グァッハッハッハ！　ヤハリナ！,Guhahaha!　I knew it!,ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,226,,st0472 Examine
0,,"貴様ラ皆殺シニシテヤル！
アノめがど奪取以降、マタ人間ノ血ヲ
浴ビラレル時ガ来タノダ！","You will all be killed!
After the capture of Megado, 
it's time once more to be soaked in human blood!!",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,227,,st0472 Examine
0,,メガド奪取以降――か？,After the capture of Megado—?,ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,228,,st0472 Examine
0,,"お前はオーク軍に占領されていた頃から
メガドにいたのか？","Have you been in Megado since it 
was under Orc occupation?",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,229,,st0472 Examine
0,,"フン、当然ダ！ 
常ニ最前線ニ、在ルコトコソ戦士ノ証","Well, of course! 
Always being on the front lines is the mark of a warrior.",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,230,,st0472 Examine
0,,"人間ドモガ、愚カナ反抗ヲ起コシタラ
ソノ時、伝令兵ガイナケレバ
一体誰ガ事態ヲ伝達スル！","If the humans start a foolish rebellion, 
who will report the situation if 
there are no messengers?",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,231,,st0472 Examine
0,,――覚者、聞いたか？,"—Did you hear that, Arisen?",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,232,,st0472 Examine
0,,"どうやらこのオークは
占領下のメガドについて詳しいようだぞ","It appears this orc is knowledgeable 
about Megado during its occupation.",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,233,,st0472 Examine
0,,"もしかすると、ナヴィドの悪事の証拠を
入手できるかもしれないな
街に増えるオークどもの真意も気になるが――","We might be able to gather 
evidence of Navid's wrongdoings. 

I'm also curious by the true motives of the 
growing number of orcs in the city.",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,234,,st0472 Examine
0,,"まずは上機嫌で口が軽くなっている今
占領下の<NPC 681>の情報を聞き出そう","Since he's in high spirits and more 
inclined to talk, 
let's extract information about <NPC 681> 
during the occupation period.",ui\00_message\event\st0472\ev005.gmd,\event\st0472\st0472ev005.arc,st0472ev005.arc,235,,st0472 Examine
