0,,トモスコロモス,Tomos Chromos,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5357,,Item Name
0,,ブラックマター,Black Matter,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5358,,Item Name
0,,ブラックマター,Black Matter,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5359,,Item Name
0,,ブラックマター,Black Matter,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5360,,Item Name
0,,ブラックマター,Black Matter,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5361,,Item Name
0,,ブラックマター,Black Matter,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5362,,Item Name
0,,オリュンポス,Olympus,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5363,,Item Name
0,,オリュンポス,Olympus,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5364,,Item Name
0,,オリュンポス,Olympus,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5365,,Item Name
0,,オリュンポス,Olympus,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5366,,Item Name
0,,オリュンポス,Olympus,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5367,,Item Name
0,,ゴルディオン,Gordion,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5368,,Item Name
0,,ゴルディオン,Gordion,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5369,,Item Name
0,,ゴルディオン,Gordion,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5370,,Item Name
0,,ゴルディオン,Gordion,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5371,,Item Name
0,,ゴルディオン,Gordion,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5372,,Item Name
0,,トライヘッド,Tri-Head,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5373,,Item Name
0,,トライヘッド,Tri-Head,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5374,,Item Name
0,,トライヘッド,Tri-Head,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5375,,Item Name
0,,トライヘッド,Tri-Head,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5376,,Item Name
0,,トライヘッド,Tri-Head,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5377,,Item Name
0,,ギルガメッシュランス,Gilgamesh Lance,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5378,,Item Name
0,,ギルガメッシュランス,Gilgamesh Lance,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5379,,Item Name
0,,ギルガメッシュランス,Gilgamesh Lance,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5380,,Item Name
0,,ギルガメッシュランス,Gilgamesh Lance,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5381,,Item Name
0,,ギルガメッシュランス,Gilgamesh Lance,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5382,,Item Name
0,,ハーテンクリンガ,Hartenklinger,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5383,,Item Name
0,,ハーテンクリンガ,Hartenklinger,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5384,,Item Name
0,,ハーテンクリンガ,Hartenklinger,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5385,,Item Name
0,,ハーテンクリンガ,Hartenklinger,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5386,,Item Name
0,,ハーテンクリンガ,Hartenklinger,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5387,,Item Name
0,,チェストブレイカー,Chestbreaker,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5388,,Item Name
0,,チェストブレイカー,Chestbreaker,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5389,,Item Name
0,,チェストブレイカー,Chestbreaker,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5390,,Item Name
0,,チェストブレイカー,Chestbreaker,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5391,,Item Name
0,,チェストブレイカー,Chestbreaker,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5392,,Item Name
0,,ダインスレイフ,Dáinsleif,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5393,,Item Name
0,,ダインスレイフ,Dáinsleif,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5394,,Item Name
0,,ダインスレイフ,Dáinsleif,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5395,,Item Name
0,,ダインスレイフ,Dáinsleif,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5396,,Item Name
0,,ダインスレイフ,Dáinsleif,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5397,,Item Name
0,,ビーストシンボル,Beast Symbol,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5398,,Item Name
0,,ビーストシンボル,Beast Symbol,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5399,,Item Name
0,,ビーストシンボル,Beast Symbol,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5400,,Item Name
0,,ビーストシンボル,Beast Symbol,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5401,,Item Name
0,,ビーストシンボル,Beast Symbol,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5402,,Item Name
0,,アナザーディメンション,Another Dimension,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5403,,Item Name
0,,アナザーディメンション,Another Dimension,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5404,,Item Name
0,,アナザーディメンション,Another Dimension,ui\00_message\common\item_name.gmd,\ui\gui_cmn.arc,gui_cmn.arc,5405,,Item Name
