16,BTL_CONTENT_RESET_SUCCESS_PROGRESS_REWARD_EX,"進行と報酬のリセットが完了しました
黄金石リセットにより以下の効果が発動しました
・初期装備品の性能アップ
<COL d7b450>・レアアイテムの追加</COL>
・探索結果の報告のクリア報酬アップ","Progress and Rewards have been reset.

Performing a Golden Gemstone reset
activates the following effects:

- Improved performance of starting equipment
<COL d7b450>- Addition of rare items</COL>
- Reporting results give more rewards",ui\00_message\ui\BtlContentReset_res.gmd,\ui\BtlContentReset.arc,BtlContentReset.arc,16,
12,BTL_CONTENT_RESET_SUCCESS_REWARD,報酬を受け取りました,Rewards have been received.,ui\00_message\ui\BtlContentReset_res.gmd,\ui\BtlContentReset.arc,BtlContentReset.arc,12,
16,CALI_MSG_BUTTONGUID_END,設定中止,Cancel Setting,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,16,,Options
3,CALI_MSG_BUTTON_EDIT,配置変更,Calibrate,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,3,,Options
4,CALI_MSG_BUTTON_END,終了,Close,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,4,,Options
17,CALI_MSG_BUTTON_RETRY,やり直す,Redo,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,17,,Options
0,CALI_MSG_CAPTION,<PFWD 0>のボタン配置設定,<PFWD 0> Calibration,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,0,,Options
20,CALI_MSG_DETECTED_PAD,認証<PFWD 0>,Detected <PFWD 0>,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,20,,Options
23,CALI_MSG_DIALOG_END,設定が完了しました,Calibration is complete.,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,23,,Options
19,CALI_MSG_DIALOG_NOSAVE,設定を保存せず終了します,Are you sure you want to exit without saving?,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,19,,Options
18,CALI_MSG_DIALOG_XINPUT,ご使用の<PFWD 0>は設定を変更できません,You cannot change the layout of your <PFWD 0>,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,18,,Options
1,CALI_MSG_GUID_CHECK,ボタン配置を確認してください,Check Buttons,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,1,,Options
2,CALI_MSG_GUID_END,確認終了,Confirm Exit,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,2,,Options
13,CALI_MSG_GUID_INPUT,を入力してください,Input (press button),ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,13,,Options
15,CALI_MSG_GUID_KUGIRI,/24,/24,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,15,,Options
10,CALI_MSG_GUID_LD,Lスティックの下,Left Stick Down,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,10,,Options
9,CALI_MSG_GUID_LL,Lスティックの左,Left Stick Left,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,9,,Options
11,CALI_MSG_GUID_LR,Lスティックの右,Left Stick Right,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,11,,Options
12,CALI_MSG_GUID_LU,Lスティックの上,Left Stick Up,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,12,,Options
6,CALI_MSG_GUID_RD,Rスティックの下,Right Stick Down,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,6,,Options
5,CALI_MSG_GUID_RL,Rスティックの左,Right Stick Left,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,5,,Options
7,CALI_MSG_GUID_RR,Rスティックの右,Right Stick Right,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,7,,Options
8,CALI_MSG_GUID_RU,Rスティックの上,Right Stick Up,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,8,,Options
14,CALI_MSG_GUID_STEP,Step.,Step,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,14,,Options
22,CALI_MSG_TITLE_E,Button Calibration,Button Calibration,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,22,,Options
21,CALI_MSG_TITLE_J,ボタンキャリブレーション,Button Calibration,ui\00_message\ui\Calibration_res_win.gmd,\ui\uGUICalibration.arc,uGUICalibration.arc,21,,Options
20,char_sel_add_newchar,新規作成,Create,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,20,,Character Select Screen
24,char_sel_affiliation_clan,所属クラン,Affiliated Clan,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,24,,Character Select Screen
19,char_sel_announce_charover,キャラクター作成上限です,You have the maximum amount of characters.,ui\00_message\ui\CharacterSelect_res.gmd,\ui\uGUICharacterSelect.arc,uGUICharacterSelect.arc,19,,Character Select Screen
