#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,"さらに、旅が終わったら二度と
このようなことが起きないよう
冒険者の集いを作り、助け合えるように
したいということ","Furthermore, once our journey concludes, I wish
to establish a gathering of adventurers to ensure
that such events never happen again, and to foster
mutual assistance.",ui\00_message\examine_message\stage\stage_examine_st0120.gmd,\stage\st0120\st0120.arc,st0120.arc,7
0,,"そして最も感動したのは、我々にも
その一端を担わせてくださるということ――
ポーンでありながら仲間として認められた
ような気さえしました","And what moved me the most was that we were
allowed to play a part in it as well.
Even as pawns, it felt like we were recognized as
companions.",ui\00_message\examine_message\stage\stage_examine_st0120.gmd,\stage\st0120\st0120.arc,st0120.arc,8
0,,"鳥らしき図が描かれている
注意喚起の立て札だろうか――","There seems to be a drawing of what appears to be
birds. Perhaps it's a notice for caution.",ui\00_message\examine_message\stage\stage_examine_st0121.gmd,\stage\st0121\st0121.arc,st0121.arc,0
0,,立て札はぼろぼろに朽ちている,The sign is old and worn out.,ui\00_message\examine_message\stage\stage_examine_st0121.gmd,\stage\st0121\st0121.arc,st0121.arc,1
0,,"湖の北：モロー樹林
東の丘：ナバド","North of the lake: Morrow Forest
Eastern hill: Nabhadh",ui\00_message\examine_message\stage\stage_examine_st0121.gmd,\stage\st0121\st0121.arc,st0121.arc,2
0,,"“この先、モロー樹林”と書かれている
この桟橋は船着き場のようだ","It says ""Morrow Forest"" ahead.
This wharf seems like a dock.",ui\00_message\examine_message\stage\stage_examine_st0121.gmd,\stage\st0121\st0121.arc,st0121.arc,3
0,,"～この先、許可なき者の立入を禁ず～
　　グリンデュア族長　キアラン","~Unauthorized entry prohibited beyond this point~
Chief of the Glyndwr Tribe, Ciarán",ui\00_message\examine_message\stage\stage_examine_st0122.gmd,\stage\st0122\st0122.arc,st0122.arc,0
0,,～この先、何人たりとも立入を禁ず～,~No one shall enter beyond this point~,ui\00_message\examine_message\stage\stage_examine_st0122.gmd,\stage\st0122\st0122.arc,st0122.arc,1
0,,"この先、軽度侵食域
用無き者立ち入るべからず","Ahead lies the mildly corrupted area.
Unauthorized persons are not allowed to enter.",ui\00_message\examine_message\stage\stage_examine_st0123.gmd,\stage\st0123\st0123.arc,st0123.arc,0
0,,"この先、重度侵食域
即刻この場より退避し、南へ戻ること","Beyond this point lies a heavily infected area.
Immediately evacuate from this location and
return to the south.",ui\00_message\examine_message\stage\stage_examine_st0123.gmd,\stage\st0123\st0123.arc,st0123.arc,1
0,,"北：フェルヤナ関所、ダクレイム砦
西：ロスギルの村",,ui\00_message\examine_message\stage\stage_examine_st0131.gmd,\stage\st0131\st0131.arc,st0131.arc,0
0,,"荒々しい紋様のようなものが描かれている
この先は魔軍にとって重要な場所なのかもしれない","There seems to be a rugged pattern drawn.
This place ahead might be important for the demon
army.",ui\00_message\examine_message\stage\stage_examine_st0131.gmd,\stage\st0131\st0131.arc,st0131.arc,1
0,,"お困りの方、坂の上へお進みください
メフィテはどなたでも歓迎いたします","If you are in need, please proceed up the hill.
Mephite welcomes everyone.",ui\00_message\examine_message\stage\stage_examine_st0132.gmd,\stage\st0132\st0132.arc,st0132.arc,0
