0,,"《<SPOT 931>》の傍にある、大きな滝に
面した広場。地名の由来は滝に虹がかかる
ことからという説の他に、色鮮やかな鳥達が
辺りを舞うからだという説もある","A plaza facing a large waterfall beside <SPOT 931>
.
The origin of the name of the place is said to be
the rainbow over the waterfall as well as the
brightly colored birds dancing around the area.",ui\00_message\loading\loading_message_014.gmd,\ui\00_message\loading\loading_message_014.arc,loading_message_014.arc,3
0,,"フィンダム大陸中部に広がる平原
起伏が多いフィンダムにおいて、ファーラナ平原は
なだらかで活用しやすい地形をしている
また、他の地域と比較すると侵食の度合は
緩やかなようで侵食魔の数も少ない","The Farana Plains, located in the central part of
the Phindym continent, are characterized by gently
rolling terrain, making them easy to utilize in
the varied landscape of Phindym.
Furthermore, compared to other regions, the level
of corruption is relatively low, resulting in
fewer corrupted creatures.",ui\00_message\loading\loading_message_015.gmd,\ui\00_message\loading\loading_message_015.arc,loading_message_015.arc,0
0,,"ファーラナ平原に位置する戦士の村
武勇を最も尊ぶ部族が住まい、住人たちは
日々鍛錬と戦いに明け暮れている
力に裏付けされてか、地理的な理由に寄るものか
比較的侵食の影響を受けずに生活している","A village of warriors located in the Farana
Plains.
The inhabitants, who hold valor in the highest
regard, spend their days immersed in training and
battles.
Whether supported by their strength or due to
geographical reasons, they live relatively
unaffected by corruption.",ui\00_message\loading\loading_message_015.gmd,\ui\00_message\loading\loading_message_015.arc,loading_message_015.arc,1
0,,"かつてはフィンダム中から学者たちが集う学研の場で
あった小塔。魔物の襲撃を受けて放棄されたのち
ピクシーの大きな群れが移住した。位の高い
ピクシーは高所を好むため、小塔の上階には群れ
の長もしくは準ずる個体が生息していると思われる","A small tower in the midst of Phindym, where
scholars gathered in the past.
After being abandoned due to enemy raids, a large
group of Pixies migrated there.
Pixies of high rank prefer high places, so it is
believed that the leader or a similar individual
of the group resides on the upper floor of the
tower.",ui\00_message\loading\loading_message_015.gmd,\ui\00_message\loading\loading_message_015.arc,loading_message_015.arc,2
0,,"ファーラナ平原の川中に浮かぶ陸地
周辺は水深が浅く、水没してはいるものの
歩き回ることが可能。ただし、汚泥が流れ着く
ことも多いらしく、不浄の魔物がさ迷っている
こともある","A piece of land floating in the middle of the
river in the Farana Plains.
The surrounding waters are shallow, allowing for
exploration on foot, despite periodic submersion.
However, it appears that mud and debris often
accumulate here, leading to the presence of foul
creatures wandering about.",ui\00_message\loading\loading_message_015.gmd,\ui\00_message\loading\loading_message_015.arc,loading_message_015.arc,3
0,,"《芯なる樹》の最深部
侵食による影響が出るまでは、精霊竜との
謁見などはこの場所で行われていた
精霊竜の守りとして選ばれた者たちが控えていた
集いの間と隣接している","The deepest part of the ""Core Tree"".
Until the effects of corruption took hold,
meetings with the Spirit Dragon were held in this
location.
Those chosen as guardians of the Spirit Dragon
awaited in the adjacent Gathering Hall.",ui\00_message\loading\loading_message_015.gmd,\ui\00_message\loading\loading_message_015.arc,loading_message_015.arc,4
0,,"精霊竜が棲む《始まりの洞》下層に位置する拠点
精霊竜の守りをする者たちや訪れた人々が
暫しの休息を得るための場となっている","Base camp located in the lower level of the
Hollow of Beginnings, where the Spirit Dragon
resides.
It serves as a place for the protectors of the
Spirit Dragon and for those who have visited to
find temporary rest and respite.",ui\00_message\loading\loading_message_015.gmd,\ui\00_message\loading\loading_message_015.arc,loading_message_015.arc,5
0,,"フィンダム随一の森林地帯
樹木や草花、多様な獣といった森の恩恵を
受けられるこの地の特性は、反面侵食の影響が
最も色濃く発現する悲劇を招いた。生命力に
溢れていた森は今や赤く立ち枯れている箇所が目立つ","The premier woodland region of Phindym, where one
can enjoy the benefits of the forest, including
trees, flowers, and a variety of animals.
However, the characteristic of this land also
brings about the tragic manifestation of the most
intense corruption and infection.
The once vibrant forest now stands with prominent
red decay.",ui\00_message\loading\loading_message_016.gmd,\ui\00_message\loading\loading_message_016.arc,loading_message_016.arc,0
0,,"モロー樹林にある、木々に囲まれた村
代々精霊竜の守りをしてきた一族が住まう
そのせいか理知的な者が多く、学者を多数
輩出してきた。威厳ある族長・ガラダに
よって統治されている","In the Morrow Forest, there is a village
surrounded by trees, where a clan that has been
guarding the Spirit Dragon for generations
resides.
Perhaps because of this, there are many
intellectual individuals, and they have produced
numerous scholars.
They are ruled by the dignified chieftain,
Gearóid.",ui\00_message\loading\loading_message_016.gmd,\ui\00_message\loading\loading_message_016.arc,loading_message_016.arc,1
0,,"《ノーザナス侵林》入口のある崖の下に
広がる平地。封鎖されている侵林に
引き寄せられているのか、侵食が進んだ
有翼の魔物たちがしきりにこの辺りを
さまよう姿が確認されている","A flat area of land spreading out under the cliff
where the entrance to the Northerners Infected
Woods is
located.
It is confirmed that winged beasts, infected by
corruption, are frequently wandering around this
area.",ui\00_message\loading\loading_message_016.gmd,\ui\00_message\loading\loading_message_016.arc,loading_message_016.arc,2
0,,"モロー樹林北部、特に侵食が進んだ一帯にある
封鎖された森林。侵食前より森の強者が棲むとされ、
人が迷いこむことが無いようにと封鎖されていた場所
奥を確かめた者はいないが、凶暴な魔物が侵食された
状態にあることは確実であり、危険度は高い","The sealed forest located in the northern part of
Morrow Forest, where corruption has particularly
advanced.
It is said to be inhabited by powerful beings of
the forest, and it was sealed off to prevent
people from getting lost.
No one has ventured deep inside, but it is
certain that ferocious monsters have been
infected. The level of danger is high.",ui\00_message\loading\loading_message_016.gmd,\ui\00_message\loading\loading_message_016.arc,loading_message_016.arc,3
