"0","","セイクリッドバングル","Sacred Bangles","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16226"
"0","","ソーサリーバングル","Sorcery Bangles","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16227"
"0","","ソーサリーバングル","Sorcery Bangles","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16228"
"0","","ソーサリーバングル","Sorcery Bangles","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16229"
"0","","ソーサリーバングル","Sorcery Bangles","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16230"
"0","","ソーサリーバングル","Sorcery Bangles","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16231"
"0","","チャームバングル","Charm Bangles","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16232"
"0","","チャームバングル","Charm Bangles","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16233"
"0","","チャームバングル","Charm Bangles","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16234"
"0","","チャームバングル","Charm Bangles","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16235"
"0","","チャームバングル","Charm Bangles","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16236"
"0","","ウィルムズグラスプ","Wyrm's Grasp","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16237"
"0","","ウィルムズグラスプ","Wyrm's Grasp","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16238"
"0","","ウィルムズグラスプ","Wyrm's Grasp","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16239"
"0","","ウィルムズグラスプ","Wyrm's Grasp","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16240"
"0","","ウィルムズグラスプ","Wyrm's Grasp","ui\00_message\common\item_name.gmd","\ui\gui_cmn.arc","gui_cmn.arc","16241"
