#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,"ってことで、隊としても本腰を入れて
ガーゴイルを駆除することになったんだ","ってことで、隊としても本腰を入れて
ガーゴイルを駆除することになったんだ",ui\00_message\quest\q60208000.gmd,\quest\q60208000.arc,q60208000.arc,4
0,,"お前も石にされないように
気を付けて行ってくれよ
あれは軽く見てるとイタい目に遭うからな――","お前も石にされないように
気を付けて行ってくれよ
あれは軽く見てるとイタい目に遭うからな――",ui\00_message\quest\q60208000.gmd,\quest\q60208000.arc,q60208000.arc,5
0,,"よう、ガーゴイルの駆除は進んでるか？
石化下しは忘れず持っていけよ！
石呪は見た目以上に厄介だからな――","よう、ガーゴイルの駆除は進んでるか？
石化下しは忘れず持っていけよ！
石呪は見た目以上に厄介だからな――",ui\00_message\quest\q60208000.gmd,\quest\q60208000.arc,q60208000.arc,6
0,,"おっ、ガーゴイルを駆除してきてくれたんだな！
ご苦労さん！","おっ、ガーゴイルを駆除してきてくれたんだな！
ご苦労さん！",ui\00_message\quest\q60208000.gmd,\quest\q60208000.arc,q60208000.arc,7
0,,"駆除してきてもらって早々に悪いが
実はあそこはガーゴイルを引き付けやすい環境に
なってるみたいなんだよなぁ
これまでも何度も駆除してるんだが――","駆除してきてもらって早々に悪いが
実はあそこはガーゴイルを引き付けやすい環境に
なってるみたいなんだよなぁ
これまでも何度も駆除してるんだが――",ui\00_message\quest\q60208000.gmd,\quest\q60208000.arc,q60208000.arc,8
0,,"今回はお前に駆除してきてもらったが
またすぐに別の群れが棲みつくだろう","今回はお前に駆除してきてもらったが
またすぐに別の群れが棲みつくだろう",ui\00_message\quest\q60208000.gmd,\quest\q60208000.arc,q60208000.arc,9
0,,"だが、隊としては根気強く
駆除を繰り返していく方針だ
お前も再びガーゴイルの群れを見かけることがあれば
駆除を心がけてくれ！","だが、隊としては根気強く
駆除を繰り返していく方針だ
お前も再びガーゴイルの群れを見かけることがあれば
駆除を心がけてくれ！",ui\00_message\quest\q60208000.gmd,\quest\q60208000.arc,q60208000.arc,10
0,,"おっ、もう行ってくれる気になったのか！
――いや、ほんとに大丈夫か？
もう少し時間をかけて覚悟を固めてもいいんだぞ","おっ、もう行ってくれる気になったのか！
――いや、ほんとに大丈夫か？
もう少し時間をかけて覚悟を固めてもいいんだぞ",ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,0
0,,"ま、お前が大丈夫っていうんなら
俺としてはありがたいこと
この上ないんだけどな！","ま、お前が大丈夫っていうんなら
俺としてはありがたいこと
この上ないんだけどな！",ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,1
0,,"念のためだ、もう一度説明しておくぞ
場所はおなじみの《罪人の修獄》だ
勝手に鍵が開いてた、あの墓場だよ","念のためだ、もう一度説明しておくぞ
場所はおなじみの《罪人の修獄》だ
勝手に鍵が開いてた、あの墓場だよ",ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,2
0,,"調査に行った隊士の話では
女の笑い声があちこちから聞こえてきたそうだ――
繰り返すが――誰も居るはずがない墓地で、だぞ！","調査に行った隊士の話では
女の笑い声があちこちから聞こえてきたそうだ――
繰り返すが――誰も居るはずがない墓地で、だぞ！",ui\00_message\quest\q60208001.gmd,\quest\q60208001.arc,q60208001.arc,3
