0,,"うっ――
――あ――あんたは？","うっ――
――あ――あんたは？",ui\00_message\quest\q20055007.gmd,\quest\q20055007.arc,q20055007.arc,27
0,,"覚者――そうか、母ちゃんが寄越したんだな
余計な事を――いや
あんたには感謝するよ
命を助けてくれたんだろ？　 ありがとな","覚者――そうか、母ちゃんが寄越したんだな
余計な事を――いや
あんたには感謝するよ
命を助けてくれたんだろ？　 ありがとな",ui\00_message\quest\q20055007.gmd,\quest\q20055007.arc,q20055007.arc,28
0,,"実は――母ちゃんの雇い主が最低な奴だって
噂では聞いていたからさ
一発ぶん殴ってやろうと思って
ここに呼び出したんだけど――","実は――母ちゃんの雇い主が最低な奴だって
噂では聞いていたからさ
一発ぶん殴ってやろうと思って
ここに呼び出したんだけど――",ui\00_message\quest\q20055007.gmd,\quest\q20055007.arc,q20055007.arc,29
0,,"魔物を見て奴は逃げ出し、俺は気絶したって訳さ
格好つかないよな――
あ、母ちゃんにこの事は黙っておいてくれよ
俺は何食わぬ顔して帰るからさ","魔物を見て奴は逃げ出し、俺は気絶したって訳さ
格好つかないよな――
あ、母ちゃんにこの事は黙っておいてくれよ
俺は何食わぬ顔して帰るからさ",ui\00_message\quest\q20055007.gmd,\quest\q20055007.arc,q20055007.arc,30
0,,"あんた、もしかして最近流行っている
”怪盗団”の噂を聞いてやって来たのかい？
見かけない顔だからねぇ、そうだと思ったよ","あんた、もしかして最近流行っている
”怪盗団”の噂を聞いてやって来たのかい？
見かけない顔だからねぇ、そうだと思ったよ",ui\00_message\quest\q20055007.gmd,\quest\q20055007.arc,q20055007.arc,31
0,,"なんでも、”悪い大人の心”を盗むとか何とか――
だったら、私の勤める農場の主人なんかを
おすすめしたいねぇ
あいつは口にしたくもない下衆野郎さ","なんでも、”悪い大人の心”を盗むとか何とか――
だったら、私の勤める農場の主人なんかを
おすすめしたいねぇ
あいつは口にしたくもない下衆野郎さ",ui\00_message\quest\q20055007.gmd,\quest\q20055007.arc,q20055007.arc,32
0,,"昨日も自分の失敗を私のせいに――おっと
あんたにこんな愚痴を言っても仕方ないねぇ
雇い主の嫌がらせより、もっと困った事があるんだよ","昨日も自分の失敗を私のせいに――おっと
あんたにこんな愚痴を言っても仕方ないねぇ
雇い主の嫌がらせより、もっと困った事があるんだよ",ui\00_message\quest\q20055007.gmd,\quest\q20055007.arc,q20055007.arc,33
0,,"うちの息子、ルキーノの姿が
昨日から見えないんだ――
《魔獣の巣穴》で見かけたって聞いたんだけど
もし良かったら、見て来てくれないかい？","うちの息子、ルキーノの姿が
昨日から見えないんだ――
《魔獣の巣穴》で見かけたって聞いたんだけど
もし良かったら、見て来てくれないかい？",ui\00_message\quest\q20055007.gmd,\quest\q20055007.arc,q20055007.arc,34
0,,"覚者さん、《魔獣の巣穴》へ行って
あの子を引っ張ってきてくれないかね
怪盗探しはもう止めると言っていたのに――
なんだってそんな所に行ったんだろうね？","覚者さん、《魔獣の巣穴》へ行って
あの子を引っ張ってきてくれないかね
怪盗探しはもう止めると言っていたのに――
なんだってそんな所に行ったんだろうね？",ui\00_message\quest\q20055007.gmd,\quest\q20055007.arc,q20055007.arc,35
0,,"覚者さま！　どうだった？
――あぁ、あの子生きてたんだね！
本当によかった――","覚者さま！　どうだった？
――あぁ、あの子生きてたんだね！
本当によかった――",ui\00_message\quest\q20055007.gmd,\quest\q20055007.arc,q20055007.arc,36
0,,"あぁそうだ、聞いておくれよ！
私の雇い主がさっき来てね――
「いつも頑張ってくれてありがとう」
だとさ！","あぁそうだ、聞いておくれよ！
私の雇い主がさっき来てね――
「いつも頑張ってくれてありがとう」
だとさ！",ui\00_message\quest\q20055007.gmd,\quest\q20055007.arc,q20055007.arc,37
