0,,"“メルゴダの深淵”まで
ズールの命を持って来いって",Bring the life of Zuhl to the Mergoda Abyss.,ui\00_message\event\st0201\ev075.gmd,\event\st0201\st0201ev075.arc,st0201ev075.arc,12
0,,"“竜王の指輪”――
その魔器の名を聞いたことがあるか？","Have you heard of the magic artifact known as the
Wyrmking's Ring?",ui\00_message\event\st0201\ev103.gmd,\event\st0201\st0201ev103.arc,st0201ev103.arc,1
0,,"指輪にかつて力を注がれた３つの地
“竜力の渦”と呼ばれる場所を","There are three places where the power was once
poured into the ring, called the ""Whirls of Dragon
Force.""",ui\00_message\event\st0201\ev103.gmd,\event\st0201\st0201ev103.arc,st0201ev103.arc,7
0,,あれは今、“ゲート”と呼ばれている,"It's called ""The Gate"" now.",ui\00_message\event\st0201\ev155.gmd,\event\st0201\st0201ev155.arc,st0201ev155.arc,4
0,,"その“ゲート”を通り、忌々しい侵食魔どもが
相も変わらず飛んでくる","Through that Gate, the detestable Infected
creatures continue to fly in without fail.",ui\00_message\event\st0201\ev155.gmd,\event\st0201\st0201ev155.arc,st0201ev155.arc,5
0,,"フィンダムの各族長の結託により
“精霊の地”の封印が解かれたようだ","The unification of the chieftains in Phindym
seems to have led to the release of the seal on
the ""Spirit Land"".",ui\00_message\event\st0201\ev170.gmd,\event\st0201\st0201ev170.arc,st0201ev170.arc,2
12,SPOT_NAME_,怨嗟の祠,Shrine of Resentment,ui\00_message\master\area11_spot_name.gmd,\ui\uGUIAreaMaster.arc,uGUIAreaMaster.arc,12
0,,"《竜の巣》へ行ったらどんなだったか
教えてくれよ！
戦果報告だけが楽しみなんだからよ！","If you go to 《Dragon's Nest》, let me know how it
was!
I'm looking forward to your war report!",ui\00_message\npc\base\n1036.gmd,\npc\n1036.arc,n1036.arc,0
0,,"《竜の巣》にゃ危険なドラゴンが
わんさかいるってんじゃねぇか
そんなとこに行きたいなんざ、モノ好きだねぇ","Is there a dangerous dragon nesting place called
""Dragon's Nest"" or something? Who would want to go
to a place like that, you must really love
adventure.",ui\00_message\npc\base\n1036.gmd,\npc\n1036.arc,n1036.arc,1
0,,"海はいい！！
粘る潮風、波音、そしてロマン！
命を賭ける甲斐もあるってもんだ","The ocean is good!
The persistent sea breeze, the sound of the
waves, and the romance!
It's worth risking your life for!",ui\00_message\npc\base\n1036.gmd,\npc\n1036.arc,n1036.arc,2
0,,"おう！　気張ってるか？
覚者さん","Oh!　Are you feeling feisty?
Master Arisen.",ui\00_message\npc\base\n1036.gmd,\npc\n1036.arc,n1036.arc,3
