#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex
0,,"灯りの準備は問題ないんで？
見通し悪ぃと何かと厄介ですよ",,ui\00_message\pawn\talk\stage\feature3001\persona07.gmd,\pw_talk\pt_feature3001_persona07.arc,pt_feature3001_persona07.arc,4
0,,あまり長居したい場所じゃないわね,,ui\00_message\pawn\talk\stage\feature3001\persona08.gmd,\pw_talk\pt_feature3001_persona08.arc,pt_feature3001_persona08.arc,0
0,,"マスター、注意してね
敵がどこから来るか分からないし",,ui\00_message\pawn\talk\stage\feature3001\persona08.gmd,\pw_talk\pt_feature3001_persona08.arc,pt_feature3001_persona08.arc,1
0,,"せっかくだし、見つけた素材やアイテムは
もらっておきましょう
神殿に帰ったら何かクラフトしますね",,ui\00_message\pawn\talk\stage\feature3001\persona08.gmd,\pw_talk\pt_feature3001_persona08.arc,pt_feature3001_persona08.arc,2
0,,"マスター、地下は迷いやすいから
目的の場所は地図で確認しながら
行きましょう",,ui\00_message\pawn\talk\stage\feature3001\persona08.gmd,\pw_talk\pt_feature3001_persona08.arc,pt_feature3001_persona08.arc,3
0,,"ランタン火種はまだあったかしら
暗いと視界が悪くなるわ",,ui\00_message\pawn\talk\stage\feature3001\persona08.gmd,\pw_talk\pt_feature3001_persona08.arc,pt_feature3001_persona08.arc,4
0,,ここはじめっとしていて、空気が重いですね,,ui\00_message\pawn\talk\stage\feature3002\persona01.gmd,\pw_talk\pt_feature3002_persona01.arc,pt_feature3002_persona01.arc,0
0,,何か使えるものがあるかもしれませんね,,ui\00_message\pawn\talk\stage\feature3002\persona01.gmd,\pw_talk\pt_feature3002_persona01.arc,pt_feature3002_persona01.arc,1
0,,"先が暗く見通しが悪いです
十分にご注意を",,ui\00_message\pawn\talk\stage\feature3002\persona01.gmd,\pw_talk\pt_feature3002_persona01.arc,pt_feature3002_persona01.arc,2
0,,ランタン火種の予備はあったでしょうか――,,ui\00_message\pawn\talk\stage\feature3002\persona01.gmd,\pw_talk\pt_feature3002_persona01.arc,pt_feature3002_persona01.arc,3
0,,"大丈夫です
こんなとこ、こ、怖いわけじゃ――",,ui\00_message\pawn\talk\stage\feature3002\persona02.gmd,\pw_talk\pt_feature3002_persona02.arc,pt_feature3002_persona02.arc,0
0,,何か役に立ちそうなものがあれば――,,ui\00_message\pawn\talk\stage\feature3002\persona02.gmd,\pw_talk\pt_feature3002_persona02.arc,pt_feature3002_persona02.arc,1
0,,"き、気を付けていきましょう
何が出るか――！",,ui\00_message\pawn\talk\stage\feature3002\persona02.gmd,\pw_talk\pt_feature3002_persona02.arc,pt_feature3002_persona02.arc,2
0,,"薄暗いですね
ランタン火種、まだありました――？",,ui\00_message\pawn\talk\stage\feature3002\persona02.gmd,\pw_talk\pt_feature3002_persona02.arc,pt_feature3002_persona02.arc,3
0,,"はやく探索を済ませて
外の空気を吸いましょう！",,ui\00_message\pawn\talk\stage\feature3002\persona03.gmd,\pw_talk\pt_feature3002_persona03.arc,pt_feature3002_persona03.arc,0
0,,"周りを探せばアイテムや使えるものが
落ちてるかもしれませんよ！",,ui\00_message\pawn\talk\stage\feature3002\persona03.gmd,\pw_talk\pt_feature3002_persona03.arc,pt_feature3002_persona03.arc,1
0,,"どこから何が来ようが
ねじ伏せるのみっ！",,ui\00_message\pawn\talk\stage\feature3002\persona03.gmd,\pw_talk\pt_feature3002_persona03.arc,pt_feature3002_persona03.arc,2
