0,,え、見つかった！？,"Wait, it was found!?",ui\00_message\quest\q10310100.gmd,\quest\q10310100.arc,q10310100.arc,91
0,,違う扉が開いたようだ――敵の気配がする！,違う扉が開いたようだ――敵の気配がする！,ui\00_message\examine_message\quest\quest_examine_q10310100.gmd,\quest\q10310100.arc,q10310100.arc,0
0,,敵に気づかれ、増援が現れた！,敵に気づかれ、増援が現れた！,ui\00_message\examine_message\quest\quest_examine_q10310100.gmd,\quest\q10310100.arc,q10310100.arc,1
0,q10310100_00_31,第一防衛区画に潜入せよ,Infiltrate the First Defense Area,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,0
1,q10310100_00_31,"魔軍に占領された展望城城外の
《第一防衛区画》に潜入し
敵戦力の状況を調べる","魔軍に占領された展望城城外の
《第一防衛区画》に潜入し
敵戦力の状況を調べる",ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,1
2,q10310100_00_3924,準備が出来たらソネルに話しかける,When ready speak with Sonel,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,2
3,q10310100_00_3925,ソネルに話しかける,Speak with Sonel,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,3
4,q10310100_00_3926,ソネルの様子をうかがう,ソネルの様子をうかがう,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,4
5,q10310100_00_3927,見張りに注意して指定の場所へ移動する,見張りに注意して指定の場所へ移動する,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,5
6,q10310100_00_3928,エモート【手招き】でソネルに合図を送る,"Send a signal to Sonel with emote ""Beckon""",ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,6
7,q10310100_00_3929,見張りを殲滅する,Defeat the guards,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,7
8,q10310100_00_3930,ソネルと合流する,Rendezvous with Sonel,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,8
9,q10310100_00_3931,ソネルと合流する,Rendezvous with Sonel,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,9
10,q10310100_00_3932,ソネルと作戦の相談をする,ソネルと作戦の相談をする,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,10
11,q10310100_00_3933,未使用,Unused,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,11
12,q10310100_00_3934,未使用,Unused,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,12
13,q10310100_00_3935,ソネルに話しかける,Speak with Sonel,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,13
14,q10310100_00_3936,1-3 ソネルに話しかけて展望城へ戻る（仮）,1-3 ソネルに話しかけて展望城へ戻る（仮）,ui\00_message\quest_info\q10310100_00.gmd,\quest\q10310100.arc,q10310100.arc,14
