"246","ABILITY_INFO_197","風圧の影響を受けなくなる","You are unaffected by wind pressure.","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","246"
"247","ABILITY_INFO_213","スタミナの回復速度が上昇する
<COL ffdc78>LV UP毎にスタミナ回復速度がより上昇</COL>","Increases stamina recovery rate.
<COL ffdc78>LV UP: Further increases stamina recovery rate.</COL>","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","247"
"248","ABILITY_INFO_246","男性へのプレゼント譲渡時に
好感度がより上昇する","When giving gifts to men, their favorability will increase even more.","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","248"
"249","ABILITY_INFO_426","侵食核に与えるダメージ量が増加する
<COL ffdc78>LV UP毎にダメージがより増加</COL>","Increases damage to infected enemy's growths.
<COL ffdc78>LV UP: Further increases damage.</COL>","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","249"
"250","ABILITY_INFO_477","補助魔法を発動し魔力消費した際に少し魔力が残る
<COL ffdc78>LV UP毎に魔力残量がより増加</COL>","When using support magick, a tiny portion of
magick gauge remains.
<COL ffdc78>LV UP: Further increases the remaining portion.</COL>","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","250"
"251","ABILITY_INFO_21","物攻低下の状態異常への耐性が増加する
<COL ffdc78>LV UP毎に耐性がより増加</COL>","Increases resistance to Physical
Attack Down.
<COL ffdc78>LV UP: Further increases resistance.</COL>","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","251"
"252","ABILITY_INFO_38","弓を最適距離で当てた際の攻撃力が増加する
<COL ffdc78>LV UP毎に矢の威力がより増加</COL>","Increases attack power when standing at the
perfect range.
<COL ffdc78>LV UP: Further increases attack power.</COL>","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","252"
"253","ABILITY_INFO_53","ヒールオーラ展開時に敵から注目
されにくくなる
<COL ffdc78>LV UP毎に敵からの注目度がさらに減少</COL>","Reduces threat generation from deploying Heal
Aura.
<COL ffdc78>LV UP: Further reduces threat generation.</COL>","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","253"
"254","ABILITY_INFO_98","最大体力が増加する
<COL ffdc78>LV UP毎に最大体力がより増加</COL>","Increases maximum health.
<COL ffdc78>LV UP: Further increases maximum health.</COL>","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","254"
"255","ABILITY_INFO_118","高所からのジャンプ降下攻撃の威力が増加する
<COL ffdc78>LV UP毎に威力がより増加</COL>","Increases the damage of drop attacks
performed from high places.
<COL ffdc78>LV UP: Further increases damage.</COL>","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","255"
"256","ABILITY_INFO_141","魔法詠唱中にスタミナが回復する
<COL ffdc78>LV UP毎にスタミナ回復量がより増加</COL>","Recovers stamina while casting spells.
<COL ffdc78>LV UP: Further increases stamina recovery.</COL>","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","256"
"257","ABILITY_INFO_152","魔眼による捕捉時間２周目満了時、
強力な魔矢を放てるジャストタイミングが
延長され、成功率が上がる
<COL ffdc78>LV UP毎に受付時間がより延長</COL>","Increases the just timing window of tracking
targets a second time with Magic Eye to
fire a stronger magic arrow.
<COL ffdc78>LV UP: Further increases timing window.</COL>","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","257"
"258","ABILITY_INFO_190","耐久力が上昇し、体勢を崩されにくくなる
<COL ffdc78>LV UP毎に耐久力がより増加</COL>","Increases poise, making you harder to stagger.
<COL ffdc78>LV UP: Further increases poise.</COL>","ui\00_message\skill\ability_info.gmd","\ui\uGUICharacter.arc","uGUICharacter.arc","258"
