"5","q60300500_00_3211","第二試練の場所へ向かう","Head to the location of the second test","ui\00_message\quest_info\q60300500_00.gmd","\quest\q60300500.arc","q60300500.arc","5"
"6","q60300500_00_3212","第二試練の敵を倒す","Defeat the enemy at the second test","ui\00_message\quest_info\q60300500_00.gmd","\quest\q60300500.arc","q60300500.arc","6"
"7","q60300500_00_3213","最終試練の場所へ向かう","Head to the location of the final test","ui\00_message\quest_info\q60300500_00.gmd","\quest\q60300500.arc","q60300500.arc","7"
"8","q60300500_00_3214","最終試練の敵を倒す","Defeat the enemy at the final test","ui\00_message\quest_info\q60300500_00.gmd","\quest\q60300500.arc","q60300500.arc","8"
"9","q60300500_00_3215","<STG 443>の<NPC 2800>に報告する","Report to <NPC 2800> in <STG 443>","ui\00_message\quest_info\q60300500_00.gmd","\quest\q60300500.arc","q60300500.arc","9"
"10","q60300500_00_3216","<STG 201>の<NPC 1>に新たな戦技解放をしてもらう","<STG 201>の<NPC 1>に新たな戦技解放をしてもらう","ui\00_message\quest_info\q60300500_00.gmd","\quest\q60300500.arc","q60300500.arc","10"
"0","q60300520_00_250","戦技の継承　火竜求道試練２","Skill Augmentation: Fire Dragon Trial II","ui\00_message\quest_info\q60300520_00.gmd","\quest\q60300520.arc","q60300520.arc","0"
"1","q60300520_00_250","新たな戦技の継承を
解放するための試練に挑む","新たな戦技の継承を
解放するための試練に挑む","ui\00_message\quest_info\q60300520_00.gmd","\quest\q60300520.arc","q60300520.arc","1"
"2","q60300520_00_3001","試練場所である<STG 1061>に向かう","Head to 試練場所である<STG 1061>","ui\00_message\quest_info\q60300520_00.gmd","\quest\q60300520.arc","q60300520.arc","2"
"3","q60300520_00_3002","第一試練の場所へ向かう","Head to the location of the first test","ui\00_message\quest_info\q60300520_00.gmd","\quest\q60300520.arc","q60300520.arc","3"
"4","q60300520_00_3217","第一試練の敵を倒す","Defeat the enemy at the first test","ui\00_message\quest_info\q60300520_00.gmd","\quest\q60300520.arc","q60300520.arc","4"
"5","q60300520_00_3218","第二試練の場所へ向かう","Head to the location of the second test","ui\00_message\quest_info\q60300520_00.gmd","\quest\q60300520.arc","q60300520.arc","5"
"6","q60300520_00_3219","第二試練の敵を倒す","Defeat the enemy at the second test","ui\00_message\quest_info\q60300520_00.gmd","\quest\q60300520.arc","q60300520.arc","6"
"7","q60300520_00_3220","最終試練の場所へ向かう","Head to the location of the final test","ui\00_message\quest_info\q60300520_00.gmd","\quest\q60300520.arc","q60300520.arc","7"
"8","q60300520_00_3221","最終試練の敵を倒す","Defeat the enemy at the final test","ui\00_message\quest_info\q60300520_00.gmd","\quest\q60300520.arc","q60300520.arc","8"
"9","q60300520_00_3222","<STG 451>の<NPC 3050>に報告する","Report to <NPC 3050> in <STG 451>","ui\00_message\quest_info\q60300520_00.gmd","\quest\q60300520.arc","q60300520.arc","9"
"10","q60300520_00_3223","<STG 201>の<NPC 1>に新たな戦技解放をしてもらう","<STG 201>の<NPC 1>に新たな戦技解放をしてもらう","ui\00_message\quest_info\q60300520_00.gmd","\quest\q60300520.arc","q60300520.arc","10"
"0","","覚者さま――
戦技の継承をさらなる高みに
解放するには――
この大陸の火竜様の竜力が必要となります","覚者さま――
戦技の継承をさらなる高みに
解放するには――
この大陸の火竜様の竜力が必要となります","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","0"
"0","","ですが、この大陸の竜力を
覚者さまが受け入れ得る力をお持ちかどうか
それを計るための試練を受けて頂きます","ですが、この大陸の竜力を
覚者さまが受け入れ得る力をお持ちかどうか
それを計るための試練を受けて頂きます","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","1"
"0","","すでに――
試練の見届け人に相応しい人物に
話しは通しております
現地へ向かい見届け人と合流下さいませ","すでに――
試練の見届け人に相応しい人物に
話しは通しております
現地へ向かい見届け人と合流下さいませ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","2"
"0","","それと試練の場所についてですが
エリアランクなど――
既に解放されている場所かどうかの
ご確認をお願いします","それと試練の場所についてですが
エリアランクなど――
既に解放されている場所かどうかの
ご確認をお願いします","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","3"
"0","","すでに――
試練の見届け人に相応しい人物に
話しは通しております
現地へ向かい見届け人と合流下さいませ","すでに――
試練の見届け人に相応しい人物に
話しは通しております
現地へ向かい見届け人と合流下さいませ","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","4"
"0","","それと試練の場所についてですが
エリアランクなど――
既に解放されている場所かどうかの
ご確認をお願いします","それと試練の場所についてですが
エリアランクなど――
既に解放されている場所かどうかの
ご確認をお願いします","ui\00_message\quest\q60300520.gmd","\quest\q60300520.arc","q60300520.arc","5"
