4,q90000207_00_1640,3種の宝石を探し出し、討伐せよ,Find and defeat the three types of gems.,ui\00_message\quest_info\q90000207_00.gmd,\quest\q90000207.arc,q90000207.arc,4
0,q90000400_00_55,太古の強者,Ancient Warrior,ui\00_message\quest_info\q90000400_00.gmd,\quest\q90000400.arc,q90000400.arc,0
1,q90000400_00_55,,,ui\00_message\quest_info\q90000400_00.gmd,\quest\q90000400.arc,q90000400.arc,1
2,q90000400_00_55,,,ui\00_message\quest_info\q90000400_00.gmd,\quest\q90000400.arc,q90000400.arc,2
3,q90000400_00_55,,,ui\00_message\quest_info\q90000400_00.gmd,\quest\q90000400.arc,q90000400.arc,3
0,q90000401_00_56,太古の強者,Ancient Warrior,ui\00_message\quest_info\q90000401_00.gmd,\quest\q90000401.arc,q90000401.arc,0
1,q90000401_00_56,,,ui\00_message\quest_info\q90000401_00.gmd,\quest\q90000401.arc,q90000401.arc,1
2,q90000401_00_56,,,ui\00_message\quest_info\q90000401_00.gmd,\quest\q90000401.arc,q90000401.arc,2
3,q90000401_00_56,"""古の祭祀場にて闇の者たちの波動を感知している
騎士団はこれに対処すべく覚者らの協力を求める""","""The Knight's Order has detected waves of
darkness from the Ancient Place of Rituals, and
they seek the assistance of the Arisen to deal
with it""",ui\00_message\quest_info\q90000401_00.gmd,\quest\q90000401.arc,q90000401.arc,3
0,q90000402_00_57,太古の強者,Ancient Warrior,ui\00_message\quest_info\q90000402_00.gmd,\quest\q90000402.arc,q90000402.arc,0
1,q90000402_00_57,"古の祭祀場にて魔物出現への対処を開始している
騎士団討伐隊も死力を尽くしてこれに当たっているが
強力な魔物らを制するには覚者の協力が不可欠だ
また深部からは強力な個体のものと思われる波動が
検知されている
今は少しでも多くの応援が欲しい","At the ancient place of rituals, measures to deal
with the appearance of monsters have begun. The
knight squad is also doing their best to face
this, but the cooperation of the Arisen is
essential to overcome powerful monsters.
Furthermore, powerful waves, presumed to be from
individual creatures in the depths, have been
detected. We need as much support as possible
right now.",ui\00_message\quest_info\q90000402_00.gmd,\quest\q90000402.arc,q90000402.arc,1
3,q90000402_00_57,太古の強者《最終報酬》,Ancient Warrior (Final Reward),ui\00_message\quest_info\q90000402_00.gmd,\quest\q90000402.arc,q90000402.arc,3
4,q90000402_00_57,"古の祭祀場で魔物出現に対処中である
強力な敵個体も検知した、騎士団員は
総力を尽くしているが覚者の協力が必須だ","We're currently dealing with the appearance of
monsters at the Ancient Place of Rituals.
We've also detected powerful enemy individuals;
the knights are giving their all, but the
cooperation of the Arisen is essential.",ui\00_message\quest_info\q90000402_00.gmd,\quest\q90000402.arc,q90000402.arc,4
