0,,"――ううん！
大丈夫だよね、きっと
あんなに強いんだし！","――ううん！
大丈夫だよね、きっと
あんなに強いんだし！",ui\00_message\quest\q10320701.gmd,\quest\q10320701.arc,q10320701.arc,65
0,,"覚者さん、作戦開始なんですよね？
応援してます、あたし――
みんなが帰るまで、ここで待ってるから！","覚者さん、作戦開始なんですよね？
応援してます、あたし――
みんなが帰るまで、ここで待ってるから！",ui\00_message\quest\q10320701.gmd,\quest\q10320701.arc,q10320701.arc,66
0,,"クク――
その死体が、俺だとでも思ったか？","クク――
その死体が、俺だとでも思ったか？",ui\00_message\quest\q10320701.gmd,\quest\q10320701.arc,q10320701.arc,67
0,,"この屋敷は、昔よく遊びに来ていた――
牢屋の鍵開けは久しぶりだが
まだ腕は鈍っていなかったみたいだな","この屋敷は、昔よく遊びに来ていた――
牢屋の鍵開けは久しぶりだが
まだ腕は鈍っていなかったみたいだな",ui\00_message\quest\q10320701.gmd,\quest\q10320701.arc,q10320701.arc,68
0,,"――助けに来てくれたんだろう？
ありがとな","――助けに来てくれたんだろう？
ありがとな",ui\00_message\quest\q10320701.gmd,\quest\q10320701.arc,q10320701.arc,69
0,,"どうやら、そこにある看守の間に
屋敷の鍵番もいるらしいんだが
一人で挑むには荷が重くてな――
だが、俺たち二人なら恐れるに足らん","どうやら、そこにある看守の間に
屋敷の鍵番もいるらしいんだが
一人で挑むには荷が重くてな――
だが、俺たち二人なら恐れるに足らん",ui\00_message\quest\q10320701.gmd,\quest\q10320701.arc,q10320701.arc,70
0,,"<NPC 681>の待つ執務室には
鍵がかかっているはずだ
鍵番から鍵を奪えば、開けられるようになるだろう","<NPC 681>の待つ執務室には
鍵がかかっているはずだ
鍵番から鍵を奪えば、開けられるようになるだろう",ui\00_message\quest\q10320701.gmd,\quest\q10320701.arc,q10320701.arc,71
0,,"その足音――覚者か？
おい、こっちだ！","その足音――覚者か？
おい、こっちだ！",ui\00_message\quest\q10320701.gmd,\quest\q10320701.arc,q10320701.arc,72
0,,"メフィスは牢屋にいるらしいぞ！
　　　　あんたは、メフィスを探してくれ！","メフィスは牢屋にいるらしいぞ！
　　　　あんたは、メフィスを探してくれ！",ui\00_message\quest\q10320701.gmd,\quest\q10320701.arc,q10320701.arc,73
0,,"よし、屋敷の鍵は手に入れたようだな
これで執務室へ入れるはず――
――そこに、<NPC 681>もいるはずだ","よし、屋敷の鍵は手に入れたようだな
これで執務室へ入れるはず――
――そこに、<NPC 681>もいるはずだ",ui\00_message\quest\q10320701.gmd,\quest\q10320701.arc,q10320701.arc,74
0,,――――,――――,ui\00_message\quest\q10320701.gmd,\quest\q10320701.arc,q10320701.arc,75
