old,new
よう、砦はどうだった？,Hail! How's the fortress?
"まあ、レオたちも戻っているわけだから
なんとかなったんだろうな","Well, Leo and the others returned,
so things must've went well enough, aye?"
さて――俺の名はファビオだ,Well then! The name's Fabio.
"ここに立って、初陣を生きのびた覚者に
声をかけている","I stand here to greet the Arisen
what managed to survive their first battle."
ほら、あそこ――白竜が眠る《謁見の間》だ,"See those audience chambers there?
'Tis where the White Dragon rests."
"外から戻ったらまずあそこへ
顔を出した方がいい","You'd do well to make an audience
yourself, if given the chance."
行かなくてもいいが、行った方がいいぞ,
"《謁見の間》の雰囲気は独特だからな
時々行っておかないと顔を出しづらくなる","The chambers have quite the... atmosphere, see?
It takes a while to get used to."
――この俺みたいによ,... Much like meself!
"じゃあ、行ってこい
また、あとでな","Well, off you go then!
We'll talk afterwards."
