old,new
ご機嫌麗しゅう。誉れ高き覚者殿,
この冒険の鍵を握るのは、貴方かも知れません,
ご一緒できるとは無上の喜び――,
あぁ、素晴らしい冒険の予感がいたします,
ご活躍に花を添えてご覧にいれましょう,
この出会いに乾杯！,
おや？　どなたかおいでのようですね,
ふ、当然の結果でしょう,
この達成感、素晴らしい！,
語り継ぐにふさわしいご活躍です,
残念。またの機会に――,
ふ。また強くなってしまったのか,
私に限界を教えてほしい！,
あぁ！　磨いた力を披露したい！,
ふふ。どんな英雄譚も小さな一歩から,
もちろん、どこまでもお伴しますよ,
敵のお出ましですか,
おっと、何かいますね,
あれは敵の影――ふふ！,
嫌いではない。強敵と相対する高揚感――！,
逃げるか、立ち向かうか。実に悩ましい――,
あなたに感謝を！,
なっ！？　しまった！,
助けを――求めるなど――,
ここまでか――不本意だ――！,
私と――したことが――！,
血を見たくはないのですが,
軽くあしらってやりましょう,
なかなか絵になる戦いでした,
ふふ！　お役に立てたなら何より,
勝利の美酒を、竜と貴方に,
さぁ、こちらへ。今ですよ！　,
少々傷を負ってしまいましたね,
厳しいわけではありません。まだ――,
くっ――私の体に傷が――！,
人目を気にしている場合ではないか――,
この状況、どうにかしなければ！,
そんな！　ど、どうして――！！,
さぁ！　受けてみるがいい,
これで元通りですよ！,
ふ！　ここは私の出番ですね！,
戦いやすくいたしましょう！,
届きませんね！,
ふふっ！,
これはどうです！,
踊りなさい！,
高く飛ばして差し上げましょう！,
従いますよ,
ええ、解っていますとも,
おっと、それはできませんね,
次なる冒険譚のご準備ですか？,
おや、覚者殿、出発でしょうか？,
覚者殿、ご用があれば何なりと,
覚者殿にも、そして私にも、休息は必要です,
疲れも溜まっているでしょう、ゆっくりとお休みなさいませ,
良き夢を、覚者殿,
こうして住環境にこだわってみるのも良いですね,
ううーん、模様替え、素晴らしいセンスですね,
覚者殿、エリア探索より舞い戻りました,
今回のエリア探索――我が才能が恐ろしい！,
ほう――実に興味深い――,
覚者殿、お庭に小さなお客様がいらしてます,
料理まで完璧とは――我が才能が恐ろしい！,
これはもしや、わざわざ私のために――？,
"ご期待に添う――
いえ、それ以上の成果をお約束しましょう",
このスキルで、より鮮やかな戦いを,
なるほど、このスキルで大活躍すれば良いのですね,
休息も戦う者の務め、いまは英気を養いましょう,
私の出番でしょうか？ 本日はどちらの舞台に？,
はい、どうしました？,
えっ、私の美しさについてですか？,
私の才能の全ては、いつも貴方様のために――,
この前クラフトのアシスタントで我が才を披露してきました,
この間、別の覚者様との冒険で我ながら中々の働きをしましたよ,
先日、別の覚者様がこの装備を褒めていらっしゃいました、ふふふ,
覚者殿、今日は私から戦技のご提案を致しましょう,
"覚者殿、貴方様にお仕えしてきたおかげで
私の意思疎通力が上がりました！",
覚者殿、今日は私から髪型のご提案があります！,
"新しい家財を入手されたのですね！
これぞ覚者殿の誉にふさわしい！",
貴方様のお戻りで、やっと人心地着くというもの,
無事のご帰還、何よりです,
お戻りになるのを、今か今かとお待ちしていたのです！,
お疲れ様でした、少し休まれては？,
ここへ帰ってくる瞬間も楽しみの一つです,
ふぅ、小休憩といたしましょう,
ここは正にオアシス、といったところですね,
"クエストボードの確認はしましたか？
貴方様の名を上げるチャンスです",
おっと、そちらに伺いましょう,
慌てずにお待ちを,
さ、大丈夫ですよ,
お気をつけて覚者殿,
怒っていますね、見苦しいことです,
ずいぶんと興奮していますね、ご注意を覚者殿,
おや、先ほどの威勢はどこへやら,
もうダウンですか？ さあ攻撃に移りましょう！,
しょうがない、揺さぶって差し上げましょう！,
弱点、見抜けないとでも？,
弱点を叩かれても我慢できるかな？,
私が支援しましょう、この技で！,
敵の状態を変えてやりましょう、この技で！,
お待たせしました、属性を付与します！,
力を乗せたこの攻撃、我慢できるといいですが,
ふははは、この技を受け、せめて美しく散るといい,
<COL B6FF01>《特技》限界を超えし力、お見せしましょう！</COL>,<COL B6FF01>[Special Skill] 限界を超えし力、お見せしましょう！</COL>
<COL B6FF01>《特技》全力を出してあげましょう――いきますよ！</COL>,<COL B6FF01>[Special Skill] 全力を出してあげましょう――いきますよ！</COL>
<COL B6FF01>《特技》さあ――これで終わりにしましょうか</COL>,<COL B6FF01>[Special Skill] さあ――これで終わりにしましょうか</COL>
<COL B6FF01>《剛化》この攻撃、その身に焼き付けるといい！</COL>,<COL B6FF01>[Harden] この攻撃、その身に焼き付けるといい！</COL>
<COL B6FF01>《剛化》己の無力さを知るといい！</COL>,<COL B6FF01>[Harden] 己の無力さを知るといい！</COL>
<COL B6FF01>《重化》あなたは地面を舐めていなさい！</COL>,<COL B6FF01>[Heavy] あなたは地面を舐めていなさい！</COL>
<COL B6FF01>《重化》いつまで立っていられますかね？</COL>,<COL B6FF01>[Heavy] いつまで立っていられますかね？</COL>
<COL B6FF01>《癒活》私たちの戦いに癒しの加護を！</COL>,<COL B6FF01>[Restoration] 私たちの戦いに癒しの加護を！</COL>
<COL B6FF01>《癒活》苦しさを越える喜び――私にお任せを！</COL>,<COL B6FF01>[Restoration] 苦しさを越える喜び――私にお任せを！</COL>
<COL B6FF01>《柔化》今から、あなたの能力を――下げます！</COL>,<COL B6FF01>[Weaken] 今から、あなたの能力を――下げます！</COL>
<COL B6FF01>《柔化》そこの敵から、弱らせてみましょうか</COL>,<COL B6FF01>[Weaken] そこの敵から、弱らせてみましょうか</COL>
<COL B6FF01>《集中》大いなる力よ、我らに勝利を</COL>,<COL B6FF01>[Concentration] 大いなる力よ、我らに勝利を</COL>
<COL B6FF01>《集中》詠唱に集中するので、邪魔なさらぬように</COL>,<COL B6FF01>[Concentration] 詠唱に集中するので、邪魔なさらぬように</COL>
<COL B6FF01>《無恐》つまらない攻め方では、まるで効きませんよ</COL>,<COL B6FF01>[Fearless] つまらない攻め方では、まるで効きませんよ</COL>
<COL B6FF01>《無恐》さぁ、傷をつけてみることですね――可能ならですが</COL>,<COL B6FF01>[Fearless] さぁ、傷をつけてみることですね――可能ならですが</COL>
<COL B6FF01>《集視》勇猛なる私の背を、しかとその目に！</COL>,<COL B6FF01>[Attraction] 勇猛なる私の背を、しかとその目に！</COL>
"<COL B6FF01>《集視》いいでしょう、
しばらくはおとり役をこなしますよ</COL>",
<COL B6FF01>《守護》守りは完璧です、怒涛の攻撃を！</COL>,<COL B6FF01>[Protection] 守りは完璧です、怒涛の攻撃を！</COL>
<COL B6FF01>《守護》敵の攻撃に打ち勝つ守りを！</COL>,<COL B6FF01>[Protection] 敵の攻撃に打ち勝つ守りを！</COL>
<COL B6FF01>《蘇生》覚者殿、貴方をお守りするのはこの私</COL>,<COL B6FF01>[Resurrection] 覚者殿、貴方をお守りするのはこの私</COL>
"新しい特技が降ってきました
閃きというものですね",
雇われし仲間の特技、私も身に付けましたよ,
"おや、
この辺りにジョブ修練敵がいるようですね",
すぐそこに修練敵がいますよ,
"修練達成ですか、ジョブマスターに
報告に行かねばなりませんね",
"この感じは――貴重な宝、私の読みに
間違いはありません",
この付近、探せば希少な宝があるでしょう,
"覚者殿も感じてらっしゃるでしょう
この辺り、何かありますね",
匂いますね――少し辺りを調べてみては？,
ご覧ください、珍しき敵がいますよ,
"これはこれは、
珍しい敵が出迎えてくれましたね",
これは？　私が預かっておきましょう,
"聡明なる我が主殿、
戦術育成にて教えを請いたいですね",
これはこれは、お噂はかねがね――,
我が主と親しきお方、歓迎いたしますとも,
もちろんです,
そういたしましょう,
回復いたしましょう,
甘い甘い――,
当たるとでも？,
炎がお嫌いなようで,
氷がお嫌いなようで,
雷がお嫌いなようで,
聖がお嫌いなようで,
闇がお嫌いなようで,
"不気味な島にあっても、
主従の輝きは変わりません",
"覚者殿のお望みのものを
探しにまいりましょう",
"覚者殿、私の能力をより完全なものと
するために、今日は特別なお願いがあります",
"覚者殿、お喜びください
あなたのための私の力が、
完全なものとなりました",
"さあ覚者殿、冒険へ出ようではありませんか
この手にも力がみなぎっています",
