key,old,new,format
SPOT_NAME_,ダウ渓谷,Dowe Valley,{'proper': True}
SPOT_NAME_,ジンゲン,Jingen,{'proper': True}
SPOT_NAME_,渓谷の一軒家,Lone House in the Valley,
SPOT_NAME_,ドリード監視塔,Dreed Watchtower,
SPOT_NAME_,白砂河原,White Sands Riverbank,
SPOT_NAME_,風鳴り洞窟,Howling Wind Cave,
SPOT_NAME_,カタコンベ,Catacombs,
SPOT_NAME_,歌姫の崖座,The Songstress' Cliff Perch,"{'new': ""Songstress' Cliff Perch""}"
SPOT_NAME_,石像立つ木陰,Bowered Stone Statues,
SPOT_NAME_,廃墟の食糧庫,Supply Store Ruins,
SPOT_NAME_,掘削中の井戸,Partly-Dug Well,
SPOT_NAME_,崩れかけたワイン庫,Wine Cellar Ruins,
SPOT_NAME_,閉ざされた古井戸,Sealed Old Well,
SPOT_NAME_,旧騎士団詰め所,Knights' Old Guardhouse,
SPOT_NAME_,断崖の坑道,Cliff Tunnels,
SPOT_NAME_,渓谷の小堂,Valley Chapel,
SPOT_NAME_,ドリード城,Dreed Castle,{'proper': True}
SPOT_NAME_,ドリード水路跡,Dreed Waterway Ruins,
SPOT_NAME_,棄てられた地下道,Abandoned Underground Passage,
SPOT_NAME_,騎士団補給所跡,Knights' Depot Ruins,
SPOT_NAME_,ドリード連絡路,Dreed Connecting Passage,
SPOT_NAME_,見捨てられた井戸,Forsaken Well,
