key,old,new,format
SPOT_NAME_,ハイデル平原,Hidell Plains,{'proper': True}
SPOT_NAME_,白竜神殿レーゼ,The White Dragon Temple,{'new': 'White Dragon Temple'}
SPOT_NAME_,テル,Tel,{'proper': True}
SPOT_NAME_,南ハイデル大橋,South Hidell Bridge,
SPOT_NAME_,鬼鳴き橋,Roaring Demon Bridge,
SPOT_NAME_,ハイデル地下霊廟,Hidell Catacombs,
SPOT_NAME_,開かずの路,Blocked Passage,
SPOT_NAME_,血すすぎ河原,Bloodwater Bank,
SPOT_NAME_,黒狼団のアジト,The Black Wolves' Hideout,"{'new': ""Black Wolves' Hideout""}"
SPOT_NAME_,ハイデル地下霊廟　深部,Hidell Catacombs Depths,
SPOT_NAME_,ハイデル地下霊廟　最深部,Hidell Catacombs Innermost Depths,
SPOT_NAME_,刃擦れの細道,Blade Scarred Path,
SPOT_NAME_,修練の祠,Training Chapel,
SPOT_NAME_,廃屋の地下室,Abandoned House Cellar,
SPOT_NAME_,狩人の抜け穴,Hunters' Secret Passage,
SPOT_NAME_,テルの枯れ井戸,Tel's Withered Well,{'proper': True}
SPOT_NAME_,ハイデル街道の枯れ井戸,Abandoned Well on Hidell Road,
SPOT_NAME_,死者の小窟,Small Cave Tombs,
SPOT_NAME_,平原の廃墟地下室,Plains Abandoned House Cellar,
SPOT_NAME_,アーク,The Ark,{'new': 'Ark'}
SPOT_NAME_,アーク　裏層,The Ark's Lower Level,"{'new': ""Ark's Lower Level""}"
