key,old,new,format
SPOT_NAME_,ボルド鉱山,Volden Mines,{'proper': True}
SPOT_NAME_,キノザ,Kinoza,{'proper': True}
SPOT_NAME_,キノザ鉱泉,Kinoza Mineral Springs,{'proper': True}
SPOT_NAME_,ホボリック洞穴,Hobolic Cave,
SPOT_NAME_,南壁のひび,Southern Wall Fissure,
SPOT_NAME_,ボルド大坑道,Volden Large Tunnels,
SPOT_NAME_,山腹の野戦場,Mountainside Battlefield,
SPOT_NAME_,盗賊の隠れ家,Bandit Hideaway,
SPOT_NAME_,巨鷲の宝物溜め,The Giant Eagle's Treasure Hoard,"{'new': ""Giant Eagle's Treasure Hoard""}"
SPOT_NAME_,鉱山の大踊り場,Mines' Large Landing,
SPOT_NAME_,キノザ治水路,Kinoza Flood Control Channel,
SPOT_NAME_,ボルド小坑道,Volden Narrow Tunnels,
SPOT_NAME_,悪鬼の岩窟,Fiend's Cavern,
SPOT_NAME_,採掘師の隠れ道,Miners' Secret Route,
SPOT_NAME_,山頂の小堂,Summit Chapel,
SPOT_NAME_,灼熱の封鎖道,Scorching Blocked Passage,
