key,old,new,format
SPOT_NAME_,メガドシス高地,Megadosys Plateau,
SPOT_NAME_,メガドシスの記憶,Memory of Megadosys,
SPOT_NAME_,エリ警備塔,Eli Guard Tower,{'proper': True}
SPOT_NAME_,高地のあばら屋,Plateau Shack,
SPOT_NAME_,城塞都市メガド 居住層,Fortress City Megado: Residential Level,
SPOT_NAME_,忌み標の領域,,
SPOT_NAME_,火垂れ山の穿ち石,,
SPOT_NAME_,幽縁ヶ浜,,
SPOT_NAME_,慈恵の斎場,,
SPOT_NAME_,魔軍出撃待機所,Demon Army Standby Spot,
SPOT_NAME_,虜囚尋問牢,Captive Interrogation Prison,
SPOT_NAME_,隠匿の王間,,
SPOT_NAME_,ニルビリス大橋関所,Nilviris Bridge Checkpoint,
SPOT_NAME_,軍獣強化場,,
SPOT_NAME_,メガドシス古道,Megadosys Old Road,
SPOT_NAME_,静穏の隠れ洞,Quiet Concealed Cave,
SPOT_NAME_,メガドへの隠れ水路,Hidden Waterway to Megado,
SPOT_NAME_,メガド上水網,Megado Water Supply Network,
SPOT_NAME_,メガド回廊,Megado Corridor,
SPOT_NAME_,城塞都市メガド 王宮層,Fortress City Megado: Royal Palace Level,
SPOT_NAME_,メガド大聖堂,Megado Cathedral,
SPOT_NAME_,戦練の社,,
