key,old,new,format
SPOT_NAME_,ブリア海岸,Breya Coast,{'proper': True}
SPOT_NAME_,ローテス,Rotes,{'proper': True}
SPOT_NAME_,モルトバ灯台,Moltova Lighthouse,
SPOT_NAME_,隠れ浜,Hidden Beach,
SPOT_NAME_,鳥寄せ岩,Birdcall Rock,
SPOT_NAME_,海辺の地下室,Seaside Cellar,
SPOT_NAME_,小鬼の野営地,Goblin Camp,
SPOT_NAME_,廃村ルフロー,Deserted Village of Ruflow,
SPOT_NAME_,青爪浜,Blue Claw Beach,
SPOT_NAME_,潮騒洞窟,Roaring Tide Cave,
SPOT_NAME_,腐臭の溜まり場,Rancid Haunt,
SPOT_NAME_,灯台下の古井戸,Lighthouse Old Well,
SPOT_NAME_,浜辺の地下保管庫,Beach Underground Stores,
SPOT_NAME_,モルトバ遺跡,Moltova Ruins,
